evidence_id,event_id,edition_id,field_supported,claim_or_excerpt,url,page_title,publisher,source_type,published_date,accessed_at,confidence,conflict_notes
"ev-pe-pw-current","evt-pe-productworld","ed-pe-pw27","dates; CFP; deadline; audience; economics","Santa Clara Feb 9-11, 2027; public CFP closes Sep 18 at 11:59 PM PDT; live participation; speaker and guest passes; product managers/designers/leaders.","https://sessionize.com/productworld-2027/","ProductWorld 2027 Call for Speakers","ProductWorld / DevNetwork / Sessionize","official submission system","","2026-09-04T21:00:00-06:00","high",""
"ev-pe-pw-past1","evt-pe-productworld","","past session fit","2026 ProductWorld session: 'The Future is Product Engineers: Redefining Engineering Roles in the Age of AI' by Balazs Barna.","https://www.developerweek.com/2026-schedule/","DeveloperWeek 2026 Schedule","DevNetwork","official program archive","2026","2026-09-04T21:00:00-06:00","high",""
"ev-pe-pw-past2","evt-pe-productworld","","past session fit","2026 ProductWorld session: 'The Power of Having Product and Engineering on the Same Team' by Ellen Linardi.","https://www.developerweek.com/2026-schedule/","DeveloperWeek 2026 Schedule","DevNetwork","official program archive","2026","2026-09-04T21:00:00-06:00","high",""
"ev-pe-uxdx-current","evt-pe-uxdx","ed-pe-uxdx-ny27","dates; CFP; eligibility; formats","New York May 10-12, 2027; apply by Dec 10; main stage expects senior in-house real case with tradeoffs, failures and outcomes; local stages always open.","https://uxdx.com/speak/","Speak at UXDX","UXDX","official speaker application","","2026-09-04T21:05:00-06:00","high",""
"ev-pe-uxdx-past1","evt-pe-uxdx","ed-pe-uxdx-ny27","program fit","2027 agenda: 'Who Owns Product Quality in the Age of AI' led by Dana Lawson; description asks who remains accountable as delivery cost falls.","https://uxdx.com/usa/2027/agenda/","UXDX New York 2027 Agenda","UXDX","official program","2027","2026-09-04T21:05:00-06:00","high","Program was partially announced while speaker call remained open."
"ev-pe-uxdx-past2","evt-pe-uxdx","ed-pe-uxdx-ny27","program fit","2027 agenda: 'The Collapse of Product Teams: How AI is Rewiring Ideation to Execution' with Keyvan Azami and David Kossnick.","https://uxdx.com/usa/2027/agenda/","UXDX New York 2027 Agenda","UXDX","official program","2027","2026-09-04T21:05:00-06:00","high","Current-edition precedent, not past edition."
"ev-pe-pls-current","evt-pe-pls","ed-pe-pls-seattle27","dates; route; audience; reach","Seattle June 16-17, 2027; public request-to-speak form; 100+ product professionals; activation, conversion, experimentation and AI products.","https://world.productledalliance.com/location/seattle/speakers","Product-Led Summit Seattle Speakers","Product-Led Alliance","official event page","","2026-09-04T21:10:00-06:00","high","No submission deadline or selection rules stated."
"ev-pe-pls-past1","evt-pe-pls","","past session fit","2026 Seattle session: 'Shipping AI is easy. Running it is not: Why AI products fail after launch' by Meghana Makhija; covers guardrails, feedback loops and human-in-loop systems.","https://world.productledalliance.com/location/seattle/speaker/meghanamakhija","Meghana Makhija","Product-Led Alliance","official session archive","2026","2026-09-04T21:10:00-06:00","high",""
"ev-pe-pls-past2","evt-pe-pls","","past session fit","Prior AI Product Summit agenda: 'Leading your dev team through the AI revolution' by Rikki Singh and panel 'The ROI hunger games: Proving AI's value in 2026.'","https://world.productledalliance.com/location/ai/agenda","AI Product Summit Silicon Valley Agenda","Product-Led Alliance","official program archive","2026","2026-09-04T21:10:00-06:00","high","Adjacent Product-Led Alliance edition."
"ev-pe-opt-current","evt-pe-optimizers","ed-pe-opt-west27","dates; audience; route; costs","Santa Cruz Mar 3-5, 2027; 130 mixed product/experimentation practitioners; every attendee can lead an unconference session; ticket includes hotel/meals and starts at USD 1595 in next tier.","https://optimizersconference.com/","Optimizers Conference 2027","Test & Learn Community","official event page","","2026-09-04T21:15:00-06:00","high","Attendee-led opportunity is not a curated keynote CFP."
