edition_id,event_id,edition_label,edition_url,start_date,end_date,date_status,city,country,mode,language,cfp_url,guidelines_url,cfp_status,eligibility,formats_and_durations,submission_requirements,compensation,travel_support,speaker_costs,recording_rights,accessibility,attendance_value,attendance_year,verified_at,source_ids,unknowns
"ed-fi-srecon27","evt-fi-srecon","SREcon27 Americas","https://www.usenix.org/conference/srecon27americas","2027-04-12","2027-04-14","exact","Seattle","United States","in-person","English","https://www.usenix.org/conference/srecon27americas/call-for-participation","https://www.usenix.org/conference/srecon27americas/call-for-participation","open","Open internationally; new speakers encouraged. Speaker must submit own human-written proposal; content cannot be entirely or substantively generated by AI.","15 minutes plus 5 Q&A; 35 minutes plus 10 Q&A","Proposal and speaker details; two-phase review; human-written attestation.","","","","","","","","2026-09-04T23:20:00-06:00","ev-fi-sre-current;ev-fi-sre-past1;ev-fi-sre-past2","Travel support, speaker costs, recording rights, accessibility details, and public attendance figure not found. Dan's eligibility facts beyond supplied material are unknown."
"ed-fi-kubecon-eu27","evt-fi-kubecon-eu","KubeCon + CloudNativeCon Europe 2027","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/","2027-03-15","2027-03-18","exact","Barcelona","Spain","in-person","English","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/","open","Maximum three submissions; generally one selected non-panel session; no repeat of a Linux Foundation event talk from the prior year.","30-minute session; 5-minute lightning talk; 80-minute tutorial","Original, non-sales content; select track; previous recording requested; accepted speakers provide slides.","Conference pass for accepted speakers.","Funding route referenced by organizer but current award details not established.","","Sessions are recorded; exact license/rights terms not established.","","","","2026-09-04T23:25:00-06:00","ev-fi-kube-current;ev-fi-kube-past1;ev-fi-kube-past2","Travel origin, funding eligibility, hotel, speaker costs, rights license, accessibility and current attendance unknown."
"ed-fi-agentics-eu27","evt-fi-agentics-eu","Agentics Day: MCP + Agents Europe 2027","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/","2027-03-15","2027-03-15","exact","Barcelona","Spain","in-person","English","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/","open","Public CFP; general Linux Foundation speaker rules apply.","25-minute solo/dual presentation; 10-minute lightning; 35-minute panel","Original, non-sales proposal aligned to production agents/MCP; accepted speaker receives event access.","Event pass for accepted speakers.","","","Sessions expected to be recorded; exact rights terms not established.","","","","2026-09-04T23:30:00-06:00","ev-fi-agentics-current;ev-fi-agentics-past1;ev-fi-agentics-past2","Travel, hotel, speaker costs, rights license, accessibility and attendance unknown. Existing 30-minute deck needs a 25-minute cut."
"ed-fi-gids27","evt-fi-gids","GIDS 2027","https://developersummit.com/","2027-04-27","2027-04-30","exact","Bengaluru","India","in-person","English","https://form.jotform.com/saltmarch/gids2027cfp","https://form.jotform.com/saltmarch/gids2027cfp","open","Original content based on work the speaker directly did or materially contributed to; up to five proposals.","30-minute short talk; 60-minute long talk","Practical, vendor-neutral proposal with real engineering experience and speaker details.","Conference access; international travel reimbursement may be available up to USD 1500 and two hotel nights at organizer discretion.","Up to USD 1500 for selected international speakers; reimbursement after event; discretionary.","","","","","","2026-09-04T23:35:00-06:00","ev-fi-gids-current;ev-fi-gids-past1;ev-fi-gids-past2","Dan's qualifying firsthand case details, travel origin, full reimbursement rules, recording rights, accessibility and attendance unknown."
"ed-fi-eurostar27","evt-fi-eurostar","EuroSTAR 2027","https://conference.eurostarsoftwaretesting.com/","2027-05-11","2027-05-14","exact","Copenhagen","Denmark","in-person","English","https://conference.eurostarsoftwaretesting.com/call-for-submissions/","https://conference.eurostarsoftwaretesting.com/call-for-submissions/","open","Public call; practitioner stories and practical lessons encouraged.","Current exact session duration not found; talks and workshops requested.","Proposal aligned to 2027 theme 'Sharpening the Craft'; failures, AI, automation and practical takeaways welcomed.","","","","","","","","2026-09-04T23:40:00-06:00","ev-fi-euro-current;ev-fi-euro-past1;ev-fi-euro-past2","Current format durations, economics, rights, accessibility, attendance and multiple-submission rules unknown."
"ed-fi-expoqa27","evt-fi-expoqa","expo:QA 2027","https://expoqa.com/","2027-05-25","2027-05-27","exact","Madrid","Spain","in-person","","https://expoqa.com/call-for-speaker/","https://expoqa.com/call-for-speaker/","open","Public call for speakers.","Regular talk; master class; keynote; half-day workshop; exact durations not published on captured page.","Topic and abstract aligned to 'Reinventing Quality in the Age of AI.'","","","","","","","","2026-09-04T23:45:00-06:00","ev-fi-expo-current;ev-fi-expo-past1;ev-fi-expo-past2","Language, durations, economics, rights, accessibility, attendance, eligibility and multiple-proposal rules unknown."
"ed-fi-swiss27","evt-fi-swiss-testing-day","Swiss Testing Day 2027","https://swisstestingday.ch/","2027-04-08","2027-04-08","exact","Zurich","Switzerland","in-person","","https://sessionize.com/swiss-testing-day-2027/","https://sessionize.com/swiss-testing-day-2027/","open","Public Sessionize call; practitioner lessons and failed experiments welcomed.","30-minute talk; 60-minute workshop/deep dive; other formats listed in CFP","Proposal, abstract and speaker profile.","No speaker fee stated.","","No event fee for selected speaker.","","","","","2026-09-04T23:50:00-06:00","ev-fi-swiss-current;ev-fi-swiss-past1;ev-fi-swiss-past2","Language, travel/hotel, recording rights, accessibility, attendance and multiple-submission rules unknown."
"ed-fi-vslive-austin27","evt-fi-vslive","Visual Studio Live! Austin 2027","https://vslive.com/events/austin-2027/home.aspx","2027-05-02","2027-05-06","exact","Austin","United States","in-person","English","https://sessionize.com/vslive_austin27/","https://sessionize.com/vslive_austin27/","open","Previous speaking experience requested; speakers typically booked for at least two 75-minute sessions and encouraged to submit three or more.","75-minute breakout; 20-minute Fast Focus; workshops/labs","Abstract, learning objectives, bio including previous speaking experience; multiple proposals strongly encouraged.","Per-session stipend; amount not public.","Predetermined hotel nights covered; speaker pays travel and incidentals.","Conference access implied for selected speakers; exact registration terms not captured.","","","","","2026-09-04T23:55:00-06:00","ev-fi-vsl-current;ev-fi-vsl-past1;ev-fi-vsl-past2","CFP deadline timezone conflict; stipend amount, rights, accessibility and attendance unknown. Talk requires 20-minute compression or 75-minute expansion and companion proposals."
"ed-fi-developerweek27","evt-fi-developerweek","DeveloperWeek 2027","https://www.developerweek.com/","2027-02-09","2027-02-11","exact","Santa Clara","United States","in-person","English","https://www.developerweek.com/speakers/apply-to-speak/","https://www.developerweek.com/speakers/apply-to-speak/","open","Public call; practitioner and technical proposals across four co-located programs.","Exact current session duration not found.","Speaker application with topic, abstract and profile.","","","","","","3000 onsite and 6000 community members advertised for 2027","2027","2026-09-04T23:58:00-06:00","ev-fi-devweek-current;ev-fi-devweek-past1;ev-fi-devweek-past2","Format, economics, rights, accessibility, multiple-submission and exclusivity rules unknown; attendance is organizer projection, not audited actual."
"ed-fi-idi27","evt-fi-idi","Incontro DevOps Italia 2027","https://www.incontrodevops.it/","2027-03-09","2027-03-09","exact","Bologna","Italy","hybrid","Italian; English","https://sessionize.com/incontro-devops-italia-idi-2027/","https://sessionize.com/incontro-devops-italia-idi-2027/","open","Public CFP; English proposals accepted although most attendees are Italian.","40 minutes including Q&A","Abstract, language, speaker profile and session details.","Conference ticket and hotel nights under stated conditions.","Up to EUR 250 for speakers travelling within Europe from outside Italy.","Selected speaker ticket included.","","","","","2026-09-05T00:02:00-06:00","ev-fi-idi-current;ev-fi-idi-past1;ev-fi-idi-past2","Travel origin and eligibility for reimbursement, rights, accessibility and attendance unknown."
