evidence_id,event_id,edition_id,field_supported,claim_or_excerpt,url,page_title,publisher,source_type,published_date,accessed_at,confidence,conflict_notes
"ev-pa-sre-current","evt-pa-srecon","ed-pa-srecon27","dates; CFP; formats; rules; tracks","Seattle April 12-14, 2027; proposals due Nov 19, 2026 11:59 p.m. Pacific; 15+5 or 35+10; AI/SRE themes and human-written proposal rule.","https://www.usenix.org/conference/srecon27americas/call-for-participation","SREcon27 Americas Call for Participation","USENIX","official CFP","","2026-09-04T23:20:00-06:00","high",""
"ev-pa-sre-past1","evt-pa-srecon","","past session fit","2026 session: 'From Chaos to Confidence: How SREs Can Leverage 50+ Failure Scenarios to Test AI Readiness' by Rohan Arora and Bhavya.","https://www.usenix.org/conference/srecon26americas/presentation/arora","From Chaos to Confidence","USENIX","official session archive","2026","2026-09-04T23:20:00-06:00","high",""
"ev-pa-sre-past2","evt-pa-srecon","","past session fit","2026 EMEA session: 'What Happens When Your AI SRE Has a Bad Day' by Pratik Mahalle.","https://www.usenix.org/conference/srecon26emea/presentation/mahalle","What Happens When Your AI SRE Has a Bad Day","USENIX","official session archive","2026","2026-09-04T23:20:00-06:00","high",""
"ev-pa-kube-current","evt-pa-kubecon-eu","ed-pa-kubecon-eu27","dates; deadline; formats; tracks; rules","Barcelona March 15-18, 2027; CFP closes Oct 11 at 11:59 PM CEST UTC+2; 30-minute, lightning and tutorial formats; Agentic AI, platform, observability and operations tracks.","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/","Call For Proposals","Linux Foundation Events / CNCF","official CFP","","2026-09-04T23:25:00-06:00","high",""
"ev-pa-kube-past1","evt-pa-kubecon-eu","","past session fit","2026 session: 'AI Agents & Platform Engineering: Efficiency Boost or New Source of Trouble?' with practitioners from Cisco, Red Hat, UN, Solo.io and AWS.","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/keynote-speakers/","Featured Keynote Speakers","Linux Foundation Events / CNCF","official program archive","2026","2026-09-04T23:25:00-06:00","high",""
"ev-pa-kube-past2","evt-pa-kubecon-eu","","past session fit","2026 Japan schedule included 'Repurposing OpenTelemetry Traces as Test Data' and 'Conformance for Inference: How We Reduced Bad Deploys on a GPU Platform.'","https://events.linuxfoundation.org/kubecon-cloudnativecon-japan/program/schedule/","Schedule","Linux Foundation Events / CNCF","official program archive","2026","2026-09-04T23:25:00-06:00","high","Evidence comes from another regional KubeCon edition, not Europe."
"ev-pa-agentics-current","evt-pa-agentics-eu","ed-pa-agentics-eu27","date; deadline; formats; topics","Barcelona March 15, 2027; co-located CFP closes Oct 18; reliability, trust, production cases and debugging fit; 25-minute, 10-minute and panel formats.","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/","Call for Proposals: CNCF-hosted Co-located Events","Linux Foundation Events / CNCF","official CFP","","2026-09-04T23:30:00-06:00","high","Page states 'CET (UTC+2)', an internally inconsistent timezone label."
"ev-pa-agentics-past1","evt-pa-agentics-eu","","past event/session fit","Official 2026 archive describes real-world MCP implementations, best practices, safer and more capable AI applications, with session recordings and slides.","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/","Agentics Day: MCP + Agents","Linux Foundation Events / CNCF","official event archive","2026","2026-09-04T23:30:00-06:00","high","Specific session title was not exposed in captured page."
"ev-pa-agentics-past2","evt-pa-agentics-eu","","past adjacent session fit","The 2026 KubeCon program included 'AI Agents & Platform Engineering: Efficiency Boost or New Source of Trouble?', showing adjacent audience appetite.","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/keynote-speakers/","Featured Keynote Speakers","Linux Foundation Events / CNCF","official program archive","2026","2026-09-04T23:30:00-06:00","medium","Adjacent KubeCon session, not confirmed as part of Agentics Day."
"ev-pa-gids-current","evt-pa-gids","ed-pa-gids27","dates; deadline; tracks; rules; economics","Bengaluru Apr 27-30, 2027; deadline Sep 30; 30/60-minute talks; direct contribution and original-content rules; discretionary international travel support.","https://form.jotform.com/saltmarch/gids2027cfp","GIDS 2027 Call for Proposals","Saltmarch Media","official submission form","","2026-09-04T23:35:00-06:00","high",""
