talk_id,edition_id,recommended_variant,proposed_title,pitch_angle,fit_reason,past_session_evidence_ids,audience_rating,topic_rating,timing_rating,readiness_rating,logistics_rating,reach_rating,known_points,evidence_coverage_percent,queue,constraints,next_action,next_check_date
"judgment","ed-ju-pw27","30-minute adaptation; confirm duration","Code Is Cheap. Judgment Is Expensive.","Show product and engineering leaders why generated output moves the constraint to specifications, review, validation, integration and ongoing ownership.","Product engineers and engineering/product leaders are direct audiences; the open CFP and AI-era product-engineering archive support the thesis.","ev-ju-pw-past1;ev-ju-pw-past2","4","4","5","5","3","5","85","100","1-verified-actionable","Session duration and travel costs unknown; do not present the thought experiment as measured productivity evidence.","Confirm session length and submit the 30-minute operating-model version by September 18.","2026-09-08"
"judgment","ed-ju-gids27","30-minute adaptation","Code Is Cheap. Judgment Is Expensive: Engineering After the Generation Bottleneck","Use the permissions specification and review-queue examples to make validation infrastructure, complexity and ownership concrete.","Strong engineering, architecture and leadership audience with an exact 30-minute slot and explicit systems-thinking themes.","ev-ju-gids-past1;ev-ju-gids-past2","5","5","5","5","4","4","97","100","1-verified-actionable","Must be grounded in work Dan directly did or materially contributed to; a qualifying firsthand organizational case is unknown.","Proceed only after identifying truthful firsthand evidence; if available, submit by September 30.","2026-09-12"
"judgment","ed-ju-ces27","15-minute big-idea variant; duration to confirm","Code Is Cheap. Judgment Is Expensive.","Offer a concise contrarian argument: cheaper implementation raises the value of deciding what should exist, defining acceptable behavior and owning consequences.","Broad technology-leadership audience and open editorial route; strong reach but limited software-engineering concentration.","ev-ju-ces-past1;ev-ju-ces-past2","4","4","5","4","3","5","83","100","1-verified-actionable","Very short runway; selection favors visible influence; no payment or travel support; format unknown.","Submit only a tight editorial application by September 9; do not pursue sponsored placement.","2026-09-06"
"judgment","ed-ju-bacon27","30-minute adaptation; confirm duration","Code Is Cheap. Judgment Is Expensive: What Changes for Delivery Teams","Translate the operating model into practical decisions about requirements, acceptance checks, review capacity and maintenance ownership.","Regional product/AI/technology audience welcomes practical lessons; public CFP is actionable.","","4","4","5","4","4","2","82","100","1-verified-actionable","No prior-program evidence captured; format duration incomplete; speaker-pass text names the wrong edition year.","Verify duration and 2027 speaker benefit, then submit by October 15.","2026-09-25"
"judgment","ed-ju-apqc27","40-minute deck adapted to interactive 45-60 minutes","When Output Gets Cheap, Decision Quality Becomes the Constraint","Frame specification, review, validation and ownership as a process-capacity problem with observable outcomes rather than output metrics.","Process, performance and knowledge leaders are relevant; archived AI operating-model content supports the organizational angle.","ev-ju-apqc-past1;ev-ju-apqc-past2","4","4","5","3","3","3","79","100","1-verified-actionable","Organizer prefers real organizational problems and measurable effects; adaptation is substantial and synthetic examples may be insufficient.","Use the teach-a-technique route only if conceptual operating-model sessions are allowed; submit by October 12.","2026-09-20"
"judgment","ed-ju-aif27","15-minute big-idea variant; confirm duration","Code Is Cheap. Judgment Is Expensive.","Position review capacity, system ownership and validated outcomes as the scarce inputs to responsible AI-assisted engineering.","Large AI/business audience and open call; engineering-leadership density is uncertain.","ev-ju-aif-past1;ev-ju-aif-past2","4","4","5","4","","5","77","90","1-verified-actionable","Language, duration and economics unknown; avoid headcount-reduction predictions or unsupported productivity claims.","Select a strategic future-of-work format and submit the 15-minute version by October 15 after verifying duration.","2026-09-25"
"judgment","ed-ju-uxdx-ny27","30-minute cross-functional adaptation","Code Is Cheap. Judgment Is Expensive: The Review Queue After AI","Connect product, design and engineering through explicit specifications, executable acceptance criteria and accountable release decisions.","Cross-functional product/engineering audience fits the operating-model thesis; current program language is closely aligned.","ev-ju-uxdx-past1;ev-ju-uxdx-past2","4","4","5","4","","4","76","90","1-verified-actionable","Main stage expects a real in-house case with decisions, failures and outcomes; the supplied hypothetical examples alone may not qualify.","Target main stage only with a truthful case; otherwise consider the always-open local stage.","2026-10-15"
"judgment","ed-ju-ldx3-london27","30-minute leadership adaptation; format unknown","Code Is Cheap. Judgment Is Expensive: Leading the Review-Constrained Organization","Focus on organizational capacity, seniority development, ownership and measures such as time to validated outcome.","Engineering managers, senior ICs, directors and CTOs are the exact audience; archived content supports the theme.","ev-ju-lead-past1;ev-ju-lead-past2","5","5","2","4","","5","76","90","3-historical-monitor","No 2027 public submission route, duration or economics found.","Monitor for an official 2027 CFP; do not infer a window from the prior edition.","2026-11-01"
"judgment","ed-ju-dx-sf27","30-minute leadership adaptation; format unknown","Code Is Cheap. Judgment Is Expensive: Developer Productivity After Generation","Argue that productivity programs must measure validated outcomes, escaped defects and maintenance burden rather than generated output.","CTO/VP and developer-productivity audience is exact, but speakers must have led major organizational change and use real data.","ev-ju-dx-past1;ev-ju-dx-past2","5","5","2","4","","4","75","90","2-upcoming-rolling","Speaker call announced but not open; Dan's qualifying leadership role, organizational-change case and real data are unknown.","Monitor the announced fall call and exclude if the evidence requirement cannot be met.","2026-10-15"
"judgment","ed-ju-cto27","30-minute leadership adaptation; format unknown","Code Is Cheap. Judgment Is Expensive: Rebalancing the Engineering Organization","Use review capacity, deliberate seniority development and explicit acceptance ownership as the leadership frame.","Senior CTO and VP Engineering audience is exact; public content form exists but carries stale edition labeling.","ev-ju-cto-past1;ev-ju-cto-past2","5","5","2","4","","3","74","90","2-upcoming-rolling","Call page title references 2026 while event shell shows 2027; deadline and Dan's senior-leadership credentials are unknown.","Wait until the call identifies the 2027 edition unambiguously, then confirm eligibility.","2026-10-15"
