talk_id,edition_id,recommended_variant,proposed_title,pitch_angle,fit_reason,past_session_evidence_ids,audience_rating,topic_rating,timing_rating,readiness_rating,logistics_rating,reach_rating,known_points,evidence_coverage_percent,queue,constraints,next_action,next_check_date
benchmarks,ed-evt-a4q-global-testing-summit-a4q-global-testing-summit-2027,30-minute,From AI Scores to Software Quality Decisions,Teach a global online QA audience how to build actionable evaluation ladders and failure-based regression suites,"Worldwide testing audience, four language tracks, free access, and an open low-friction title/abstract intake",,5,5,4,4,5,4,93,88,submit-next,No CFP deadline or duration; page has a stale 2026 footer artifact,"Verify duration, recording terms, and response timeline before preparing",2026-09-15
failure-improvement,ed-evt-a4q-testing-summit-a4q-testing-summit-2027,30-minute remote variant; duration to confirm,Automating Improvement From Failure: Evidence-Driven Regression for AI,"Offer a remote, multilingual-summit-friendly practitioner explanation with deterministic demonstration.","Testing/quality audience and online delivery remove travel uncertainty, but key CFP details are undated.",,4,4,3,4,4,3,75,100,2-upcoming-rolling,No deadline or duration; no past-session evidence captured; language-track placement unknown.,Inspect the speaker flow for duration and selection timing; prepare but do not treat as deadline-driven.,2026-10-15
parallelization,ed-evt-a4q-testing-summit-a4q-testing-summit-2027,30-minute remote adaptation; duration to confirm,How to Verify Parallel Agent Attempts,"Offer an accessible remote version on correlated failures, role-specific review questions and reusable deterministic checks.","International online testing audience removes travel uncertainty, but the CFP is undated and no prior-session evidence was captured.",,3,4,3,4,4,3,69,100,2-upcoming-rolling,Deadline and duration unknown; language-track placement not established.,Inspect the public speaker flow for duration and selection timing; prepare without treating it as urgent.,2026-10-15
benchmarks,ed-evt-aaai-conference-on-artificial-intelligence-aaai-27,academic-paper,Not recommended,Academic benchmark research would require a new research contribution,Paper-only peer-review route conflicts with the supplied talk's explicit lack of research novelty,,3,2,3,1,,,37,83,exclude,"Original paper, novelty, peer review, publication, and registration obligations",Exclude from speaking pipeline, 
evidence-learning,ed-evt-aalhe-annual-conference-aalhe-2027-conference,40-minute adapted assessment session,Stop Trying to Catch Students Using AI: Designing Better Evidence of Learning,"Process evidence, transfer, and human review for assessment practitioners","This is the most exact assessment audience, and the 2026 program already featured closely adjacent sessions; current CFP route is not published.",src-evidence-learning-src-aalhe-past-1;src-evidence-learning-src-aalhe-past-2,5,5,2,4,2,4,82,86,upcoming/rolling routes to prepare for,FINALIST incomplete lead; no 2027 CFP/status/deadline found; in-person; eligibility and price unknown,Monitor the official conference page weekly through January; do not treat the grant deadline as the CFP deadline.,2026-10-01
evidence-learning,ed-evt-advance-he-teaching-and-learning-conference-advance-he-teaching-and-,40-minute interactive session,Stop Trying to Catch Students Using AI,Evidence-based assessment redesign and lessons from implementation,"Flagship audience and program focus on assessment and digital innovation fit, but only attendee booking—not a speaker route—was verified.",src-evidence-learning-src-advancehe-past-1;src-evidence-learning-src-advancehe-past-2,4,4,1,4,,4,64,61,historical fits to monitor for a new cycle,No public CFP found; UK travel/economics unknown,Recheck for an abstracts/call page; do not confuse booking status with speaker availability.,2026-10-01
adaptive-systems,ed-evt-agentic-engineering-days-zurich-agentic-engineering-days-zurich-2027,conference talk,Building Adaptive Agent Systems Under Hard Limits,"Production agent platforms, policy, cost, observability, and honest failure modes",Excellent topical audience and program; 2027 CFP promised but not open.,src-adaptive-systems-ev-aed-current,5,5,1,3,,3,68,62,historical fits to monitor for a new cycle,"No 2027 dates or terms; 2026 selected 38+ of 344 proposals, suggesting strong competition.",Watch the official page for the promised 2027 CFP; use 2026 session list to avoid duplication when it opens.,2027-03-01
benchmarks,ed-evt-agentic-engineering-days-zurich-agentic-engineering-days-zurich-2027,40-minute,Stop Benchmarking Models. Start Evaluating Agent Decisions.,"Evaluate the whole strategy: model, tools, evidence branches, routing, escalation and budget",Agent engineering audience and strong prior interest suggest fit,,5,5,3,5,,3,78,70,monitor,2027 CFP promised but no dates; economics and terms unknown,Watch only; use 2026 program to tailor once the 2027 call appears,2026-11-01
retrieval,ed-evt-agenticcon-agenticcon-2027,25-minute adaptation,The Agent Is a Worker; the Execution Path Is Output,"Use familiar worker/retry/idempotency concepts, then show what model-selected control flow changes","Current CFP explicitly requests context, capability, execution, evaluation, security, and observability.",src-retrieval-src-agenticcon-cfp;src-retrieval-src-agenticcon-home,5,5,2,4,,4,78,90,upcoming/rolling routes to prepare for,FINALIST; same official page has conflicting deadlines and notifications; real incidents desired but supplied deck uses hypotheticals,Seek organizer correction before relying on either deadline; prepare the 25-minute version meanwhile.,2026-09-08
adaptive-systems,ed-evt-agentics-day-mcp-agents-europe-agentics-day-mcp-agents-europe-2027,25-minute presentation,Adaptive Agent Systems: Escalation Is a Policy Decision,"Narrow to MCP-connected tool selection, capability/authority boundaries, evaluation, and escalation","Direct agent-builder audience; CFP covers architecture, production, trust, reliability, governance, performance, and scaling.",src-adaptive-systems-ev-colocated-common;src-adaptive-systems-ev-agentics-current,5,5,5,3,2,4,89,88,verified actionable opportunities,25-minute slot requires substantial cut; open-source/MCP examples needed; do not submit near-duplicate talks to multiple CNCF events without checking selection strategy.,"Prepare as backup to the main KubeCon proposal, with a distinct MCP/tool-authority angle; verify multiple-proposal rules across co-located events.",2026-09-18
