deadline_id,edition_id,deadline_type,raw_date_text,date_iso,time_local,timezone_as_stated,utc_datetime,certainty,source_id,verified_at,conflict_notes
dl-ai-agent-close,ed-ai-agent-2027,cfp_close,"Final Submission Deadline: September 9",2026-09-09,,,,exact-from-edition-context,src-ai-agent-cfp,2026-09-04T12:00:00-06:00,"Year derived from the open 2027 CFP viewed in September 2026; no time zone stated"
dl-developerweek-final,ed-developerweek-2027,cfp_close,"Final Round proposal deadline is Friday, September 18, 2026",2026-09-18,,,,exact,src-developerweek-cfp,2026-09-04T12:00:00-06:00,
dl-gids-close,ed-gids-2027,cfp_close,"Deadline to Submit: September 30, 2026",2026-09-30,,,,exact,src-gids-cfp,2026-09-04T12:00:00-06:00,
dl-eu-chatbot-close,ed-eu-chatbot-2027,cfp_close,"Deadline to Apply: October. 1, 2026",2026-10-01,,,,exact,src-eu-chatbot-cfp,2026-09-04T12:00:00-06:00,"Homepage says call will open soon while CFP page accepts proposals"
dl-platformcon-sf-close,ed-platformcon-sf-2027,cfp_close,"October 4, 12:59 PM EST",2026-10-04,12:59,EST,,exact-as-stated,src-platformcon-sf-cfp,2026-09-04T12:00:00-06:00,"Timezone says EST even though event is in San Francisco; UTC not normalized because fixed-vs-seasonal intent is unclear"
dl-platformcon-sf-notify,ed-platformcon-sf-2027,notification,"October 20",2026-10-20,,,,exact-from-edition-context,src-platformcon-sf-cfp,2026-09-04T12:00:00-06:00,
dl-agenticcon-close-1,ed-agenticcon-2027,cfp_close,"October 4, 11:59 PM PT",2026-10-04,23:59,PT,,official-conflict,src-agenticcon-cfp,2026-09-04T12:00:00-06:00,"Same page footer says November 1, 11:59 PM PT"
dl-agenticcon-close-2,ed-agenticcon-2027,cfp_close,"Submissions close Nov 1, 11:59 PM PT",2026-11-01,23:59,PT,,official-conflict,src-agenticcon-cfp,2026-09-04T12:00:00-06:00,"Same page key-dates section says October 4, 11:59 PM PT"
dl-agenticcon-notify-1,ed-agenticcon-2027,notification,"October 20",2026-10-20,,,,official-conflict,src-agenticcon-cfp,2026-09-04T12:00:00-06:00,"Same page footer says November 17"
dl-agenticcon-notify-2,ed-agenticcon-2027,notification,"Acceptance emails Nov 17",2026-11-17,,,,official-conflict,src-agenticcon-cfp,2026-09-04T12:00:00-06:00,"Same page key-dates section says October 20"
dl-kubecon-eu-close,ed-kubecon-eu-2027,cfp_close,"Sunday, 11 October at 11:59 PM CEST (UTC+2)",2026-10-11,23:59,"CEST (UTC+2)",2026-10-11T21:59:00Z,exact,src-kubecon-eu-cfp,2026-09-04T12:00:00-06:00,
dl-cnai-day-close,ed-cnai-day-2027,cfp_close,"through Sunday, 18 October 2026",2026-10-18,,,,exact,src-cnai-day,2026-09-04T12:00:00-06:00,
dl-platform-day-close,ed-platform-day-2027,cfp_close,"through Sunday, 18 October 2026",2026-10-18,,,,exact,src-platform-day,2026-09-04T12:00:00-06:00,
dl-aoma-close,ed-aoma-2027,cfp_close,"October 23, 2026, 23:59 CET",2026-10-23,23:59,CET,,exact-as-stated,src-aoma-cfp,2026-09-04T12:00:00-06:00,"UTC not normalized because Berlin normally observes CEST on this date but source explicitly says CET"
dl-aoma-notify,ed-aoma-2027,notification,"Final notice ... by November 23, 2026",2026-11-23,,,,exact,src-aoma-cfp,2026-09-04T12:00:00-06:00,
dl-srecon-close,ed-srecon-2027,cfp_close,"Thursday, November 19, 2026 at 11:59 pm Pacific Time",2026-11-19,23:59,Pacific Time,,exact-as-stated,src-srecon27-cfp,2026-09-04T12:00:00-06:00,
dl-srecon-notify,ed-srecon-2027,notification,"Saturday, December 12, 2026",2026-12-12,,,,exact,src-srecon27-cfp,2026-09-04T12:00:00-06:00,
dl-srecon-materials,ed-srecon-2027,materials_and_confirmation,"Wednesday, January 6, 2027",2027-01-06,,,,exact,src-srecon27-cfp,2026-09-04T12:00:00-06:00,
dl-dutch-ai-close,ed-dutch-ai-2027,cfp_close,"Call for Papers closes on December 18th",2026-12-18,,,,exact-from-edition-context,src-dutch-ai-cfp,2026-09-04T12:00:00-06:00,"No time zone stated"
dl-dod-raleigh-open,ed-dod-raleigh-2027,cfp_open,"opens Tuesday, Sep 1, 2026",2026-09-01,,,,exact,src-dod-raleigh,2026-09-04T12:00:00-06:00,
dl-dod-raleigh-close,ed-dod-raleigh-2027,cfp_close,"closes Friday, Jan 1, 2027",2027-01-01,,,,exact,src-dod-raleigh,2026-09-04T12:00:00-06:00,
dl-dod-raleigh-notify,ed-dod-raleigh-2027,notification,"Selected proposals will be announced on Tuesday, Sep 1, 2026",2026-09-01,,,,official-conflict,src-dod-raleigh,2026-09-04T12:00:00-06:00,"Equals opening date and precedes close; do not rely on it"
dl-dod-la-close,ed-dod-la-2027,cfp_close,"closes 2026-11-01 on global speaking index",2026-11-01,,,,official-conflict,src-dod-global,2026-09-04T12:00:00-06:00,"Local official page says CFP TBD"
dl-ndc-close,ed-ndc-london-2027,cfp_close,"Deadline - 30 Aug 2026",2026-08-30,,,,exact,src-ndc-london-cfp,2026-09-04T12:00:00-06:00,"Closed before run date"
