talk_id,edition_id,recommended_variant,proposed_title,pitch_angle,fit_reason,past_session_evidence_ids,audience_rating,topic_rating,timing_rating,readiness_rating,logistics_rating,reach_rating,known_points,evidence_coverage_percent,queue,constraints,next_action,next_check_date
free-tier,ed-developerweek-2027,30-minute conference talk,"Building AI Products That Survive the End of the Free Tier","A practical dependency and cost-per-successful-outcome review for AI product and engineering leaders","Exact audience includes engineering managers, executives, product managers, and founders; tracks cover AI, cloud-native development, and DevExec.",src-developerweek-about;src-developerweek-tracks,5,4,5,5,,4,92,82,verified actionable opportunities,"FINALIST; deadline soon; session duration and speaker economics unknown; avoid unsupported provider-pricing claims","Prepare one focused final-round proposal and inspect the live form for duration and agreement fields before any authorized submission.",2026-09-08
free-tier,ed-kubecon-eu-2027,30-minute session,"The Cost Model Is Part of the Architecture","Treat AI pricing, inference utilization, and dependencies as architectural constraints; calculate cost per successful outcome","AI inference/infrastructure, platform product management, cloud-native business value, and performance tracks create a defensible technical angle.",src-kubecon-eu-cfp;src-kubecon-na-cost-session,5,4,5,5,2,5,88,94,verified actionable opportunities,"FINALIST; must make cloud-native and technical contribution explicit; prior recording requested; high competition; travel unknown","Draft for AI Inference and Infrastructure or Cloud Native Experience and add a small reproducible cost model tied to workload behavior.",2026-09-10
free-tier,ed-dod-raleigh-2027,30-minute talk,"Building AI Products That Survive the End of the Free Tier","An operator story about avoiding pricing assumptions in durable platform decisions","DevOps and platform practitioners face cloud-cost and dependency risk; 30-minute slot fits.",src-dod-raleigh-propose;src-dod-zurich-cost,4,4,5,5,,2,81,79,verified actionable opportunities,"FINALIST; local voices favored; official notification date is erroneous; no proprietary case study supplied","Verify form fields and presenter economics, then tailor to operational decisions rather than SaaS strategy.",2026-10-01
free-tier,ed-tokenomicon-x-2027,45-minute breakout or lightning,"Building AI Products That Survive the End of the Free Tier","Cost per successful outcome, price sensitivity, and cost-to-serve for token-priced AI systems","Prior official guide explicitly asks for FinOps for AI, token-based cost models, unit economics, and data-driven outcomes.",src-finopsx-guide;src-finopsx-ai-session,5,5,3,4,,4,87,90,upcoming/rolling routes to prepare for,"FINALIST; 2027 call not open; breakout eligibility likely practitioner/end-user; talk currently lacks a proprietary case study and real-world organizational data","Build a citation-backed synthetic demo now; monitor for 2027 rules and use lightning format if practitioner status is not met.",2026-11-02
free-tier,ed-saastr-2027,founder deep dive,"Your AI Gross Margin Has an Expiration Date","Translate token usage into cost per successful customer outcome and price-sensitivity decisions","Founders and B2B AI operators are direct beneficiaries; public apply-to-speak route is linked and reviewed on a rolling basis.",src-saastr-speaker;src-saastr-pricing-session,5,5,4,3,,5,88,80,upcoming/rolling routes to prepare for,"FINALIST; application details did not render; workshop version requires adaptation; no invented founder credentials or company-stage claims","Inspect the interactive application and pitch a tactical founder workshop only if Dan's role and experience satisfy the form.",2026-09-12
free-tier,ed-dod-la-2027,30-40-minute talk,"The Cost Model Is Part of the Architecture","Token economics and dependency risk as DevOps architecture, not procurement trivia","The indexed current call explicitly named token economics and FinOps; the rendered local page retains platform/reliability fit.",src-dod-la-propose;src-dod-zurich-cost,4,5,3,5,,3,82,82,upcoming/rolling routes to prepare for,"FINALIST; official pages conflict on open status; local experience favored; do not treat deadline as actionable until reconciled","Recheck the SCaLE form and official local page; if both show 2027 intake, prepare the 40-minute version.",2026-09-12
free-tier,ed-platformcon-flagship-2027,virtual 30-minute talk,"The Cost Model Is Part of Your Platform","Give platform teams a repeatable way to expose AI pricing dependencies before teams adopt them","Official theme says the age of AI runs on platform engineering; virtual reach and archive reuse are strong.",src-platformcon-home;src-platformcon-cost-talk,5,4,3,5,,5,87,76,upcoming/rolling routes to prepare for,"FINALIST; no public 2027 CFP details found; London/New York/virtual submission topology unknown","Monitor the official site for the flagship CFP and prepare a platform-product version with reusable worksheet.",2026-11-02
free-tier,ed-platformcon-sf-2027,30-minute talk,"The Cost Model Is Part of Your Platform","Guardrails for agentic platform cost, dependencies, and outcome-level economics","Two-day program explicitly covers platform foundations and agentic platforms.",src-platformcon-sf;src-platformcon-home,5,4,2,5,,3,78,70,upcoming/rolling routes to prepare for,"FINALIST; page displays CFP navigation but no verified form status or deadline; in-person travel unknown","Recheck the official CFP route without assuming its navigation label means open.",2026-09-12
free-tier,ed-finops-paris-rolling,30-minute community talk,"Construire des produits IA qui survivent à la fin du gratuit","A practical AI unit-economics and GreenOps discussion grounded in cost-to-serve","Large specialist community explicitly welcomes speakers across practitioner and vendor roles and maintains replays.",src-finops-paris;src-finops-paris-past,5,5,3,4,,3,83,75,upcoming/rolling routes to prepare for,"FINALIST; French delivery requirement unknown; contact route is organizer message, not a formal CFP; no outreach authorized","Confirm language capability and wait for a dated call or later authorization to use the public organizer route.",2026-10-01
free-tier,ed-finops-connect-rolling,30-minute meetup talk,"Building AI Products That Survive the End of the Free Tier","How to build, run, and fund AI services without confusing free credits with durable economics","The group explicitly hosts virtual and in-person practical FinOps meetups and previously programmed AI cloud funding.",src-finops-connect;src-finops-connect-ai,5,5,3,5,,1,83,72,upcoming/rolling routes to prepare for,"FINALIST; small reach; unclear whether 'hosting' includes proposing a talk; no formal CFP or date","Keep as low-friction community rehearsal route; seek a dated speaker invitation before action.",2026-10-15
