deadline_id,edition_id,deadline_type,raw_date_text,date_iso,time_local,timezone_as_stated,utc_datetime,certainty,source_id,verified_at,conflict_notes
dl-iste-cfp,ed-iste-2027,cfp_deadline,"September 30, 2026",2026-09-30,,,,exact,ev-001,2026-09-04T23:00:00-06:00,
dl-iste-notify,ed-iste-2027,notification,"Notifications will be sent out in December",2026-12-01,,, ,approximate-month,ev-002,2026-09-04T23:00:00-06:00,"ISO uses first day only as month marker; not a confirmed day and must not be calendared as a deadline"
dl-iste-confirm,ed-iste-2027,speaker_confirmation,"confirmations due in January",2027-01-01,,,,approximate-month,ev-002,2026-09-04T23:00:00-06:00,"ISO uses first day only as month marker; actual day unknown"
dl-upcea-cfp,ed-upcea-dtl-2027,cfp_deadline,"Proposals Due September 30",2026-09-30,,,,exact,ev-003,2026-09-04T23:00:00-06:00,"No time zone stated"
dl-upcea-notify,ed-upcea-dtl-2027,notification,"Week of November 2",2026-11-02,,,,approximate-week,ev-003,2026-09-04T23:00:00-06:00,"Week marker only; actual day unknown"
dl-upcea-confirm,ed-upcea-dtl-2027,speaker_registration,"register for the conference by December 10",2026-12-10,,,,exact,ev-003,2026-09-04T23:00:00-06:00,
dl-upcea-materials,ed-upcea-dtl-2027,materials_deadline,"provide electronic versions ... by January 15, 2027",2027-01-15,,,,exact,ev-003,2026-09-04T23:00:00-06:00,
dl-lilly-sd-cfp,ed-lilly-sd-2027,cfp_deadline,"Closes October 1, 2026",2026-10-01,,,,exact,ev-005,2026-09-04T23:00:00-06:00,"No time zone stated"
dl-chea-cfp,ed-chea-2027,cfp_deadline,"by September 11, 2026",2026-09-11,,,,exact,ev-008,2026-09-04T23:00:00-06:00,"Late proposals may be considered if space remains, but this does not make the route rolling"
dl-chea-visa,ed-chea-2027,visa_letter_request,"before or by November 6, 2026",2026-11-06,,,,exact,ev-008,2026-09-04T23:00:00-06:00,"Only relevant if an invitation letter is needed"
dl-usdla-cfp,ed-usdla-2027,cfp_deadline,"Tuesday, December 15, 2026, 11:59 p.m. ET",2026-12-15,23:59,ET,2026-12-16T04:59:00Z,exact,ev-010,2026-09-04T23:00:00-06:00,"UTC conversion assumes Eastern Standard Time on December 15"
