date_iso,time_local,timezone_as_stated,utc_datetime,deadline_type,certainty,event_name,edition_label,cfp_status,talk_ids,raw_date_text,conflict_notes,source_url
2026-09-06,,,,cfp,confirmed,STAREAST,STAREAST 2027,open,benchmarks,"September 6, 2026",,https://stareast.techwell.com/speaker-submission-form-stareast-2027
2026-09-09,,,,cfp,confirmed,AI Agent Event,AI Agent Event 2027,open,adaptive-systems;benchmarks;retrieval,September 9,Year supplied by the 2027 edition context; time and zone absent,https://www.aiagentevent.com/east/call-for-speakers.aspx
2026-09-09,,,,cfp_close,exact,AI Agent Event,AI Agent Event 2027,open,adaptive-systems;benchmarks;retrieval,Final Submission Deadline: September 9,Year is established by the page's 2027 edition context; no time or time zone stated.,https://www.aiagentevent.com/east/call-for-speakers.aspx
2026-09-09,,,,cfp_close,exact-from-edition-context,AI Agent Event,AI Agent Event 2027,open,adaptive-systems;benchmarks;retrieval,Final Submission Deadline: September 9,Year derived from the open 2027 CFP viewed in September 2026; no time zone stated,https://www.aiagentevent.com/east/call-for-speakers.aspx
2026-09-09,23:59,PT,,cfp_deadline,confirmed,CES,CES 2027,open,judgment;product-engineering,"Wednesday, September 9, 2026 at 11:59 PM PT",Source does not distinguish PDT/PST; UTC not normalized.,https://www.ces.tech/cfs
2026-09-11,,,,cfp_deadline,exact,CHEA Annual Conference,CHEA 2027 Annual Conference,open,evidence-learning;skeptic-education,"September 11, 2026",,https://www.chea.org/chea-2027-annual-conference-call-proposals
2026-09-11,,,,cfp_deadline,exact,CHEA Annual Conference,CHEA 2027 Annual Conference,open,evidence-learning;skeptic-education,"by September 11, 2026","Late proposals may be considered if space remains, but this does not make the route rolling",https://www.chea.org/chea-2027-annual-conference-call-proposals
2026-09-14,,,,cfp_close,exact,JavaLand,JavaLand 2027,open,adaptive-systems,"Call for Papers is open until September 14, 2026",,https://www.javaland.eu/en/home/
2026-09-15,,,,cfp_open,exact,OLC Innovate,OLC Innovate 2027,announced-not-open,evidence-learning;skeptic-education,"September 15, 2026",,https://onlinelearningconsortium.org/conferences/olc-innovate2027/present/
2026-09-15,,,,cfp_open,exact,OLC Innovate,OLC Innovate 2027,announced-not-open,evidence-learning;skeptic-education,"September 15, 2026: Call for Proposals opens",,https://onlinelearningconsortium.org/conferences/olc-innovate2027/present/
2026-09-18,,,,cfp_close,exact,DeveloperWeek,DeveloperWeek 2027,open,failure-improvement;free-tier;parallelization;retrieval,"Final Round proposal deadline is Friday, September 18, 2026",,https://www.developerweek.com/speakers/apply-to-speak/
2026-09-18,,,,cfp_deadline,confirmed,DeveloperWeek,DeveloperWeek 2027,open,failure-improvement;free-tier;parallelization;retrieval,"September 18, 2026",No time or timezone stated.,https://www.developerweek.com/speakers/apply-to-speak/
2026-09-18,,,,cfp_deadline,exact,ICAI Annual Conference,ICAI 2027 Annual Conference,open,evidence-learning,"September 18, 2026",,https://academicintegrity.org/aws/ICAI/pt/sp/conference_cfp
2026-09-18,23:59,Pacific Daylight Time (UTC-07:00),2026-09-19T06:59:00Z,cfp_deadline,confirmed,ProductWorld,ProductWorld 2027,open,judgment;product-engineering,"18 Sep 2026, 11:59 PM Pacific Daylight Time (UTC-07:00)",,https://sessionize.com/productworld-2027/
