talk_id,edition_id,recommended_variant,proposed_title,pitch_angle,fit_reason,past_session_evidence_ids,audience_rating,topic_rating,timing_rating,readiness_rating,logistics_rating,reach_rating,known_points,evidence_coverage_percent,queue,constraints,next_action,next_check_date
"parallelization","ed-pa-kubecon-eu27","30-minute adaptation","Parallelize Uncertainty: Multi-Agent Search With Evidence","Distinguish task decomposition from competing attempts, verification, speculation and evidence-based selection; ground the controller in cloud-native isolation, budgets and observable checks.","The Agentic AI track explicitly seeks multi-agent architectures and AgentOps, while the application-development track welcomes distributed-systems design.","ev-pa-kube-past1;ev-pa-kube-past2","5","5","5","5","","5","90","90","1-verified-actionable","Maximum three submissions; no Linux Foundation repeat from prior year; prior recording requested; travel funding unknown.","Prepare the 30-minute systems version for Agentic AI and submit by October 11.","2026-09-25"
"parallelization","ed-pa-agentics-eu27","25-minute cut","Parallelize Uncertainty in Production Agent Systems","Show six distinct fan-out patterns, selection costs and the rule that losing speculative branches must not commit side effects.","Purpose-built agent/MCP audience with production, reliability, trust and debugging themes; closest direct audience in the packet.","ev-pa-agentics-past1;ev-pa-agentics-past2","5","5","5","4","","4","87","90","1-verified-actionable","Twenty-five-minute cap; current outline needs a substantive cut; CFP timezone wording is internally inconsistent.","Cut the pattern tour to four patterns plus the compile-to-determinism climax and submit by October 18.","2026-09-30"
"parallelization","ed-pa-gids27","30-minute adaptation","Rethinking Parallelization for Agentic Engineering","Treat candidate generation, verification and selection as an engineering system with budgets, isolation and deterministic acceptance checks.","Architecture, AI-assisted engineering and systems-thinking audience is exact; the 30-minute format is ready.","ev-pa-gids-past1;ev-pa-gids-past2","5","5","5","5","4","4","97","100","1-verified-actionable","Must be grounded in work Dan directly did or materially contributed to; qualifying firsthand implementation is unknown.","Proceed only after identifying a truthful firsthand system or experiment; if available, submit by September 30.","2026-09-12"
"parallelization","ed-pa-vslive-austin27","20-minute Fast Focus","Five Agents, One Decision: Parallel Search Without the Pileup","Compress to competing attempts, independent verification, selection cost and deterministic compilation for working developers.","CFP explicitly includes agentic engineering, nondeterministic AI, evals and reliability; Fast Focus is usable with a tighter deck.","ev-pa-vsl-past1;ev-pa-vsl-past2","5","5","5","3","4","4","93","100","1-verified-actionable","Official page conflicts on deadline timezone; typical booking expects at least two 75-minute sessions and previous speaking experience.","Verify the deadline timezone and submit only with two credible companion proposals before October 5.","2026-09-15"
"parallelization","ed-pa-platformcon-sf27","25-minute cut","Scaling Agentic Work: Parallelize Uncertainty, Not Side Effects","Frame orchestration as a platform capability: isolated branches, explicit budgets, acceptance checks and auditable selection.","Platform audience and archived agent/platform sessions are excellent, but the named-production-case requirement may block the supplied conceptual talk.","ev-pa-platform-past1;ev-pa-platform-past2","5","5","5","3","2","4","89","100","1-verified-actionable","Requires a named organization, real implementation and outcomes; no travel expenses; official deadline times conflict.","Only proceed if Dan can document the required implementation and outcomes; otherwise retain as a monitored fit.","2026-09-10"
"parallelization","ed-pa-developerweek27","format to confirm; default 40-minute deck","Rethinking Parallelization in the Agentic Era","Present the full six-pattern vocabulary and close with evidence-driven selection and compilation of stable reasoning into tested artifacts.","Developer and engineering-leader audience; prior program directly covers async agents and human-agent feedback loops.","ev-pa-devweek-past1;ev-pa-devweek-past2","5","5","5","4","","5","88","90","1-verified-actionable","Final deadline is close; session duration, economics and rights are unknown.","Confirm duration immediately and submit the most technical variant before September 18.","2026-09-08"
"parallelization","ed-pa-srecon27","35-minute talk plus 10-minute Q&A","Parallel Search for Agentic Operations: Budgets, Evidence and Safe Speculation","Connect speculative investigations, correlated failure, deterministic checks and cancellation to incident diagnosis and distributed operations.","SREcon explicitly seeks applied distributed-systems depth and the second-order effects of AI as a teammate; format nearly matches.","ev-pa-sre-past1;ev-pa-sre-past2","4","4","5","5","","5","79","90","1-verified-actionable","Proposal must be submitted by Dan and primarily human-written; avoid implying independent failures or proven production results.","Write a human-authored 35-minute systems proposal and submit by November 19.","2026-10-15"
"parallelization","ed-pa-datasummit27","30- or 40-minute talk; confirm duration","Parallel Search and Verification for Agentic Data Systems","Use data-quality checks and query/test artifacts as deterministic selectors and as the output of successful exploratory reasoning.","Agentic AI and operational-data tracks are relevant, although the audience is broader than agent orchestration.","","4","5","5","4","","4","81","90","1-verified-actionable","Format, economics and specific past-session evidence remain incomplete.","Inspect the technical track requirements and submit only if a practitioner architecture slot fits by December 11.","2026-10-20"
"parallelization","ed-pa-gaic-seattle-2627","30-minute meetup variant; duration to confirm","Parallelize Uncertainty: Practical Patterns for Multi-Agent Work","Use the six-pattern vocabulary as a community talk, with discussion around correlated failures, verification and stopping rules.","Direct AI-agent, infrastructure and developer-tool audience with a verified rolling route; suitable for iterating the talk.","","4","5","5","4","3","2","85","100","2-upcoming-rolling","Travel origin and individual meetup slot duration are unknown.","Choose a 2027 date after internal travel review and tailor the proposal to the listed agents/tooling topics.","2026-10-01"
"parallelization","ed-pa-idi27","40 minutes including Q&A","Parallelize Uncertainty in DevOps and Agentic Systems","Tie speculative branches to Git isolation, read-only tools, observability, cleanup and evidence-backed promotion.","Exact 40-minute format and strong DevOps/platform audience; prior AIOps and agent-tooling sessions support appetite.","ev-pa-idi-past1;ev-pa-idi-past2","4","4","5","5","4","3","85","100","1-verified-actionable","Most attendees are Italian; travel reimbursement depends on unknown origin.","Submit the existing 40-minute English version by December 13 after checking language expectations.","2026-11-01"
