evidence_id,event_id,edition_id,field_supported,claim_or_excerpt,url,page_title,publisher,source_type,published_date,accessed_at,confidence,conflict_notes
src-ai-agent-cfp,ev-ai-agent-event,ed-ai-agent-2027,cfp_status;deadline;audience;requirements,"Official call is open with a September 9 deadline and seeks practical agent deployment, testing, evaluation, infrastructure, and governance; selected speakers receive an all-access pass.",https://www.aiagentevent.com/east/call-for-speakers.aspx,AI Agent Event Call for Papers,TMC,official CFP,,2026-09-04T12:00:00-06:00,high,"Year is supplied by the 2027 page context; no time zone stated"
src-ai-agent-home,ev-ai-agent-event,ed-ai-agent-2027,dates;location;attendance,"Official home page says February 9–11 2027 in Fort Lauderdale and claims 1,000 attendees and 30 speakers.",https://www.aiagentevent.com/east/,AI Agent Event 2027,TMC,official event page,,2026-09-04T12:00:00-06:00,high,"Agenda contains stale 2026 date rows; edition header is used"
src-ai-agent-past,ev-ai-agent-event,ed-ai-agent-2027,past_program_fit,"Official speaker archive includes enterprise AI-agent sessions on real-world operations and human-versus-agent choices.",https://www.aiagentevent.com/east/speakers.aspx,AI Agent Event Speaker Schedule,TMC,official program archive,,2026-09-04T12:00:00-06:00,medium,"Archive mixes 2026 program content into 2027 site"
src-developerweek-cfp,ev-developerweek,ed-developerweek-2027,cfp_status;deadline;requirements,"Official call says all speakers must use the public process; final-round deadline is September 18 2026 and talks are live in Santa Clara.",https://www.developerweek.com/speakers/apply-to-speak/,Apply to Speak – DeveloperWeek,DeveloperWeek,official CFP,,2026-09-04T12:00:00-06:00,high,
src-developerweek-about,ev-developerweek,ed-developerweek-2027,audience;dates;attendance,"Official About page identifies developers, architects, managers, executives, product managers, and founders; it claims 5,000+ annual participants and dates February 9–11 2027.",https://www.developerweek.com/about/,About – DeveloperWeek,DeveloperWeek,official event page,,2026-09-04T12:00:00-06:00,high,
src-developerweek-tracks,ev-developerweek,ed-developerweek-2027,topic_fit,"Official 2027 site lists APIs/MCP/tooling, cloud-native development, AI, DevSecOps, and DevExec programming.",https://www.developerweek.com/,DeveloperWeek 2027,DeveloperWeek,official event page,,2026-09-04T12:00:00-06:00,high,
src-gids-home,ev-gids,ed-gids-2027,dates;audience;history,"Official site confirms April 27–30 2027 in Bengaluru and describes the twentieth edition with 150+ sessions across architecture, AI, data, platform, testing, and leadership.",https://developersummit.com/,Great International Developer Summit 2027,Saltmarch Media,official event page,,2026-09-04T12:00:00-06:00,high,
src-gids-cfp,ev-gids,ed-gids-2027,cfp_status;deadline;formats;requirements;travel_support,"Organizer-linked form closes September 30 2026; offers 30- and 60-minute talks and discretionary support up to US$1,500 plus two nights for selected international speakers.",https://form.jotform.com/saltmarch/gids2027cfp,GIDS 2027 Call for Proposals,Saltmarch Media,official submission form,,2026-09-04T12:00:00-06:00,high,"Support is discretionary and reimbursed after valid bills"
src-eu-chatbot-cfp,ev-eu-chatbot,ed-eu-chatbot-2027,cfp_status;deadline;topic_fit,"Official speaker page invites 2027 proposals by October 1 and explicitly names RAG, agents, LLMOps, infrastructure, and human-AI collaboration.",https://theeuropeanchatbot.com/call-for-speakers/,Call for Speakers 2027,European Chatbot Summit,official CFP,,2026-09-04T12:00:00-06:00,high,"Conflicts with home page saying call will open soon"
src-eu-chatbot-home,ev-eu-chatbot,ed-eu-chatbot-2027,dates;location;recording_rights;status,"Official home page places the event in Edinburgh and says talks are recorded, but gives March 16–18 while the CFP says March 16–19 and says the call will open soon.",https://theeuropeanchatbot.com/,European Chatbot & Agentic AI Summit,European Chatbot Summit,official event page,,2026-09-04T12:00:00-06:00,high,"Official date and CFP-status conflicts retained"
src-agenticcon-cfp,ev-agenticcon,ed-agenticcon-2027,cfp_status;deadline;formats;topic_fit,"Official CFP offers 25-minute talks and asks for context, capability, execution, evaluation, security, and observability; the page contradicts itself with October 4 and November 1 deadlines.",https://agenticcon.com/cfp,Call for Proposals – AgenticCon 2027,Weave Intelligence,official CFP,,2026-09-04T12:00:00-06:00,high,"Also conflicts on October 20 versus November 17 notifications"
src-agenticcon-home,ev-agenticcon,ed-agenticcon-2027,audience;dates;history,"Official page confirms February 25 2027 in San Francisco and an enterprise platform/AI infrastructure audience; 2027 is the first edition described.",https://agenticcon.com/,AgenticCon,Weave Intelligence,official event page,,2026-09-04T12:00:00-06:00,high,"No prior-edition history"
src-platformcon-sf-cfp,ev-platformcon-sf,ed-platformcon-sf-2027,cfp_status;deadline;format;audience,"Official CFP confirms February 24 2027, 25-minute talks, 300 practitioners, and an October 4 12:59 PM EST deadline.",https://sanfrancisco.platformcon.com/cfp,PlatformCon San Francisco Call for Proposals,Platform Engineering community,official CFP,,2026-09-04T12:00:00-06:00,high,"EST is unusual for a San Francisco event and retained verbatim"
src-platformcon-context,ev-platformcon-sf,ed-platformcon-sf-2027,past_program_fit,"2026 official program included From 500K to 27K Tokens: Context Engineering for Production AI Agents, covering MCP, context scoping, and human-in-the-loop runbooks.",https://2026.platformcon.com/sessions/from-500k-to-27k-tokens-context-engineering-for-production-ai-agents-nyc,From 500K to 27K Tokens,PlatformCon,official program,2026-06-25,2026-09-04T12:00:00-06:00,high,
