talk_id,source_event_id,consolidated_event_id,event_name,organizer,series_url
benchmarks,evt-a4q,evt-a4q-global-testing-summit,A4Q Global Testing Summit,Alliance 4 Qualification,https://testingsummit.com/
failure-improvement,evt-fi-a4q,evt-a4q-testing-summit,A4Q Testing Summit,Alliance for Qualification,https://testingsummit.com/
parallelization,evt-pa-a4q,evt-a4q-testing-summit,A4Q Testing Summit,Alliance for Qualification,https://testingsummit.com/
benchmarks,evt-aaai,evt-aaai-conference-on-artificial-intelligence,AAAI Conference on Artificial Intelligence,Association for the Advancement of Artificial Intelligence,https://aaai.org/conference/aaai/aaai-27/
evidence-learning,ev-aalhe,evt-aalhe-annual-conference,AALHE Annual Conference,Association for the Assessment of Learning in Higher Education,https://www.aalhe.org/annual-conference
evidence-learning,ev-advance-he,evt-advance-he-teaching-and-learning-conference,Advance HE Teaching and Learning Conference,Advance HE,https://advance-he.ac.uk/programmes-events/teaching-learning-conference/
retrieval,ev-agenticcon,evt-agenticcon,AgenticCon,Weave Intelligence / Platform Engineering community,https://agenticcon.com/
adaptive-systems,evt-agenticdays,evt-agentic-engineering-days-zurich,Agentic Engineering Days Zurich,Agentic Engineering Days,https://www.agenticdays.com/
benchmarks,evt-agenticdays,evt-agentic-engineering-days-zurich,Agentic Engineering Days Zurich,Agentic Engineering Days,https://www.agenticdays.com/
adaptive-systems,evt-agentics-eu,evt-agentics-day-mcp-agents-europe,Agentics Day: MCP + Agents Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/
failure-improvement,evt-fi-agentics-eu,evt-agentics-day-mcp-agents-europe,Agentics Day: MCP + Agents Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/
parallelization,evt-pa-agentics-eu,evt-agentics-day-mcp-agents-europe,Agentics Day: MCP + Agents Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/
benchmarks,evt-agiletestingdays,evt-agile-testing-days,Agile Testing Days,trendig technology services GmbH,https://agiletestingdays.com/
adaptive-systems,evt-agntcon-eu,evt-agntcon-mcpcon-europe,AGNTCon + MCPCon Europe,The Linux Foundation,https://events.linuxfoundation.org/about/calendar/
