event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
evt-iste-live,ISTELive,International Society for Transforming Education,conference,https://conference.iste.org/,https://conference.iste.org/2027/presenters/submit_proposal.php,"K-12 teachers, technology coaches, school and district leaders, and higher-education educators","Annual international education-technology conference; 2027 follows ISTE and ASCD's consolidation under the International Society for Transforming Education.",ev-001;ev-002;ev-061;ev-062
evt-upcea-dtl,UPCEA Digital Teaching & Learning Conference,UPCEA,virtual conference,https://conferences.upcea.edu/,https://conferences.upcea.edu/DTL2027/proposals.html,"Instructional designers, faculty developers, faculty, academic technologists, digital-learning leaders, and higher-education innovators","More than four decades of predecessor history; reimagined as a virtual community-driven event.",ev-003;ev-004;ev-063;ev-064
evt-lilly-san-diego,Lilly Conference San Diego,International Teaching Learning Cooperative,conference,https://www.lillyconferences.com/,https://www.lillyconferences.com/contact,"Higher-education faculty, administrators, graduate students, and teaching-and-learning professionals","Part of a Lilly series with over four decades of teaching-and-learning programming and representation from 740+ institutions.",ev-005;ev-006
evt-lilly-austin,Lilly Conference Austin,International Teaching Learning Cooperative,conference,https://www.lillyconferences.com/,https://www.lillyconferences.com/contact,"Higher-education faculty, administrators, graduate students, and teaching-and-learning professionals","Part of a Lilly series with over four decades of evidence-based teaching-and-learning programming.",ev-007;ev-006
evt-chea-annual,CHEA Annual Conference,Council for Higher Education Accreditation,conference,https://www.chea.org/chea-2027-annual-conference,https://www.chea.org/chea-2027-annual-conference-call-proposals,"Higher-education leaders, accreditors, policymakers, faculty, researchers, and international quality-assurance colleagues","Annual higher-education accreditation and quality-assurance convening.",ev-008;ev-009
evt-usdla-national,USDLA National Conference,United States Distance Learning Association,conference,https://usdla.org/events/national-conference/,https://usdla.org/events/call-for-proposals/,"Higher education, K-12, corporate training, telehealth, government, military, instructional design, and distance-learning professionals","National distance-learning conference; 2027 is billed as USDLA's 40th anniversary.",ev-010;ev-011;ev-065;ev-066
evt-hi-ai,Hi AI!,Learning Technology Center of Illinois,virtual conference,https://www.ltcillinois.org/hiai/,https://www.ltcillinois.org/hiai/rfp/,"K-12 teachers, curriculum and instructional-technology leaders, district/building administrators, CTOs, and IT staff","Recurring Illinois education-AI conference; 2027 is online and follows a January 2026 edition.",ev-012;ev-013
evt-aste,ASTE Educational Technology Conference,Alaska Society for Technology in Education,regional conference,https://www.aste.org/conference/,https://www.aste.org/contact/,"Alaska K-12 teachers, technology coaches, administrators, IT and library staff, higher-ed faculty, preservice educators, and instructional-design leads","ASTE reports connecting Alaska educators since 1981; 2027 marks a 45-year history claim on the event page.",ev-014
evt-bett-uk,Bett UK,Hyve Group / Bett,conference and trade show,https://uk.bettshow.com/,https://uk.bettshow.com/call-for-speakers,"Teachers, school and trust leaders, FE/HE leaders, researchers, policymakers, inclusion specialists, and education-technology practitioners","Large annual international education-technology event; organizer reports 37,000+ attendees and 400+ speakers at the 2026 edition.",ev-015;ev-016;ev-067;ev-068
evt-olc-innovate,OLC Innovate,Online Learning Consortium and MERLOT,virtual conference,https://onlinelearningconsortium.org/conferences/olc-innovate2027/,https://onlinelearningconsortium.org/conferences/olc-innovate2027/present/,"Online, digital, and blended-learning educators, designers, leaders, vendors, and workplace learning professionals","Recurring OLC/MERLOT digital-learning conference; 2027 is fully virtual.",ev-017;ev-018;ev-069;ev-070
evt-ucf-tlai,Teaching and Learning with AI Conference,University of Central Florida Faculty Center for Teaching and Learning; Division of Digital Learning; UCF Libraries,conference,https://aiforall.ucf.edu/teachwithai/,mailto:teachwithai@ucf.edu,"Higher-education professionals, researchers, policymakers, faculty, librarians, and instructional designers","Fifth annual edition in 2027; practitioner-sharing conference focused on AI in higher-education classrooms.",ev-019;ev-020;ev-071;ev-072
evt-fl-innovation,Florida Online Innovation Summit,University of Central Florida Digital Learning Innovation Lab,regional conference,https://digitallearning.ucf.edu/ilab/innovation-summit/,mailto:iLab@ucf.edu,"Online administrators, faculty, instructional designers, researchers, technologists, and training professionals in higher education","Annual one-day summit with public programs archived from 2020 through 2026; proposals are not limited to Florida institutions.",ev-021;ev-022;ev-073;ev-074
evt-osu-learning-design,Ohio State Learning Design Day,Ohio State University Center on Education and Training for Employment,university symposium,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/,mailto:learningdesign@osu.edu,"Instructional designers, educational technologists, and learning-experience creators","Inaugural symposium in 2027; no prior program history.",ev-023
evt-ala-annual,ALA Annual Conference and Exhibition,American Library Association,conference,https://www.ala.org/conferencesevents/,https://www.ala.org/conferencesevents/ala-annual-2027-call-proposals,"Librarians, library leaders, educators, researchers, and information professionals","Long-running annual association conference with education programs and posters.",ev-024
evt-learner-conference,International Conference on Learning,The Learner Research Network,academic conference,https://thelearner.com/2027-conference,https://thelearner.com/2027-conference/call-for-papers,"Educators, researchers, policymakers, and practitioners across formal, informal, adult, workplace, and higher education","Thirty-fourth annual conference in 2027; proceedings/publication pathway offered.",ev-025
evt-icaied,International Conference on AI in Education,ICAIED,academic conference,https://www.icaied.org/,https://www.icaied.org/call-for-papers,"Education researchers, doctoral students, teachers, policymakers, and practitioners","First edition announced for 2027; organizer track record and governance are not yet established.",ev-026
