event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
ev-icai,ICAI Annual Conference,International Center for Academic Integrity,association conference,https://academicintegrity.org/aws/ICAI/pt/sp/conference_home_page,https://academicintegrity.org/aws/ICAI/pt/sp/conference_cfp,"Academic-integrity educators, administrators, researchers, and practitioners","35th annual conference in 2027; official site links past conference programs.",src-icai-home;src-icai-cfp;src-icai-program
ev-upcea-dtl,UPCEA Digital Teaching & Learning Conference,UPCEA,virtual practitioner conference,https://conferences.upcea.edu/DTL2027/,https://conferences.upcea.edu/DTL2027/proposals.html,"Instructional designers, faculty, academic technologists, researchers, and digital-learning leaders","Recurring virtual conference; 2026 program contains multiple AI-and-assessment sessions.",src-dtl-cfp;src-dtl-2026-program
ev-ala,ALA Annual Conference & Exhibition,American Library Association,association conference,https://2027.alaannual.org/,https://www.ala.org/conferencesevents/ala-annual-2027-call-proposals,"Library and information professionals, including academic librarians and educators","Long-running annual conference; 2027 has separate education-program and poster CFP routes.",src-ala-cfp
ev-olc-innovate,OLC Innovate,Online Learning Consortium and MERLOT,virtual practitioner conference,https://onlinelearningconsortium.org/conferences/olc-innovate2027/,https://onlinelearningconsortium.org/conferences/olc-innovate2027/present/,"Online, blended, and digital-learning educators, designers, and leaders","Recurring conference; 2026 featured academic-integrity and AI assessment programming.",src-olc-cfp;src-olc-2026-program
ev-usdla,USDLA National Conference,United States Distance Learning Association,hybrid practitioner conference,https://usdla.org/events/national-conference/,https://usdla.org/events/call-for-proposals/,"Higher education, K-12, corporate, government, military, and telehealth distance-learning practitioners","40th anniversary edition in 2027; 2026 program included assessment validity and AI-rich assessment design.",src-usdla-cfp;src-usdla-2026-program
ev-ucf-tlwai,Teaching and Learning with AI Conference,University of Central Florida Faculty Center / Division of Digital Learning / Libraries,university-hosted conference,https://aiforall.ucf.edu/teachwithai/,https://aiforall.ucf.edu/teachwithai/,"Higher-education faculty, faculty-support staff, librarians, administrators, researchers, and policymakers","Fifth annual edition in 2027; 2024 program included authentic assessment and AI-supported assessment sessions.",src-ucf-2027;src-ucf-2024-authentic;src-ucf-2024-assessment
ev-lilly-sd,Lilly Conference San Diego,International Teaching Learning Cooperative,teaching conference,https://www.lillyconferences.com/,https://www.lillyconferences-ca.com/,"Higher-education faculty, administrators, and graduate students","Part of the recurring Lilly Conference series focused on scholarship of teaching and learning.",src-lilly-series
ev-lilly-austin,Lilly Conference Austin,International Teaching Learning Cooperative,teaching conference,https://www.lillyconferences.com/,https://www.lillyconferences-tx.com/proposals,"Higher-education faculty, administrators, and graduate students","Recurring regional Lilly conference with criterion-referenced rolling review.",src-lilly-series;src-lilly-austin-cfp
ev-osu-ldd,Ohio State Learning Design Day: Fresh Ideas,Ohio State University Center on Education and Training for Employment,university symposium,https://cete.osu.edu/ohio-state-learning-design-day/,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/,"Instructional designers, educational technologists, and learning-experience creators","Inaugural annual event in 2027; no past editions exist.",src-osu-cfp
ev-wscuc-arc,WSCUC Accreditation Resource Conference,WASC Senior College and University Commission,accreditation conference,https://www.wscuc.org/arc2027/,https://www.wscuc.org/arc2027cfp/,"Higher-education leaders and professionals in accreditation, assessment, and institutional effectiveness","Recurring annual conference; 2026 tracks covered assessment, quality assurance, and AI-aligned institutional values.",src-wscuc-cfp;src-wscuc-2026;src-wscuc-authentic
ev-chea,CHEA Annual Conference,Council for Higher Education Accreditation,accreditation conference,https://www.chea.org/2027-annual-conference,https://www.chea.org/chea-2027-annual-conference-call-proposals,"Higher-education leaders, accreditors, policymakers, faculty, researchers, and international colleagues","Recurring annual quality-assurance conference; 2026 CFP also sought AI and higher-education institutional-norm proposals.",src-chea-cfp;src-chea-2026
ev-inqaahe,INQAAHE Biennial Conference,International Network for Quality Assurance Agencies in Higher Education,quality-assurance conference,https://inqaahe2027-doha.org/,https://inqaahe2027-doha.org/call-for-proposals/,"International higher-education quality-assurance agencies and providers","Biennial conference; 2025 program included multiple AI, human-evaluator, and programme-assessment sessions.",src-inqaahe-cfp;src-inqaahe-2025-program;src-inqaahe-human
ev-aalhe,AALHE Annual Conference,Association for the Assessment of Learning in Higher Education,assessment conference,https://www.aalhe.org/annual-conference,https://www.aalhe.org/annual-conference,"Higher-education assessment practitioners","Recurring annual assessment conference; 2026 virtual program included several AI-era assessment-redesign sessions.",src-aalhe-2027;src-aalhe-2026-program
ev-nercomp,NERCOMP Annual Conference,NERCOMP in partnership with EDUCAUSE,regional higher-ed technology conference,https://events.educause.edu/nercomp-annual-conference/2027,https://events.educause.edu/nercomp-annual-conference/2027,"Higher-education IT and library professionals, faculty, researchers, and practitioners in the northeastern US","Recurring regional conference; 2027 edition announced, but no current CFP was found.",src-nercomp-2027
ev-pfw-tlc,Fort Wayne Teaching and Learning Conference,Purdue University Fort Wayne,regional university conference,https://www.pfw.edu/faculty-support/teaching-and-learning-conference,https://www.pfw.edu/faculty-support/teaching-and-learning-conference,"Faculty, staff, and higher-education educators","Recurring conference; official page says the 2027 CFP will open in October.",src-pfw-2027
ev-tulane-sparking,Sparking Success Faculty Development Conference,Tulane University Center for Engaged Learning & Teaching,university faculty-development conference,https://celt.tulane.edu/sparking-success,https://celt.tulane.edu/sparking-success,"Faculty across disciplines and career stages","Ninth annual event in 2027; official archive lists more than 100 prior breakout sessions.",src-tulane-2027
ev-lilac,LILAC,Information Literacy Group of CILIP,information-literacy conference,https://www.lilacconference.com/,https://www.lilacconference.com/lilac-2027/call-for-presentations-1,"Information-literacy practitioners across sectors","Recurring conference; 2027 CFP explicitly asks proposals to go beyond basic AI adoption or AI-literacy instruction.",src-lilac-cfp
ev-isls,ISLS Annual Meeting / ICLS and CSCL,International Society of the Learning Sciences,research conference,https://2027.isls.org/,https://2027.isls.org/icls-2027-call-for-proposals/,"Learning-sciences researchers and practitioners","Recurring annual meeting; 2027 is the first annual meeting hosted in the Global South.",src-isls-cfp
ev-ieee-educon,IEEE Global Engineering Education Conference (EDUCON),IEEE Education Society,research conference,https://educon-conference.org/current/,https://ieee-edusociety.org/post/educon-2027-call-abstracts,"Engineering educators, education researchers, and technology innovators","Recurring IEEE conference; 2027 CFP includes AI and innovative assessment but routes through research abstracts/papers.",src-educon-cfp
ev-hec,Honolulu Education Conference,International Education for Sustainable Development Alliance,commercial/academic conference,https://intesda.org/education-conference/,https://intesda.org/education-conference/,"Educators, academics, researchers, and students","Fourth edition in 2027; organizer and speaker economics require extra due diligence.",src-hec-cfp
ev-icaied,International Conference on AI in Education 2027,ICAIED,first-edition hybrid research conference,https://www.icaied.org/,https://www.icaied.org/call-for-papers,"Education researchers, teachers, doctoral students, policymakers, and practitioners","First edition; no history is available and organizer provenance needs additional verification.",src-icaied-cfp
ev-herdsa,HERDSA Annual Conference,Higher Education Research and Development Society of Australasia,higher-education research/practice conference,https://conference.herdsa.org.au/2027/,https://conference.herdsa.org.au/2027/,"Higher-education teachers, researchers, developers, leaders, and policymakers","Recurring Australasian annual conference; 2027 page contains stale year labels in its important-dates component.",src-herdsa-2027
ev-advance-he,Advance HE Teaching and Learning Conference,Advance HE,higher-education teaching conference,https://advance-he.ac.uk/programmes-events/teaching-learning-conference/,https://advance-he.ac.uk/programmes-events/teaching-learning-conference/,"Academics, learning technologists, curriculum developers, professional staff, leaders, and policymakers","Recurring three-day flagship; 2027 event is bookable but no speaker CFP was found.",src-advancehe-2027;src-advancehe-2026-program
ev-pod,POD Network Annual Conference,Professional and Organizational Development Network in Higher Education,educational-development conference,https://podnetwork.org/annual-conference/,https://podnetwork.org/annual-conference/baltimore-2026-draft/call-for-proposals/,"Educational developers and faculty-development professionals","51st annual conference in 2026; CFP closed, but program framing explicitly includes generative AI and teaching practices.",src-pod-2026
ev-issotl,ISSOTL Annual Conference,International Society for the Scholarship of Teaching and Learning,scholarship-of-teaching conference,https://issotl.com/,https://issotl.com/issotl26/call-for-proposals/,"International scholarship-of-teaching-and-learning community","Recurring annual conference; 2026 CFP closed and requires explicit grounding in SoTL scholarship.",src-issotl-2026
ev-educause,EDUCAUSE Annual Conference,EDUCAUSE,higher-education technology conference,https://events.educause.edu/annual-conference,https://events.educause.edu/annual-conference/call-for-proposals,"Higher-education technology leaders and teaching-and-learning professionals","Recurring flagship; 2026 CFP closed, with separate in-person and online delivery choices.",src-educause-2026
ev-enai,European Conference on Ethics and Integrity in Academia,European Network for Academic Integrity,academic-integrity conference,https://www.academicintegrity.eu/conference/,https://www.academicintegrity.eu/conference/,"European and international academic-integrity educators and researchers","Recurring European conference; 2026 edition is within the horizon but no current open CFP was found.",src-enai-2026;src-enai-series
ev-enrio,ENRIO Congress,European Network of Research Integrity Offices,research-integrity congress,https://www.enrio.eu/enrio-congress/enrio2027/,https://www.enrio.eu/enrio-congress/enrio2027/,"Research-integrity officers, trainers, policymakers, researchers, and funders","Recurring European research-integrity congress; 2027 edition announced without a public speaker route.",src-enrio-2027
