evidence_id,event_id,edition_id,field_supported,claim_or_excerpt,url,page_title,publisher,source_type,published_date,accessed_at,confidence,conflict_notes
ev-001,evt-iste-live,ed-iste-2027,cfp_status;deadline;fit,"Call for Participation is open through September 30, 2026; practical transformation and actionable strategies are preferred.",https://conference.iste.org/2027/presenters/submit_proposal.php,Present at ISTELive 27,International Society for Transforming Education,official CFP,,2026-09-04T23:00:00-06:00,high,
ev-002,evt-iste-live,ed-iste-2027,dates;mode;notification,"ISTELive 27 runs June 27-30, 2027 in Boston as a hybrid event; notifications are in December and confirmations in January.",https://conference.iste.org/2027/about/faq.php,ISTELive 27 FAQs,International Society for Transforming Education,official FAQ,,2026-09-04T23:00:00-06:00,high,
ev-003,evt-upcea-dtl,ed-upcea-dtl-2027,cfp_status;deadline;eligibility;formats,"Virtual event February 3-4, 2027; proposals due September 30; current UPCEA membership is required and corporate members need an institutional-member co-presenter.",https://conferences.upcea.edu/DTL2027/proposals.html,2027 UPCEA DT&L Call for Proposals,UPCEA,official CFP,,2026-09-04T23:00:00-06:00,high,
ev-004,evt-upcea-dtl,ed-upcea-dtl-2027,audience;history;mode,"DT&L is a virtual community-driven conference for instructional designers, faculty developers, faculty, technologists, and digital-learning leaders, continuing a four-decade predecessor tradition.",https://conferences.upcea.edu/DTL2027/,2027 UPCEA Digital Teaching & Learning Conference,UPCEA,official event page,,2026-09-04T23:00:00-06:00,high,
ev-005,evt-lilly-san-diego,ed-lilly-sd-2027,dates;cfp_status;deadline;fit,"San Diego edition runs January 7-9, 2027 under 'Teaching for Active & Engaged Learning in the Age of AI'; CFP is open and closes October 1.",https://www.lillyconferences.com/,Lilly Conference Series,International Teaching Learning Cooperative,official series page,,2026-09-04T23:00:00-06:00,high,
ev-006,evt-lilly-san-diego,ed-lilly-sd-2027,history;audience;reach,"Lilly reports more than four decades of programming, participants from 30+ states and 125+ institutions per event, focused on scholarly teaching and student learning.",https://www.lillyconferences.com/about,About Lilly Conferences,International Teaching Learning Cooperative,official organizer page,,2026-09-04T23:00:00-06:00,medium,"Organizer-reported reach"
ev-007,evt-lilly-austin,ed-lilly-austin-2027,dates;cfp_status;fit,"Austin edition runs May 17-19, 2027 under 'AI and the Future of Evidence-Based Teaching in Higher Education'; CFP shown open with no deadline.",https://www.lillyconferences.com/,Lilly Conference Series,International Teaching Learning Cooperative,official series page,,2026-09-04T23:00:00-06:00,high,"Deadline absent"
ev-008,evt-chea-annual,ed-chea-2027,cfp_status;deadline;fit;eligibility,"Open call to all through September 11, 2026; topics include student outcomes, evidence of learning, AI, quality assurance, and institutional value.",https://www.chea.org/chea-2027-annual-conference-call-proposals,CHEA 2027 Annual Conference Call for Proposals,Council for Higher Education Accreditation,official CFP,,2026-09-04T23:00:00-06:00,high,
ev-009,evt-chea-annual,ed-chea-2027,dates;audience,"Conference runs January 25-28, 2027 in Washington DC for higher-ed leaders, accreditors, policymakers, faculty, researchers, and international colleagues.",https://www.chea.org/chea-2027-annual-conference,CHEA 2027 Annual Conference,Council for Higher Education Accreditation,official event page,,2026-09-04T23:00:00-06:00,high,
ev-010,evt-usdla-national,ed-usdla-2027,cfp_status;deadline;formats;costs,"CFP open through December 15, 2026 at 11:59 p.m. ET; 45-minute sessions may be onsite or virtual; presenter fee USD 300 onsite or USD 100 virtual.",https://usdla.org/events/call-for-proposals/,USDLA 2027 Call for Proposals,United States Distance Learning Association,official CFP,,2026-09-04T23:00:00-06:00,high,
ev-011,evt-usdla-national,ed-usdla-2027,history;past_program,"2026 program includes an AI preconference workshop and multiple concurrent distance-learning sessions.",https://usdla.org/events/national-conference/,USDLA National Conference,United States Distance Learning Association,official program,,2026-09-04T23:00:00-06:00,medium,
ev-012,evt-hi-ai,ed-hi-ai-2027,cfp_status;deadline;formats;fit,"Online CFP open through October 12 for 50-minute sessions; strands include AI assessment, literacy, ethics, personalization, and policy.",https://www.ltcillinois.org/hiai/rfp/,Hi AI! Call for Proposals,Learning Technology Center of Illinois,official CFP,,2026-09-04T23:00:00-06:00,high,
ev-013,evt-hi-ai,ed-hi-ai-2027,audience;dates;positioning,"January 14-15, 2027 online conference offers cautious educators big-picture and practical K-12 AI content.",https://www.ltcillinois.org/hiai/attend/,Hi AI! Attend,Learning Technology Center of Illinois,official event page,,2026-09-04T23:00:00-06:00,high,
ev-014,evt-aste,ed-aste-2027,cfp_status;deadline;dates;fit;history,"February 13-15, 2027 in Anchorage; rolling CFP due September 30; AI, student impact, and administration strands; ASTE states it has connected Alaska educators since 1981.",https://www.aste.org/conference/,ASTE 2027 Conference,Alaska Society for Technology in Education,official event and CFP page,,2026-09-04T23:00:00-06:00,high,
ev-015,evt-bett-uk,ed-bettuk-2027,cfp_status;formats;requirements,"Ongoing call accepts 30-minute sessions, 45-minute workshops, panels and clinics; current review is for the 2027 reserve list and then 2028; bio, headshot, and organization are required.",https://uk.bettshow.com/call-for-speakers,Call for Speakers Bett UK 2027,Bett,official speaker call,,2026-09-04T23:00:00-06:00,high,"First-look deadline passed; ongoing does not mean normal-program availability"
