event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
"evt-ju-productworld","ProductWorld","DevNetwork","conference","https://productworld.co/","https://productworld.co/contact/","Product managers; product engineers; designers; engineering and product leaders","Annual ProductWorld within DeveloperWeek; 2026 program directly addressed AI-era product engineering.","ev-ju-pw-past1;ev-ju-pw-past2"
"evt-ju-uxdx","UXDX","UXDX","cross-functional conference and community series","https://uxdx.com/","https://uxdx.com/contact/","Product; research; design; engineering leaders and practitioners","Recurring US/European conferences plus always-open local and online stages.","ev-ju-uxdx-past1;ev-ju-uxdx-past2"
"evt-ju-pls","Product-Led Summit","Product-Led Alliance","conference series","https://world.productledalliance.com/","https://www.productledalliance.com/contact","Product and growth leaders; product engineers; experimentation teams","Global summit series with public request-to-speak forms and archived agendas.","ev-ju-pls-past1;ev-ju-pls-past2"
"evt-ju-optimizers","Optimizers Conference","Test & Learn Community","retreat conference and attendee-led unconference","https://optimizersconference.com/","https://optimizersconference.com/#contact","Experimentation; product; design; research; analytics; engineering and growth practitioners","Formerly Experimentation Island; small nonprofit-led retreat with curated keynotes and attendee-led sessions.","ev-ju-opt-past1;ev-ju-opt-past2"
"evt-ju-gids","Great International Developer Summit","Saltmarch Media","conference","https://developersummit.com/","https://developersummit.com/contact","Software engineers; architects; product engineers; engineering leaders","2027 is advertised as the twentieth edition; program stresses real engineering decisions and tradeoffs.","ev-ju-gids-past1;ev-ju-gids-past2"
"evt-ju-bacon","BACon","IIBA Columbus Chapter","regional conference","https://columbusoh.iiba.org/","https://columbusoh.iiba.org/contact-us","Business analysis; product; technology; AI and transformation practitioners","Regional practitioner conference expanded beyond business analysis to product and AI.",""
"evt-ju-aifestival","AI Festival","Search On Media Group / WMF","conference","https://en.aifestival.it/","https://en.aifestival.it/contact/","AI builders; founders; product and business leaders","Annual Milan AI event; organizer reports 10,000+ attendees and 200+ speakers in 2026.","ev-ju-aif-past1;ev-ju-aif-past2"
"evt-ju-ces","CES","Consumer Technology Association","conference and trade show","https://www.ces.tech/","https://www.ces.tech/contact-us/","Technology executives; product leaders; founders; global industry practitioners","Large annual technology event with independently selected conference speakers and separate sponsored stages.","ev-ju-ces-past1;ev-ju-ces-past2"
"evt-ju-apqc","APQC CONNECT","APQC","conference","https://www.apqcconnect.org/","https://www.apqcconnect.org/contact-us","Process; performance; knowledge; transformation and operations leaders","APQC has run practitioner conferences for more than 25 years; 2026 archive includes AI operating-model sessions.","ev-ju-apqc-past1;ev-ju-apqc-past2"
"evt-ju-dxannual","DX Annual","DX","invitation-only conference","https://getdx.com/dxannual/","mailto:dxannual@getdx.com","CTOs; VPs; heads of engineering; developer-productivity leaders","Inaugural 2026 San Francisco event; expands to San Francisco and London in 2027.","ev-ju-dx-past1;ev-ju-dx-past2"
"evt-ju-elc","Engineering Leaders Conference Prague","Engineering Leaders Community","regional conference","https://www.elc-conference.io/","https://www.elc-conference.io/contact","Engineering and product leaders in Central Europe","Established Central European leadership community; 2027 conference announced with 500+ attendee projection.","ev-ju-elc-past1;ev-ju-elc-past2"
"evt-ju-leaddev","LDX3 / LeadDev","LeadDev","conference","https://leaddev.com/","https://leaddev.com/contact-us","Engineering managers; senior ICs; directors; VPs; CTOs","Long-running engineering-leadership program; London 2027 announced after 2026 New York/Berlin editions.","ev-ju-lead-past1;ev-ju-lead-past2"
"evt-ju-productatheart","Product at Heart","Product at Heart","conference","https://productatheart.com/conference","https://productatheart.com/contact","Product managers and product leaders","Independent single-track Hamburg product conference; 2027 return announced.","ev-ju-pah-past1;ev-ju-pah-past2"
"evt-ju-productcon","ProductCon","Product School","conference series","https://productschool.com/productcon","https://productschool.com/contact","Senior product leaders; CPOs; product managers","Global London/New York/San Francisco product conference circuit; no public speaker route found.","ev-ju-pcon-past1;ev-ju-pcon-past2"
"evt-ju-possible","POSSIBLE","Hyve Group","conference","https://possibleevent.com/","https://possibleevent.com/contact/","Marketing; brand; founders; innovators; product-adjacent executives","Annual Miami marketing/innovation event with an open editorial speaker application and separate vendor sales route.","ev-ju-poss-past1;ev-ju-poss-past2"
"evt-ju-kmweu","KMWorld Europe","Information Today","conference","https://www.kmworld.com/Europe/2027/","https://www.kmworld.com/Europe/2027/ContactUs.aspx","Knowledge management; AI; organizational learning practitioners","New European edition from the organizer of the long-running KMWorld Washington conference.","ev-ju-km-past1;ev-ju-km-past2"
"evt-ju-ainext","AINext Awards & Conference","Next Business Media","conference series","https://ainextconference.com/","https://ainextconference.com/contact","Applied-AI operators; founders; enterprise and product leaders","Multi-city applied-AI series with public speaker-interest routes.",""
"evt-ju-ctocraft","CTO Craft Con Europe","CTO Craft","conference","https://conference.ctocraft.com/london/","https://ctocraft.com/contact/","CTOs; VPs Engineering; senior technology and product-engineering leaders","Recurring London senior technology leadership conference.","ev-ju-cto-past1;ev-ju-cto-past2"
"evt-ju-arc","ARC Software Architecture & Engineering Conference","ARC","conference","https://futurewitharc.com/","https://futurewitharc.com/contact/","Senior software engineers; architects; AI builders; engineering leaders","New practitioner-led MENA engineering conference; no earlier edition verified.",""
"evt-ju-producttank","ProductTank","Mind the Product","meetup and digital event series","https://www.mindtheproduct.com/producttank/","https://support.mindtheproduct.com/hc/en-us/requests/new","Product managers; designers; engineers; local product communities","Global ProductTank community with an organizer-facing speaker directory and recurring digital/local events.","ev-ju-pt-past1;ev-ju-pt-past2"
