edition_id,event_id,edition_label,edition_url,start_date,end_date,date_status,city,country,mode,language,cfp_url,guidelines_url,cfp_status,eligibility,formats_and_durations,submission_requirements,compensation,travel_support,speaker_costs,recording_rights,accessibility,attendance_value,attendance_year,verified_at,source_ids,unknowns
ed-icai-2027,ev-icai,ICAI 2027 Annual Conference,https://academicintegrity.org/aws/ICAI/pt/sp/conference_home_page,2027-02-25,2027-02-28,exact,Monterrey,Mexico,in-person,English and Spanish,https://academicintegrity.org/aws/ICAI/pt/sp/conference_cfp,https://academicintegrity.org/aws/ICAI/pt/sp/conference_cfp,open,"No credential restriction stated; readiness for in-person delivery required","40 minutes: 30-35 presentation plus 5-10 Q&A; panels","Theme area; title; proposal; learning outcomes; no more than two submissions bearing one person's name and only one lead program",,,,,,"Educators, administrators, and industry experts committed to academic integrity",,2026-09-04T12:00:00-06:00,src-icai-home;src-icai-cfp;src-icai-program,"Compensation, travel support, registration cost, rights, accessibility, and Dan's travel willingness are unknown."
ed-upcea-dtl-2027,ev-upcea-dtl,DT&L 2027,https://conferences.upcea.edu/DTL2027/,2027-02-03,2027-02-04,exact,,,virtual,English,https://conferences.upcea.edu/DTL2027/proposals.html,https://conferences.upcea.edu/DTL2027/proposals.html,open,"Presenters must be current UPCEA institutional or corporate members; corporate members need an institutional-member co-presenter","10-minute lightning; 50-minute concurrent; 60-minute workshop/general","All speakers named; complete contact details; outcomes; engagement plan; level; evidence or reflective practice","Not stated","Not applicable for virtual delivery","Presenter pays registration and related expenses","Organizers may edit title/description; digital materials collected",,"Instructional designers, faculty, researchers, and digital-learning leaders",,2026-09-04T12:00:00-06:00,src-dtl-cfp;src-dtl-2026-program,"Dan's UPCEA membership/affiliation and eligible co-presenter status are unknown; exact deadline time and registration price are not stated."
ed-ala-2027,ev-ala,ALA Annual 2027,https://2027.alaannual.org/,2027-06-24,2027-06-28,exact,New Orleans,United States,in-person planned,English,https://www.ala.org/conferencesevents/ala-annual-2027-call-proposals,https://www.ala.org/conferencesevents/ala-annual-2027-call-proposals,open,"Open call; no membership requirement stated on the reviewed page","Education programs and posters; durations in linked guides not reviewed","Separate education-program form and guide; learning objectives; rubric",,"No travel or accommodation support stated","Presenter responsible for travel, accommodation, and registration; discounted registration offered","May be asked to consent to recording",,"Large cross-sector library audience; exact attendance not verified",,2026-09-04T12:00:00-06:00,src-ala-cfp,"Talk needs an academic-library/information-literacy angle; exact formats, accessibility terms, fee, and rights language are unknown."
ed-olc-innovate-2027,ev-olc-innovate,OLC Innovate 2027,https://onlinelearningconsortium.org/conferences/olc-innovate2027/,2027-04-20,2027-04-22,exact,,,virtual,English,https://onlinelearningconsortium.org/conferences/olc-innovate2027/present/,https://onlinelearningconsortium.org/conferences/olc-innovate2027/present/,announced-not-open,"Educators, vendors, and L&D professionals may submit; product/service proposals need educator or L&D co-presenter","Multiple virtual session types; exact 2027 durations not captured","Double-blind proposal; outcomes; audience appeal; interactivity; vendor-neutral educational content",,"No travel needed","Accepted presenters must register and pay published fee; price not yet available","2026 sessions were recorded for nine months; 2027 rights not stated",,"Global online-learning practitioner network; attendance figure not verified",,2026-09-04T12:00:00-06:00,src-olc-cfp;src-olc-2026-program,"CFP opens 2026-09-15; 2027 recording/accessibility terms and registration price unknown."
ed-usdla-2027,ev-usdla,USDLA 2027 National Conference,https://usdla.org/events/call-for-proposals/,2027-06-21,2027-06-24,exact,Cleveland,United States,hybrid,English,https://usdla.org/events/call-for-proposals/,https://usdla.org/events/call-for-proposals/,open,"Open to practitioners across multiple education and training sectors; first-time speakers encouraged","45-minute concurrent; extended time may be requested; onsite or virtual","10-word title; 200-word abstract; detailed description; objectives; engagement plan; bio; no sales pitch","Not stated","Not stated","$300 onsite presenter registration; $100 virtual presenter fee","Abstracts published in program",,"Cross-sector distance-learning audience; attendance not verified",,2026-09-04T12:00:00-06:00,src-usdla-cfp;src-usdla-2026-program,"Virtual component dates remain TBD; compensation, travel support, rights, and accessibility are unknown."
ed-ucf-tlwai-2027,ev-ucf-tlwai,Teaching and Learning with AI 2027,https://aiforall.ucf.edu/teachwithai/,2027-06-01,2027-06-03,exact,Orlando,United States,in-person,English,https://aiforall.ucf.edu/teachwithai/,https://aiforall.ucf.edu/teachwithai/,announced-not-open,"Higher-education practitioners, researchers, and policymakers; K-12 educators also encouraged","2027 agenda shows 30-minute concurrent sessions; full guidelines pending","Guidelines not yet published",,"Not stated","All presenters must register; presenter price TBA",,,"International higher-education AI teaching audience; attendance not verified",,2026-09-04T12:00:00-06:00,src-ucf-2027;src-ucf-2024-authentic;src-ucf-2024-assessment,"CFP opens 2026-10-05; exact submission fields, travel support, compensation, rights, accessibility, and presenter fee unknown."
ed-lilly-sd-2027,ev-lilly-sd,Lilly San Diego 2027,https://www.lillyconferences.com/,2027-01-07,2027-01-09,exact,San Diego,United States,in-person,English,https://www.lillyconferences-ca.com/,https://www.lillyconferences-ca.com/,open,"Faculty, administrators, and graduate students are invited; exact eligibility not captured","Formats not captured from reviewed page",,,,,,,"Teaching for Active & Engaged Learning in the Age of AI",2027,2026-09-04T12:00:00-06:00,src-lilly-series,"Deadline is verified but submission requirements, formats, economics, rights, accessibility, and two specific past-session examples remain unknown."
ed-lilly-austin-2027,ev-lilly-austin,Lilly Austin 2027,https://www.lillyconferences-tx.com/proposals,2027-05-17,2027-05-19,exact,Austin,United States,in-person,English,https://www.lillyconferences-tx.com/proposals,https://www.lillyconferences-tx.com/proposals,open-rolling,"Higher-education teaching community; affiliation requested but restriction not stated","20- or 40-minute presentation; roundtable; digital poster","10-word title; 25-word key statement; 100-word abstract; three outcomes; two tracks; 3-5 references",,,, ,"ADA accommodations requested in writing before registration and at least three months before event","AI and the Future of Evidence-Based Teaching in Higher Education",2027,2026-09-04T12:00:00-06:00,src-lilly-series;src-lilly-austin-cfp,"CFP can close early; registration costs, compensation, travel, rights, and specific past-session evidence unknown."
ed-osu-ldd-2027,ev-osu-ldd,Ohio State Learning Design Day 2027,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/,2027-05-13,2027-05-13,exact,Columbus,United States,in-person,English,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/,open,"No external-presenter restriction stated; maximum two facilitators","45-50 minute presentation, interactive workshop, or demonstration","Title; track; <=500-word abstract; <=50-word description; format; 1-3 objectives; technology needs; facilitators; accessibility integrated",,"Not stated","Not stated",,"Materials must be fully accessible; accessibility is part of selection criteria","Inaugural small learning-design symposium",2027,2026-09-04T12:00:00-06:00,src-osu-cfp,"No history; deadline year is implied by the 2027 page; compensation, travel, speaker costs, and rights unknown."
ed-wscuc-arc-2027,ev-wscuc-arc,ARC2027,https://www.wscuc.org/arc2027cfp/,2027-04-07,2027-04-09,exact,San Diego,United States,in-person,English,https://www.wscuc.org/arc2027cfp/,https://www.wscuc.org/arc2027cfp/,open,"Open to higher-education leaders and professionals; priority to accredited institutions in good standing","Session formats not captured; workshop rooms support small-group work","Evidence-based action, tangible outcomes, applicability, audience appeal; vendor promotion excluded",,"No travel support stated","Full registration fee plus own travel and lodging",,"Electronic materials optional; no accessibility terms captured","Accreditation and quality-assurance leaders; attendance not verified",,2026-09-04T12:00:00-06:00,src-wscuc-cfp;src-wscuc-2026;src-wscuc-authentic,"Dan's relationship to a WSCUC-accredited institution is unknown and affects priority; exact format/duration and rights unknown."
