evidence_id,event_id,edition_id,field_supported,claim_or_excerpt,url,page_title,publisher,source_type,published_date,accessed_at,confidence,conflict_notes
src-developerweek-cfp,ev-developerweek,ed-developerweek-2027,cfp_status;deadline;requirements,"Official call says all speakers must submit through the public process; final-round deadline is 18 September 2026 and talks are in person in Santa Clara.",https://www.developerweek.com/speakers/apply-to-speak/,Apply to Speak – DeveloperWeek,DeveloperWeek,official CFP,,2026-09-04T12:00:00-06:00,high,
src-developerweek-about,ev-developerweek,ed-developerweek-2027,audience;attendance;dates,"Official About page identifies developers, architects, managers, executives, product managers, and founders; it claims 5,000+ annual attendees and dates 9–11 February 2027.",https://www.developerweek.com/about/,About – DeveloperWeek,DeveloperWeek,official event page,,2026-09-04T12:00:00-06:00,high,
src-developerweek-tracks,ev-developerweek,ed-developerweek-2027,topic_fit,"Official 2027 site lists AI, cloud-native, DevSecOps, enterprise development, and DevExec programming.",https://www.developerweek.com/,DeveloperWeek 2027,DeveloperWeek,official event page,,2026-09-04T12:00:00-06:00,high,
src-kubecon-eu-cfp,ev-kubecon-eu,ed-kubecon-eu-2027,cfp_status;deadline;formats;requirements;costs,"CFP is open through 11 October 2026 23:59 CEST; 30-minute sessions fit; one pass is included; three-proposal limit and no sales pitches apply.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/,Call For Proposals,KubeCon + CloudNativeCon Europe / Linux Foundation,official CFP,,2026-09-04T12:00:00-06:00,high,
src-kubecon-eu-home,ev-kubecon-eu,ed-kubecon-eu-2027,dates;location;audience,"Official homepage confirms 15–18 March 2027 in Barcelona and describes a flagship gathering of cloud-native adopters and technologists.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/,KubeCon + CloudNativeCon Europe,CNCF / Linux Foundation,official event page,,2026-09-04T12:00:00-06:00,high,
src-kubecon-eu-sponsor,ev-kubecon-eu,ed-kubecon-eu-2027,attendance_value,"Official sponsor page says the event engages 13,000 developers, architects, and technical leaders.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/sponsor/,Sponsor,KubeCon + CloudNativeCon Europe / Linux Foundation,official sponsor page,,2026-09-04T12:00:00-06:00,high,"Organizer marketing figure, not independently audited"
src-kubecon-na-cost-session,ev-kubecon-eu,ed-kubecon-eu-2027,past_program_fit,"CNCF event archives and current track descriptions establish ongoing interest in performance, resource utilization, platform product management, and cloud-native business value.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/,Call For Proposals,KubeCon + CloudNativeCon Europe / Linux Foundation,official CFP,,2026-09-04T12:00:00-06:00,medium,"Theme-level evidence rather than two named past sessions"
src-tokenomicon-home,ev-tokenomicon-x,ed-tokenomicon-x-2027,dates;location;status,"Official page confirms Tokenomicon + FinOps X on 7–10 June 2027 in San Diego and provides waitlist/sponsor paths but no public CFP.",https://www.tokenomicon.com/,Tokenomicon 2027,Tokenomicon,official event page,,2026-09-04T12:00:00-06:00,high,
src-finopsx-guide,ev-tokenomicon-x,ed-tokenomicon-x-2027,topic_fit;formats;eligibility;requirements,"2026 official speaker guide explicitly covers AI token costs, SaaS scope, unit economics, and executive decisions; 45-minute breakouts and 90-minute Chalk Talks are practitioner/end-user only while lightning talks are open to all.",https://x.finops.org/speaker-guide/,FinOps X 2026 Speaker Guide,FinOps Foundation,official speaker guide,,2026-09-04T12:00:00-06:00,high,"Historical rules; do not assume unchanged for 2027"
src-finopsx-2027,ev-tokenomicon-x,ed-tokenomicon-x-2027,series_change,"Official FinOps Foundation announcement says FinOps X becomes a co-conference with Tokenomicon in San Diego in 2027.",https://www.finops.org/insights/finops-x-2026-recap/,FinOps X 2026 recap and next events,FinOps Foundation,official announcement,,2026-09-04T12:00:00-06:00,high,
src-finopsx-ai-session,ev-tokenomicon-x,ed-tokenomicon-x-2027,past_program_fit,"The 2026 organizer recap highlights AI and agentic FinOps and organizational decisions/tradeoffs; the guide requires real examples and data.",https://www.finops.org/insights/finops-x-2026-recap/,FinOps X 2026 recap,FinOps Foundation,official recap,,2026-09-04T12:00:00-06:00,medium,"Program-theme evidence; not two fully verified named sessions"
src-tokenomics-events,ev-tokenomicon-london,ed-tokenomicon-london-2027,dates;topic_fit,"Tokenomics Foundation lists London 8–9 February 2027, Amsterdam 22–23 September 2026, and San Diego 7–10 June 2027; its stack includes allocation, forecasting, optimization, cost to serve, and cost per call.",https://www.tokeneconomics.com/,Token Economics,Tokenomics Foundation,official organizer page,,2026-09-04T12:00:00-06:00,high,
src-tokenomics-stack,ev-tokenomicon-london,ed-tokenomicon-london-2027,topic_fit,"Organizer's discipline model names cost-to-serve and cost-per-call concepts directly matching the talk thesis.",https://www.tokeneconomics.com/,Token Economics,Tokenomics Foundation,official organizer page,,2026-09-04T12:00:00-06:00,high,
src-finops-tokenomicon-news,ev-tokenomicon-amsterdam,ed-tokenomicon-amsterdam-2026,history;dates,"FinOps Foundation announcement describes smaller Tokenomicon events in Amsterdam and London ahead of the 2027 San Diego co-conference.",https://www.finops.org/insights/finops-x-2026-recap/,FinOps X 2026 recap,FinOps Foundation,official announcement,,2026-09-04T12:00:00-06:00,high,
src-dod-global-speaking,ev-devopsdays-raleigh,ed-dod-raleigh-2027,cfp_status;deadline,"Official global speaking index listed open calls and deadlines for Almaty, Tel Aviv, Los Angeles, and Raleigh at verification.",https://devopsdays.org/speaking/,Speaking at DevOpsDays,DevOpsDays,official series page,,2026-09-04T12:00:00-06:00,high,"Some local pages conflict with the global index; each conflict is retained"
src-dod-la-propose,ev-devopsdays-la,ed-dod-la-2027,status;formats;requirements,"Local official page confirms 2 April 2027, 30–40-minute and 10-minute formats, local/noncommercial preferences, and a SCaLE submission link, but says CFP is TBD.",https://devopsdays.org/events/2027-los-angeles/propose/,DevOpsDays Los Angeles – Propose,DevOpsDays Los Angeles,official CFP page,,2026-09-04T12:00:00-06:00,high,"Conflicts with official global index labeling call open with 1 November deadline"
src-dod-raleigh-propose,ev-devopsdays-raleigh,ed-dod-raleigh-2027,status;deadline;formats;requirements,"Local official page says CFP opens 1 September 2026 and closes 1 January 2027; it also lists an impossible notification date of 1 September 2026.",https://devopsdays.org/events/2027-raleigh/propose/,DevOpsDays Raleigh – Propose,DevOpsDays Raleigh,official CFP page,,2026-09-04T12:00:00-06:00,high,"Notification date precedes CFP close and is flagged without correction"
src-dod-telaviv-propose,ev-devopsdays-telaviv,ed-dod-telaviv-2026,status;formats;requirements,"Local official page says CFP TBD while also giving an email submission route, 30-minute/Ignite/Open Space formats, and noncommercial selection rules.",https://devopsdays.org/events/2026-tel-aviv/propose/,DevOpsDays Tel Aviv – Propose,DevOpsDays Tel Aviv,official CFP page,,2026-09-04T12:00:00-06:00,high,"Conflicts with global official index labeling the call open"
src-dod-zurich-cost,ev-devopsdays-la,ed-dod-la-2027,past_program_fit,"An official DevOpsDays Zurich program carried a session titled Cutting 2/3rds of your cloud costs with common sense, showing audience appetite for cost talks.",https://devopsdays.org/events/2026-zurich/program/,DevOpsDays Zurich 2026 program,DevOpsDays Zurich,official program,,2026-09-04T12:00:00-06:00,medium,"Global-family evidence, not Los Angeles- or Raleigh-specific history"
src-platformcon-home,ev-platformcon,ed-platformcon-flagship-2027,dates;mode;audience;history,"Official site lists 2027 flagship days in London and New York plus free virtual access, a 280,000+ community, hundreds of speakers, and an archive of thousands of talks.",https://platformcon.com/,PlatformCon 2027,Platform Engineering community,official event page,,2026-09-04T12:00:00-06:00,high,"Organizer reach claims"
src-platformcon-cost-talk,ev-platformcon,ed-platformcon-flagship-2027,past_program_fit,"Official archive exposes platform engineering case-study programming; no two named cost-specific sessions were verified in the available extraction.",https://platformcon.com/,PlatformCon 2027,Platform Engineering community,official archive,,2026-09-04T12:00:00-06:00,low,"Theme-level evidence only"
src-platformcon-sf,ev-platformcon-sf,ed-platformcon-sf-2027,dates;topic_fit;cfp_route,"Official page confirms 24–25 February 2027, platform foundations and agentic platforms, and a Call for Proposals navigation item; no deadline/status text was extracted.",https://sanfrancisco.platformcon.com/,PlatformCon San Francisco 2027,Platform Engineering community,official event page,,2026-09-04T12:00:00-06:00,high,"Navigation label is not treated as proof that the call is open"
src-saastr-2027,ev-saastr,ed-saastr-2027,dates;audience;attendance,"Official page confirms 11–12 May 2027 in San Mateo and claims 10,000+ founders, executives, and VCs with 200+ speakers.",https://saastrannual.com/summer-splash,SaaStr AI Annual 2027,SaaStr,official event page,,2026-09-04T12:00:00-06:00,high,"Organizer marketing figures"
src-saastr-speaker,ev-saastr,ed-saastr-2027,submission_route,"Official 2027 page links Apply to speak; interactive application details and deadline were not visible in extracted HTML.",https://www.saastrannual.com/speaker-submission,Speak at SaaStr AI Annual 2027,SaaStr,official application page,,2026-09-04T12:00:00-06:00,medium,"Route exists; exact open status is treated as rolling because no close date is published"
src-saastr-pricing-session,ev-saastr,ed-saastr-2027,past_program_fit,"Official attendee page includes a testimonial that participants learned B2B pricing at the prior event and describes AI-native B2B programming.",https://www.saastrannual.com/buy-tickets-2026,Buy Tickets – SaaStr AI Annual 2027,SaaStr,official event page,,2026-09-04T12:00:00-06:00,medium,"General program evidence, not two named sessions"
src-saastock-speakers,ev-saastock-eu,ed-saastock-eu-2027,history;audience;dates,"Official speaker archive states acquisition/rebrand, announces London 24–26 May and San Francisco 6–8 September 2027, and lists ten years of speaker history.",https://saastock.com/speakers,SaaStock Speakers,SaaStock / Founderpath,official archive,,2026-09-04T12:00:00-06:00,high,
src-saastock-home,ev-saastock-eu,ed-saastock-eu-2027,status;commercial_route,"Official home page prominently offers 2027 flagship sponsorship and does not expose a public editorial CFP in the reviewed content.",https://saastock.com/,SaaStock,Founderpath,official event page,,2026-09-04T12:00:00-06:00,high,"Absence in reviewed page does not prove invitation-only; status remains invitation-only-or-unknown"
src-cloudfest-2027,ev-cloudfest,ed-cloudfest-2027,dates;attendance;audience,"Official event page confirms 15–18 March 2027 in Germany and claims 10,000+ participants and 250+ speakers; 2026 recap reports 10,900 attendees.",https://www.cloudfest.com/event,CloudFest 2027,CloudFest,official event page,,2026-09-04T12:00:00-06:00,high,"Organizer marketing figures"
src-cloudfest-partner,ev-cloudfest,ed-cloudfest-2027,commercial_route,"Official partner page says packages can include a speaking/engagement format; this is commercial inventory, not an editorial CFP.",https://www.cloudfest.com/partner-zone/exhibit,Information on Exhibiting at CloudFest,CloudFest,official sponsor page,,2026-09-04T12:00:00-06:00,high,
src-srecon26-cfp,ev-srecon,ed-srecon-next,history;formats;eligibility;topic_fit,"2026 CFP welcomed AI, platform engineering, technical systems work, and international/new speakers; formats were 15+5 and 35+10.",https://www.usenix.org/conference/srecon26americas/call-for-participation,SREcon26 Americas Call for Participation,USENIX,official historical CFP,,2026-09-04T12:00:00-06:00,high,"Historical, not a current CFP"
src-srecon26-home,ev-srecon,ed-srecon-next,history;recordings;accessibility,"Official 2026 page says slides and videos are made open access and describes accessibility support.",https://www.usenix.org/conference/srecon26americas,SREcon26 Americas,USENIX,official historical event page,,2026-09-04T12:00:00-06:00,high,
src-srecon26-presenters,ev-srecon,ed-srecon-next,recording_rights;costs,"Presenter instructions require a consent-to-publish form for audio/slides/video and say registration instructions are sent to speakers.",https://www.usenix.org/conference/srecon26americas/instructions-presenters,SREcon26 Americas Instructions for Presenters,USENIX,official presenter guide,,2026-09-04T12:00:00-06:00,high,
src-srecon26-cost-session,ev-srecon,ed-srecon-next,past_program_fit,"The official 2026 program emphasizes reliability under complex AI-enabled systems; no two named unit-economics sessions were verified.",https://www.usenix.org/conference/srecon26americas/program,SREcon26 Americas Conference Program,USENIX,official program,,2026-09-04T12:00:00-06:00,low,"Adjacent theme evidence only"
src-kubecon-na-cfp,ev-kubecon-na,ed-kubecon-na-2026,status;deadline;requirements,"Official 2026 North America CFP is closed; it closed 31 May at 23:59 Mountain Time and capped speakers at three submissions.",https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/program/cfp/,Call For Proposals,KubeCon + CloudNativeCon North America / Linux Foundation,official CFP,,2026-09-04T12:00:00-06:00,high,
src-kubecon-na-faq,ev-kubecon-na,ed-kubecon-na-2026,dates;mode;recordings,"Official FAQ confirms 9–12 November 2026 in Salt Lake City, no virtual component, and public recordings after the event.",https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/attend/faq/,FAQ,KubeCon + CloudNativeCon North America / Linux Foundation,official event FAQ,,2026-09-04T12:00:00-06:00,high,
src-ndc-london-cfp,ev-ndc-london,ed-ndc-london-2027,status;deadline;formats;topic_fit,"Official CFP is closed after 30 August 2026; 2027 topics included AI, cloud, architecture, platform engineering, and SRE; formats included 60-minute and 10–15-minute talks.",https://ndclondon.com/call-for-papers,Call for Papers – NDC London,NDC Conferences,official CFP,,2026-09-04T12:00:00-06:00,high,
src-finops-paris,ev-finops-paris,ed-finops-paris-rolling,route;audience;history,"Meetup's organizer-controlled group page says all speaker types are welcome, asks people with experiences to contact the organizer, links replays, and lists 1,412 members and 26 past events.",https://www.meetup.com/fr-fr/meetup-cloud-finops-paris/,FinOps x GreenOps France,Community organizers,organizer-controlled community page,,2026-09-04T12:00:00-06:00,medium,
src-finops-paris-past,ev-finops-paris,ed-finops-paris-rolling,past_program_fit,"Past listings include BigQuery committed-use discounts, cloud cost optimization, chargeback, and tooling.",https://www.meetup.com/fr-fr/meetup-cloud-finops-paris/,FinOps x GreenOps France,Community organizers,organizer-controlled community archive,,2026-09-04T12:00:00-06:00,medium,
src-finops-berlin,ev-finops-berlin,ed-finops-berlin-rolling,history;audience;route,"Organizer-controlled page describes a cost-governance audience, 340 members, 15 past events, and a message-organizer route.",https://www.meetup.com/berlin-finops/,Berlin FinOps and Cloud Cost Optimization,Community organizers,organizer-controlled community page,,2026-09-04T12:00:00-06:00,medium,"No explicit call for speakers"
src-finops-connect,ev-finops-connect,ed-finops-connect-rolling,history;audience;route,"Organizer-controlled page says the open community runs in-person and virtual meetups and encourages attending, hosting, or sponsoring.",https://www.meetup.com/finops-connect/,FinOps Connect,Community organizers,organizer-controlled community page,,2026-09-04T12:00:00-06:00,medium,"Hosting may not mean editorial speaking; verify"
src-finops-connect-ai,ev-finops-connect,ed-finops-connect-rolling,past_program_fit,"Past event title The AI Shift: Transforming the way we Build, Run and Fund Cloud is directly adjacent to the talk.",https://www.meetup.com/finops-connect/,FinOps Connect,Community organizers,organizer-controlled community archive,,2026-09-04T12:00:00-06:00,medium,
src-finops-chicago,ev-finops-chicago,ed-finops-chicago-rolling,history;topic_fit,"Organizer-controlled page lists a prior online session Getting Started with FinOps for SaaS: Turning Cost into Business Value and 16 members.",https://www.meetup.com/finops-chicago/,FinOPS Chicago,Community organizer,organizer-controlled community page,,2026-09-04T12:00:00-06:00,medium,"No explicit public speaker route"
src-cncf-thane-finops,ev-cncf-thane,ed-cncf-thane-monitor,past_program_fit;historical_route,"Official CNCF community event had a dedicated FinOps agenda with four cost sessions and invited talk proposals through a form.",https://community.cncf.io/events/details/cncf-cloud-native-thane-presents-cloud-native-thane-january-meetup/,Cloud Native Thane January Meetup,CNCF Community,official community event page,2025-01-25,2026-09-04T12:00:00-06:00,high,"Historical event and form only"
src-cncf-montreal,ev-cncf-montreal,ed-cncf-montreal-monitor,past_program_fit;historical_route,"Official CNCF community event advertised a speaker form and programmed Kubernetes bill shock plus lightning talks in English and French.",https://community.cncf.io/events/details/cncf-montreal-presents-october-montreal-cncf-meetup-doctobre-end-user-stories-house-of-kube/,October Montréal CNCF Meetup,CNCF Community,official community event page,2024-10-16,2026-09-04T12:00:00-06:00,high,"Historical event and form only"
src-finops-paid-placement,ev-finops-virtual,ed-finops-virtual-commercial,commercial_category,"FinOps Foundation membership page lists a Premier commercial tier that includes a presentation at a virtual summit with roughly 1,500+ attendees.",https://www.finops.org/membership/,FinOps Foundation Membership,FinOps Foundation,official commercial page,,2026-09-04T12:00:00-06:00,high,"Paid placement; excluded from editorial opportunities"
