talk_id,edition_id,recommended_variant,proposed_title,pitch_angle,fit_reason,past_session_evidence_ids,audience_rating,topic_rating,timing_rating,readiness_rating,logistics_rating,reach_rating,known_points,evidence_coverage_percent,queue,constraints,next_action,next_check_date
evidence-learning,ed-chea-2027,40-minute adapted to 60-minute interactive concurrent,"Stop Trying to Catch Students Using AI: Designing Better Evidence of Learning","Evidence of learning, assessment validity, and human accountability as quality assurance","Direct 2027 topics include student outcomes, evidence of learning, institutional integrity, and AI in teaching and QA.",src-chea-2026,4,5,5,4,2,4,85,83,verified actionable opportunities,"FINALIST; deadline urgent; 60-minute slot needs added interaction; varied-perspective preference may favor a co-presenter; economics unknown","Prepare a noncommercial 60-minute concurrent proposal and verify whether a solo submission satisfies the varied-perspectives criterion.",2026-09-06
evidence-learning,ed-icai-2027,40-minute original,"Stop Trying to Catch Students Using AI: Designing Better Evidence of Learning","Move from authorship inference and detection toward diagnostic evidence and transfer","Exact audience, AI theme, and 40-minute format align unusually well; current program language already questions detection-first approaches.",src-icai-past-1;src-icai-past-2,5,5,5,5,,4,89,86,verified actionable opportunities,"FINALIST; in-person Monterrey required; no more than two submissions; travel/economics unknown","Draft the 40-minute AI-theme proposal before September 18 and separately verify presenter registration and travel obligations.",2026-09-06
evidence-learning,ed-ala-2027,40-minute education program,"From Authorship Policing to Evidence of Learning","Academic librarians as partners in assessment redesign, source reasoning, and accessible alternatives","Open education-program CFP and library audience offer a credible route, but the pitch must make information-literacy and librarian roles central.",src-ucf-2024-authentic;src-lilac-cfp,3,3,5,4,2,5,70,79,verified actionable opportunities,"Deadline urgent; in-person costs are presenter-paid; academic-library angle needs substantive adaptation","Read the education-program guide and rubric, then decide whether the library-specific adaptation is strong enough to submit.",2026-09-07
evidence-learning,ed-upcea-dtl-2027,40-minute adapted to 50-minute concurrent,"Stop Trying to Catch Students Using AI: Designing Better Evidence of Learning","Authentic evaluation, staged assistance, and independent transfer in digital courses","Audience and listed topics explicitly cover instructional design, authentic evaluation, responsible GenAI, and course redesign.",src-dtl-past-1;src-dtl-past-2,5,5,5,4,4,3,94,92,verified actionable opportunities,"FINALIST; UPCEA membership required; corporate status would require an institutional-member co-presenter; presenter pays registration","Verify Dan's UPCEA membership category immediately; if eligible, expand the talk to a 50-minute applied session with 10-15 minutes of discussion.",2026-09-06
evidence-learning,ed-lilly-sd-2027,40-minute,"Stop Trying to Catch Students Using AI","Active assessment redesign in the age of AI","The edition theme and higher-education teaching audience are excellent, and the existing 40-minute format is likely usable.",,5,5,5,5,2,3,92,63,verified actionable opportunities,"FINALIST but evidence incomplete; submission fields, presenter costs, and two past-session examples not captured","Open the live proposal form, confirm format and costs, and submit only after checking required affiliation and rights.",2026-09-06
evidence-learning,ed-isls-2027,workshop or design contribution,"Designing Evidence of Learning When AI Can Produce the Artifact","A design-research framing of diagnostic questions, assistance records, reconstruction, and transfer","Learning-sciences audience fits the thesis, but the route expects a research contribution rather than a ready-made practitioner talk.",,4,4,3,2,,4,67,63,upcoming/rolling routes to prepare for,"Paper/publication burden; empirical validation may be required; existing talk alone is insufficient","Only pursue if source material can support a conceptual/design contribution with literature and empirical evidence; otherwise skip.",2026-09-10
evidence-learning,ed-wscuc-arc-2027,40-minute expanded to interactive session,"Evidence of Learning in an AI World","Assessment validity, accreditation evidence, and human review boundaries","WSCUC prioritizes evidence-based action and student success; prior programming includes AI and authentic assessment.",src-wscuc-past-1;src-wscuc-past-2,4,5,5,4,2,4,85,88,verified actionable opportunities,"FINALIST; in-person only; priority favors accredited institutions in good standing; all costs borne by presenters","Verify whether Dan can credibly submit with or through an accredited institution, then adapt around institutional evidence and accreditation.",2026-09-10
evidence-learning,ed-ieee-educon-2027,research abstract,"Assessment Validity in AI-Mediated Engineering Education","Engineering-education application of independent transfer and reviewable evidence","Topics include GenAI and innovative assessment, but this is a research-conference route and the talk is not engineering-specific.",,3,4,3,2,,4,58,58,exclusions with reasons,"Likely paper/author requirements and weak engineering-specific evidence","Exclude unless a documented engineering-education implementation or study becomes available.",
evidence-learning,ed-tulane-sparking-2027,40-minute adapted breakout,"Show the Learning, Not the Typing","Faculty-ready redesign of one brittle assessment","Small faculty-development conference has clear appetite for evidence-of-learning and AI topics, with a public application route.",src-tulane-past-1;src-tulane-past-2,5,4,5,4,2,2,82,84,verified actionable opportunities,"FINALIST; deadline year inferred from page context; external presenter eligibility and costs unknown","Confirm external-presenter eligibility through the public conference contact before investing in the application.",2026-09-12
evidence-learning,ed-olc-innovate-2027,40-minute adapted virtual education session,"Stop Trying to Catch Students Using AI: Designing Better Evidence of Learning","Online assessment integrity through observable reasoning and independent transfer","Exact online-learning audience, explicit GenAI assessment topic, virtual mode, and prior integrity programming make this a top fit.",src-olc-past-1;src-olc-past-2,5,5,4,4,4,4,91,94,upcoming/rolling routes to prepare for,"FINALIST; CFP not open until September 15; presenter must pay registration; double-blind submission","Prepare the anonymized proposal now, then verify the live form and submit after September 15.",2026-09-15
