talk_id,edition_id,recommended_variant,proposed_title,pitch_angle,fit_reason,past_session_evidence_ids,audience_rating,topic_rating,timing_rating,readiness_rating,logistics_rating,reach_rating,known_points,evidence_coverage_percent,queue,constraints,next_action,next_check_date
retrieval,ed-ai-agent-2027,40-minute adapted to unspecified slot,"From RAGs to Retrievals: The Engineering Concepts Behind Agent Systems","Translate retrieval, context, evals, MCP, permissions, and agent execution into production engineering concerns","The call names AI architects/developers, production-ready agents, testing/evaluation, observability, and practical deployment.",src-ai-agent-cfp;src-ai-agent-past,5,5,5,3,,4,88,82,verified actionable opportunities,"FINALIST; September 9 deadline; real deployment experience emphasized; duration unknown; agenda contains stale 2026 dates","Inspect the form for duration and pitch the production handoffs rather than a glossary.",2026-09-05
retrieval,ed-developerweek-2027,40-minute adapted to conference slot,"From RAGs to Retrievals: Learn the New Engineering Speak","Bridge experienced developers into AI architecture without erasing probabilistic failure modes","Audience exactly includes developers, architects, engineering leaders, and product managers; AI and cloud tracks fit.",src-developerweek-about;src-developerweek-tracks,5,5,5,5,,4,95,82,verified actionable opportunities,"FINALIST; September 18 deadline; duration and economics unknown","Prepare one final-round proposal under AI DevWorld or DevExec and inspect the live form before any authorized submission.",2026-09-08
retrieval,ed-gids-2027,30-minute adaptation,"The AI Terms Changed. The Engineering Problems Didn't.","Show familiar engineering abstractions, their leaking boundaries, and operational tradeoffs","The call seeks architecture, data/intelligent systems, AI-augmented engineering, and practical real-world constraints.",src-gids-cfp;src-gids-home,5,5,5,5,4,4,96,92,verified actionable opportunities,"FINALIST; requires work directly done or materially contributed to; form probes technical depth; travel support discretionary","Use the 30-minute format and ground every analogy in the talk's concrete retrieval/eval/agent examples.",2026-09-10
retrieval,ed-platformcon-sf-2027,25-minute adaptation,"Context Is Selected State, Not a Bigger Prompt","Translate context, MCP, evals, and agent tools into platform primitives and control boundaries","Past program includes exact context-engineering, MCP, eval, and governance sessions; current event targets platform engineers.",src-platformcon-sf-cfp;src-platformcon-context;src-platformcon-evals,5,5,4,4,,4,86,94,verified actionable opportunities,"FINALIST; October 4 at 12:59 PM EST is unusual; 15-minute deck needs ten minutes of platform-specific material","Recheck the stated time zone and build a 25-minute platform version centered on context admission and authority.",2026-09-15
retrieval,ed-agenticcon-2027,25-minute adaptation,"The Agent Is a Worker; the Execution Path Is Output","Use familiar worker/retry/idempotency concepts, then show what model-selected control flow changes","Current CFP explicitly requests context, capability, execution, evaluation, security, and observability.",src-agenticcon-cfp;src-agenticcon-home,5,5,2,4,,4,78,90,upcoming/rolling routes to prepare for,"FINALIST; same official page has conflicting deadlines and notifications; real incidents desired but supplied deck uses hypotheticals","Seek organizer correction before relying on either deadline; prepare the 25-minute version meanwhile.",2026-09-08
retrieval,ed-cnai-day-2027,25-minute adaptation,"RAG Is an Information Architecture","Separate candidate retrieval, ranking, context construction, generation, and evaluation for production teams","Event topics explicitly include RAG and AI agents and target production AI/ML.",src-cnai-day;src-haystack-program,5,5,5,4,3,4,90,88,verified actionable opportunities,"FINALIST; 25-minute slot; must add cloud-native production evidence and avoid broad glossary framing","Adapt slides 4–10 into the core and use agent context/tool boundaries as the closing application.",2026-09-15
retrieval,ed-kubecon-eu-2027,30-minute session,"RAG Is an Information Architecture","Show how retrieval, context, evaluation, and tool authority behave as cloud-native system boundaries","Agentic AI and AI inference tracks cover context, tool integration, benchmarking, observability, and production operations.",src-kubecon-eu-cfp;src-cnai-day,5,5,5,5,2,5,92,94,verified actionable opportunities,"FINALIST; high competition; previous recording requested; topic must focus on cloud-native implementation rather than terminology","Choose one of the main CFP or co-located AI Day as primary, not duplicate copy; tailor to production handoffs.",2026-09-15
retrieval,ed-dutch-ai-2027,40-minute adapted to unknown slot,"The AI Terms Changed. The Engineering Problems Didn't.","Practical, no-hype bridge from search/state/APIs/tests to RAG, context, MCP, and evals","Exact developer/architect audience; past program has RAG, vector-search, and MCP sessions.",src-dutch-ai-cfp;src-dutch-ai-rag;src-dutch-ai-vector,5,5,5,5,5,4,99,96,verified actionable opportunities,"FINALIST; event dates conflict within official page; duration unknown; topic saturation is high","Differentiate from implementation tutorials by making analogy boundaries and failure localization the central promise.",2026-10-01
retrieval,ed-srecon-2027,35-minute talk plus Q&A,"The Old Failure Questions Still Apply to AI Agents","Retries, idempotency, checkpoints, budgets, traces, context, and tool authority for SREs entering AI","2027 theme asks what remains foundational as AI becomes a teammate; prior program includes exact terminology-bridge and agent-operations talks.",src-srecon26-agents;src-srecon26-language,5,5,5,5,,5,95,94,verified actionable opportunities,"FINALIST; must attest content is primarily human-written; needs a stronger reliability through-line; travel/economics unknown","Use the 35-minute slot and reframe retrieval/context slides around production diagnosis and control.",2026-10-01
retrieval,ed-aoma-2027,40-minute including Q&A,"Keep the Engineering. Check the AI Analogy.","Help architects communicate what changed and where familiar abstractions fail","The 2027 CFP explicitly seeks architectures for AI, dangers/pitfalls, and organizational implications—not AI basics.",src-aoma-cfp;src-aoma-history,5,4,5,5,4,3,91,88,verified actionable opportunities,"FINALIST; slot includes Q&A and favors hands-on balance; must avoid being perceived as AI basics","Pitch the talk as an architecture-boundary review and add a short audience exercise mapping one system.",2026-09-20
