deadline_id,edition_id,deadline_type,raw_date_text,date_iso,time_local,timezone_as_stated,utc_datetime,certainty,source_id,verified_at,conflict_notes
dl-chea-submit,ed-chea-2027,cfp_deadline,"September 11, 2026",2026-09-11,,,,exact,src-chea-cfp,2026-09-04T12:00:00-06:00,
dl-icai-submit,ed-icai-2027,cfp_deadline,"September 18, 2026",2026-09-18,,,,exact,src-icai-cfp,2026-09-04T12:00:00-06:00,
dl-icai-notify,ed-icai-2027,notification,"October 9, 2026",2026-10-09,,,,exact,src-icai-cfp,2026-09-04T12:00:00-06:00,
dl-ala-open,ed-ala-2027,cfp_open,"August 24, 2026",2026-08-24,,,,exact,src-ala-cfp,2026-09-04T12:00:00-06:00,
dl-ala-submit,ed-ala-2027,cfp_deadline,"September 21, 2026 - 11:59pm Eastern",2026-09-21,23:59,Eastern,2026-09-22T03:59:00Z,exact,src-ala-cfp,2026-09-04T12:00:00-06:00,"UTC conversion uses EDT in effect on this date."
dl-ala-notify,ed-ala-2027,notification,"December 2026",2026-12,,,,exact-month,src-ala-cfp,2026-09-04T12:00:00-06:00,"Month only; not placed on a specific calendar date."
dl-dtl-submit,ed-upcea-dtl-2027,cfp_deadline,"September 30",2026-09-30,,,,exact,src-dtl-cfp,2026-09-04T12:00:00-06:00,"Year is unambiguous from the 2027 CFP timeline and 2026 publication context; no time zone stated."
dl-dtl-notify,ed-upcea-dtl-2027,notification,"Week of November 2",2026-11-02,,,,exact-week,src-dtl-cfp,2026-09-04T12:00:00-06:00,"Week only; ISO stores the first named date, not a promised notification day."
dl-dtl-confirm,ed-upcea-dtl-2027,speaker_confirmation,"December 10",2026-12-10,,,,exact,src-dtl-cfp,2026-09-04T12:00:00-06:00,
dl-dtl-materials,ed-upcea-dtl-2027,materials_deadline,"January 15, 2027",2027-01-15,,,,exact,src-dtl-cfp,2026-09-04T12:00:00-06:00,
dl-lilly-sd-submit,ed-lilly-sd-2027,cfp_deadline,"Closes October 1, 2026",2026-10-01,,,,exact,src-lilly-series,2026-09-04T12:00:00-06:00,
dl-isls-paper,ed-isls-2027,cfp_deadline,"October 9, 2026: contributions for long and short papers, posters & symposia due",2026-10-09,,,,exact,src-isls-cfp,2026-09-04T12:00:00-06:00,"Research-contribution deadline, not a conventional speaker CFP."
dl-isls-workshop,ed-isls-2027,cfp_deadline,"November 13, 2026: pre-conference workshop submissions due",2026-11-13,,,,exact,src-isls-cfp,2026-09-04T12:00:00-06:00,"Workshop route requires substantial adaptation."
dl-isls-notify,ed-isls-2027,notification,"February 1, 2027",2027-02-01,,,,exact,src-isls-cfp,2026-09-04T12:00:00-06:00,
dl-educon-submit,ed-ieee-educon-2027,cfp_deadline,"Abstract submission deadline: 19 October 2026",2026-10-19,,,,exact,src-educon-cfp,2026-09-04T12:00:00-06:00,"Official Education Society page headline and body agree on October 19."
dl-wscuc-submit,ed-wscuc-arc-2027,cfp_deadline,"October 19, 2026 at 11:59 p.m. PT",2026-10-19,23:59,PT,2026-10-20T06:59:00Z,exact,src-wscuc-cfp,2026-09-04T12:00:00-06:00,"UTC conversion uses PDT in effect on this date."
dl-wscuc-notify,ed-wscuc-arc-2027,notification,"Late December 2026 through January 2027",,,,,range,src-wscuc-cfp,2026-09-04T12:00:00-06:00,"No single date can be normalized."
dl-wscuc-materials,ed-wscuc-arc-2027,materials_deadline,"March 19, 2027",2027-03-19,,,,exact,src-wscuc-cfp,2026-09-04T12:00:00-06:00,
