event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
"evt-pa-srecon","SREcon Americas","USENIX","conference","https://www.usenix.org/conferences/srecon","https://www.usenix.org/contact","SREs; production engineers; reliability and platform practitioners","Established practitioner conference; 2026 programs included AI-SRE failure testing and incident-oriented sessions.","ev-pa-sre-past1;ev-pa-sre-past2"
"evt-pa-kubecon-eu","KubeCon + CloudNativeCon Europe","Cloud Native Computing Foundation / Linux Foundation","conference","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/","https://events.linuxfoundation.org/about/contact-us/","Cloud-native developers; platform engineers; SREs; project maintainers","CNCF flagship European conference with archived schedules and recorded sessions.","ev-pa-kube-past1;ev-pa-kube-past2"
"evt-pa-agentics-eu","Agentics Day: MCP + Agents Europe","Cloud Native Computing Foundation / Linux Foundation","co-located conference","https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/","https://events.linuxfoundation.org/about/contact-us/","Agent and MCP builders; platform and tooling practitioners","2026 inaugural/early European edition archived with recordings and presentations.","ev-pa-agentics-past1;ev-pa-agentics-past2"
"evt-pa-gids","Great International Developer Summit","Saltmarch Media","conference","https://developersummit.com/","https://developersummit.com/contact","Software developers; architects; platform and engineering leaders","2027 is advertised as the twentieth edition; prior programs include AI-assisted testing and architecture.","ev-pa-gids-past1;ev-pa-gids-past2"
"evt-pa-eurostar","EuroSTAR Software Testing Conference","EuroSTAR Conferences","conference","https://conference.eurostarsoftwaretesting.com/","https://conference.eurostarsoftwaretesting.com/contact/","Software testers; quality engineers; test leaders","Long-running European testing conference with yearly public programs.","ev-pa-euro-past1;ev-pa-euro-past2"
"evt-pa-expoqa","expo:QA","NEXO QA","conference","https://expoqa.com/","https://expoqa.com/contact/","QA; testing; automation; quality engineering practitioners","Annual Spanish quality conference; 2026 archive shows AI automation and observability sessions.","ev-pa-expo-past1;ev-pa-expo-past2"
"evt-pa-swiss-testing-day","Swiss Testing Day","Swiss Testing Board / event organizers","conference","https://swisstestingday.ch/","https://swisstestingday.ch/contact/","Testing and quality professionals in Switzerland and Europe","Recurring Swiss testing conference with public 2026 program.","ev-pa-swiss-past1;ev-pa-swiss-past2"
"evt-pa-vslive","Visual Studio Live!","1105 Media","conference","https://vslive.com/","https://vslive.com/events/austin-2027/information/contact-us.aspx","Microsoft-stack developers; architects; DevOps and AI engineers","Long-running multi-city developer conference series.","ev-pa-vsl-past1;ev-pa-vsl-past2"
"evt-pa-developerweek","DeveloperWeek","DevNetwork","conference","https://www.developerweek.com/","https://www.developerweek.com/contact/","Developers; engineering leaders; platform and AI practitioners","Large annual developer event; 2026 schedule included agent failure and feedback-loop sessions.","ev-pa-devweek-past1;ev-pa-devweek-past2"
"evt-pa-idi","Incontro DevOps Italia","GrUSP","conference","https://www.incontrodevops.it/","https://www.incontrodevops.it/contatti/","Italian and European DevOps; platform; SRE practitioners","Recurring Italian DevOps conference with public session archive.","ev-pa-idi-past1;ev-pa-idi-past2"
"evt-pa-platformcon-sf","PlatformCon Live Day San Francisco","Platform Engineering","conference","https://sanfrancisco.platformcon.com/","https://platformengineering.org/contact","Platform engineers and internal developer platform practitioners","Live regional edition of PlatformCon; associated 2026 program contains agent/platform case studies.","ev-pa-platform-past1;ev-pa-platform-past2"
"evt-pa-ttc","Taqelah Testing Conference","Taqelah","conference","https://ttc.taqelah.sg/","https://taqelah.sg/contact","Software testing and quality practitioners in Southeast Asia","Run since 2020; organizer advertises a community conference and public lightning-talk program.","ev-pa-ttc-past1;ev-pa-ttc-past2"
"evt-pa-a4q","A4Q Testing Summit","Alliance for Qualification","online conference","https://testingsummit.com/","https://testingsummit.com/contact/","International software testing and quality community","Multilingual online testing summit; current site advertises speakers from many countries.",""
"evt-pa-gaic-seattle","Global AI Community Seattle","Global AI Community Seattle volunteers","meetup series","https://globalai.community/chapters/seattle/","https://sessionize.com/global-ai-community-seattle/","AI developers; data and platform engineers; local practitioners","Volunteer-run recurring Seattle/Bellevue community series with a rolling Sessionize route.",""
"evt-pa-cn-mumbai","Cloud Native Mumbai","Cloud Native Mumbai community","meetup series","https://community.cncf.io/cloud-native-mumbai/","https://sessionize.com/cloud-native-mumbai-city","Cloud-native; DevOps; SRE; platform; AI/ML practitioners","Regional CNCF-adjacent community series using a long-running Sessionize call.",""
"evt-pa-pydata-venice","PyData Venice","PyData Venice community","meetup series","https://www.meetup.com/pydata-venice/","https://sessionize.com/pydata-venice","Data scientists; ML engineers; MLOps practitioners","Regional hybrid/streamed PyData meetup series with several 2026 dates.",""
"evt-pa-data-summit","Data Summit","Information Today / Database Trends and Applications","conference","https://www.dbta.com/DataSummit/2027/","https://www.dbta.com/DataSummit/2027/ContactUs.aspx","Data engineers; architects; analytics and AI leaders","Annual Boston data-management conference with a public call for speakers.",""
"evt-pa-ctocraft","CTO Craft Con Europe","CTO Craft","conference","https://conference.ctocraft.com/london/","https://ctocraft.com/contact/","CTOs; VPs Engineering; senior technology leaders","European leadership conference focused on experience-led technical leadership content.",""
"evt-pa-devopspro","DevOps Pro Europe","UAB DATA MINER","conference","https://devopsproeurope.eu/","https://devopsproeurope.eu/contact-us/","DevOps; SRE; platform engineering practitioners and leaders","Recurring European DevOps conference; organizer advertises international audience and multiple tracks.",""
"evt-pa-qualityland","Quality Land","LTSTQB","community conference","https://qualityland.lt/","https://qualityland.lt/","Lithuanian and European testing/quality community","Small nonprofit community event; site claims one day, six speakers and about 300 attendees.",""
