edition_id,event_id,edition_label,edition_url,start_date,end_date,date_status,city,country,mode,language,cfp_url,guidelines_url,cfp_status,eligibility,formats_and_durations,submission_requirements,compensation,travel_support,speaker_costs,recording_rights,accessibility,attendance_value,attendance_year,verified_at,source_ids,unknowns
ed-ai-agent-2027,ev-ai-agent-event,AI Agent Event 2027,https://www.aiagentevent.com/east/,2027-02-09,2027-02-11,exact,Fort Lauderdale,USA,in-person,English,https://www.aiagentevent.com/east/call-for-speakers.aspx,https://www.aiagentevent.com/east/call-for-speakers.aspx,open,"Seeks enterprise practitioners, developers, researchers, providers, and leaders with real deployment experience",unknown,"Headshot, full bio, title, and description; strict no-commercialism policy",unknown,unknown,"Complimentary all-access speaker pass",unknown,unknown,"Organizer claims 1,000 attendees",2027,2026-09-04T12:00:00-06:00,src-ai-agent-cfp;src-ai-agent-home,"Deadline year inferred from 2027 page context; talk duration, travel, honorarium, rights, accessibility, and Dan's qualifying deployment experience"
ed-developerweek-2027,ev-developerweek,DeveloperWeek 2027,https://www.developerweek.com/,2027-02-09,2027-02-11,exact,Santa Clara,USA,in-person,English,https://www.developerweek.com/speakers/apply-to-speak/,https://www.developerweek.com/tracks/,open,"All speakers must use the public call","Duration not stated on extracted CFP page","Complete all fields and select one of four conference worlds",unknown,unknown,unknown,unknown,unknown,"5,000+ annual participants claimed",2027,2026-09-04T12:00:00-06:00,src-developerweek-cfp;src-developerweek-about,"Exact duration, presenter pass, travel, honorarium, rights, accessibility, and travel availability"
ed-gids-2027,ev-gids,GIDS 2027,https://developersummit.com/,2027-04-27,2027-04-30,exact,Bengaluru,India,in-person,English,https://form.jotform.com/saltmarch/gids2027cfp,https://form.jotform.com/saltmarch/gids2027cfp,open,"Original content based on work directly done or materially contributed to; form asks technical depth and speaking experience","30-minute short talk; 60-minute long talk","Up to five proposals; system problem, decisions, tradeoffs, outcomes, biography, photo, affiliation, and support needs",unknown,"Selected international speakers may receive up to US$1,500 travel and two hotel nights; discretionary and reimbursement-based","Full conference access for selected speakers; co-speaker must buy pass unless approved",unknown,unknown,"150+ sessions on official site",2027,2026-09-04T12:00:00-06:00,src-gids-home;src-gids-cfp,"Dan's direct-work evidence and employer support; honorarium, rights, accessibility, and final support approval"
ed-eu-chatbot-2027,ev-eu-chatbot,European Chatbot & Agentic AI Summit 2027,https://theeuropeanchatbot.com/,2027-03-16,2027-03-19,official-conflict,Edinburgh,UK,in-person,English,https://theeuropeanchatbot.com/call-for-speakers/,https://theeuropeanchatbot.com/call-for-speakers/,conflicting-official-pages,"Public speaker application and peer nomination routes",unknown,unknown,unknown,unknown,unknown,"Organizer says talks are recorded; access terms differ by ticket",unknown,unknown,,2026-09-04T12:00:00-06:00,src-eu-chatbot-cfp;src-eu-chatbot-home,"CFP page says March 16–19; homepage says March 16–18 and main event March 17–18; homepage also says CFP opens soon while CFP page invites applications; formats and economics unknown"
ed-agenticcon-2027,ev-agenticcon,AgenticCon 2027,https://agenticcon.com/,2027-02-25,2027-02-25,exact,San Francisco,USA,in-person,English,https://agenticcon.com/cfp,https://agenticcon.com/cfp,open,unknown,"25-minute main-stage talk; limited workshops and practitioner roundtables","Title <=90 characters, 250-character description, 800-character third-person abstract; no vendor pitch",unknown,unknown,unknown,unknown,unknown,"300+ attendees claimed",2027,2026-09-04T12:00:00-06:00,src-agenticcon-cfp;src-agenticcon-home,"Same CFP page gives both October 4 and November 1 deadlines and both October 20 and November 17 notifications; economics, rights, accessibility, travel"
ed-platformcon-sf-2027,ev-platformcon-sf,PlatformCon San Francisco 2027,https://sanfrancisco.platformcon.com/,2027-02-24,2027-02-24,exact,San Francisco,USA,in-person,English,https://sanfrancisco.platformcon.com/cfp,https://sanfrancisco.platformcon.com/cfp,open,unknown,"25-minute talk","Practical enterprise platform story; further form fields not extracted",unknown,unknown,unknown,unknown,unknown,"300 practitioners claimed",2027,2026-09-04T12:00:00-06:00,src-platformcon-sf-cfp;src-platformcon-context;src-platformcon-evals,"Deadline says 12:59 PM EST despite San Francisco venue; speaker economics, rights, accessibility, and travel unknown"
ed-kubecon-eu-2027,ev-kubecon-eu,KubeCon + CloudNativeCon Europe 2027,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/,2027-03-15,2027-03-18,exact,Barcelona,Spain,in-person,English,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/,open,"Open route; end-user company status separately defined and unknown","30-minute session; 5-minute lightning; 80-minute tutorial; 30-minute panel","Maximum three proposals; prior recording requested; no sales pitches; disclose related LF talk in past year",unknown,unknown,"One complimentary pass per accepted speaker","Slides required; recording license not extracted",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/attend/inclusion-accessibility/,"13,000 attendees claimed on sponsor page",2027,2026-09-04T12:00:00-06:00,src-kubecon-eu-cfp;src-kubecon-eu-home,"Travel, hotel, honorarium, speaker agreement, and whether bridge talk is technical enough"
ed-cnai-day-2027,ev-cnai-day,Cloud Native AI + Inference Day Europe 2027,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/,2027-03-15,2027-03-15,exact,Barcelona,Spain,in-person,English,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cncf-hosted-co-located-events-overview/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/,open,unknown,"25-minute presentation; 10-minute lightning; 35-minute panel","RAG and AI Agents are explicit topics; panel diversity/organization rules apply",unknown,unknown,"Accepted co-located-event speakers receive an all-access pass",recorded and published on CNCF YouTube,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/attend/inclusion-accessibility/,unknown,,2026-09-04T12:00:00-06:00,src-cnai-day;src-cncf-colocated-faq,"Travel, hotel, honorarium, detailed form fields, reuse rules"
ed-platform-day-2027,ev-platform-day,Platform Engineering Day Europe 2027,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/platform-engineering-day/,2027-03-15,2027-03-15,exact,Barcelona,Spain,in-person,English,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cncf-hosted-co-located-events-overview/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/platform-engineering-day/,open,unknown,"25-minute presentation; 10-minute lightning; 35-minute panel","Platform engineering and AI is explicit; practical case studies favored",unknown,unknown,"Accepted co-located-event speakers receive an all-access pass",recorded and published on CNCF YouTube,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/attend/inclusion-accessibility/,unknown,,2026-09-04T12:00:00-06:00,src-platform-day;src-cncf-colocated-faq,"Travel, hotel, honorarium, detailed form fields, reuse rules"
ed-aoma-2027,ev-aoma,AOmA 2027,https://aoma-conference.com/2027/,2027-04-06,2027-04-07,exact,Berlin,Germany,in-person,English,https://aoma-conference.com/2027/cfp/,https://aoma-conference.com/2027/cfp/,open,unknown,"40 minutes including Q&A; mixture of lecture and hands-on favored","Title, abstract, introductory/deep-dive type, tags, name, title, bio, photo, email",unknown,"Accommodation up to EUR300 outside Berlin; travel covered up to an unspecified location-based amount",unknown,unknown,"Organizer offers to discuss accessibility and parent needs",unknown,,2026-09-04T12:00:00-06:00,src-aoma-cfp,"Travel cap, honorarium, pass, rights, and whether talk has enough organizational/architecture emphasis"
