edition_id,event_id,edition_label,edition_url,start_date,end_date,date_status,city,country,mode,language,cfp_url,guidelines_url,cfp_status,eligibility,formats_and_durations,submission_requirements,compensation,travel_support,speaker_costs,recording_rights,accessibility,attendance_value,attendance_year,verified_at,source_ids,unknowns
ed-kccnc-eu-2027,evt-kccnc-eu,KubeCon + CloudNativeCon Europe 2027,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/,2027-03-15,2027-03-18,exact,Barcelona,Spain,in-person,English,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/,open,Public CFP; code-of-conduct agreement; speaker experience recording requested; no biography-based eligibility inferred,30-minute session; 5-minute lightning; 80-minute tutorial; panel; poster,Maximum three proposals as named speaker; vendor-neutral/open-source emphasis; slides required if accepted,Complimentary all-access pass,,No mandatory registration stated for accepted speakers,Sessions are ordinarily recorded; exact license/rights not found on CFP page,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/attend/inclusion-accessibility/,13000,2027,2026-09-04T23:30:00-06:00,ev-kccnc-main;ev-kccnc-economics,"Travel/hotel support, honorarium, visa support, and speaker-recording license are unknown; Dan's travel origin/budget/eligibility are unknown."
ed-agentics-eu-2027,evt-agentics-eu,Agentics Day: MCP + Agents Europe 2027,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/,2027-03-15,2027-03-15,exact,Barcelona,Spain,in-person,English,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/,open,Public CFP; code-of-conduct agreement,25-minute solo/dual presentation; 10-minute lightning; 35-minute panel,Choose co-located event; vendor-neutral; prior Linux Foundation repeat within one year must be materially differentiated; recording sample requested,Complimentary all-access pass,,No mandatory registration stated for accepted speakers,Official overview says co-located sessions are recorded and posted to CNCF YouTube,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/attend/inclusion-accessibility/,,,2026-09-04T23:30:00-06:00,ev-agentics-current;ev-colocated-common,"Travel/hotel support, honorarium, visa support, and exact recording license are unknown; 25-minute adaptation required."
ed-cnai-eu-2027,evt-cnai-eu,Cloud Native AI + Inference Day Europe 2027,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/,2027-03-15,2027-03-15,exact,Barcelona,Spain,in-person,English,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/,open,Public CFP; code-of-conduct agreement,25-minute solo/dual presentation; 10-minute lightning; 35-minute panel,Choose co-located event; vendor-neutral; repeat restrictions; recording sample requested,Complimentary all-access pass,,No mandatory registration stated for accepted speakers,Recorded and posted to CNCF YouTube; exact license not stated,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/attend/inclusion-accessibility/,,,2026-09-04T23:30:00-06:00,ev-cnai-current;ev-colocated-common,"Travel/hotel support, honorarium, visa support, and exact recording license are unknown; 25-minute adaptation required."
ed-platform-day-eu-2027,evt-platform-day-eu,Platform Engineering Day Europe 2027,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/platform-engineering-day/,2027-03-15,2027-03-15,exact,Barcelona,Spain,in-person,English,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/,open,Public CFP; code-of-conduct agreement,25-minute solo/dual presentation; 10-minute lightning; 35-minute panel,Vendor-neutral; repeat restrictions; recording sample requested,Complimentary all-access pass,,No mandatory registration stated for accepted speakers,Recorded and posted to CNCF YouTube; exact license not stated,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/attend/inclusion-accessibility/,,,2026-09-04T23:30:00-06:00,ev-colocated-common,Topic fit depends on foregrounding planner/platform controls; travel/hotel/honorarium unknown.
ed-srecon-americas-2027,evt-srecon-americas,SREcon27 Americas,https://www.usenix.org/conference/srecon27americas,2027-04-12,2027-04-14,exact,Seattle,United States,in-person,English,https://www.usenix.org/conference/srecon27americas/call-for-participation,https://www.usenix.org/conference/srecon27americas/call-for-participation,open,Public participation call; content must be primarily human-written and attested,Talk formats/durations not visible in retrieved excerpt,Proposal plus required human-authorship attestation; practical technical depth expected,,,,"USENIX commonly posts slides/video, confirmed for 2026 archive; 2027 rights terms not located",, , ,2026-09-04T23:30:00-06:00,ev-srecon-current;ev-srecon-past1;ev-srecon-past2,"Format, speaker economics, travel/hotel, accessibility, and 2027 recording terms unknown."
ed-aoma-2027,evt-aoma,AOmA 2027,https://aoma-conference.com/,2027-04-06,2027-04-07,exact,Berlin,Germany,in-person,English,https://aoma-conference.com/2027/cfp/,https://aoma-conference.com/2027/cfp/,open,Public Sessionize CFP,40 minutes including Q&A; introductory or deep-dive,"Title, abstract, type, tags, name, title, bio, photo, email; English",Accommodation reimbursed up to EUR 300 for speakers outside Berlin,Travel covered up to an amount depending on origin region,,Recording rights not stated,Organizer invites disclosure of access/parenting needs and offers discussion,,,2026-09-04T23:30:00-06:00,ev-aoma-current;ev-aoma-history,"Travel cap by region, honorarium, visa support, speaker costs, and recording rights unknown; official page conflicts with later LinkedIn deadline claim."
ed-arc-2027,evt-arc,ARC 2027,https://futurewitharc.com/,2027-01-12,2027-01-14,exact,Abu Dhabi,United Arab Emirates,in-person,English,https://futurewitharc.com/apply-to-speak/,https://futurewitharc.com/apply-to-speak/,unknown,"Form prioritizes practitioners with real-world engineering experience, production systems, and technical depth",,"Interest form asks name, job title, company, work email, LinkedIn, talk title, speaking history, optional videos, and theme alignment",,,,,, , ,2026-09-04T23:30:00-06:00,ev-arc-current,"A live speaker-interest form is not enough to prove a formal CFP is open; deadline, durations, economics, rights, accessibility, attendance, and prior history unknown."
ed-icsa-saip-2027,evt-icsa,ICSA 2027 Software Architecture in Practice,https://conf.researchr.org/track/icsa-2027/icsa-2027-software-architecture-in-practice-track,2027-03-08,2027-03-12,exact,Sydney,Australia,in-person,English,https://conf.researchr.org/track/icsa-2027/icsa-2027-software-architecture-in-practice-track,https://conf.researchr.org/track/icsa-2027/icsa-2027-software-architecture-in-practice-track,open,Practitioner or researcher actively working with practitioners; at least one author must register and present in person,30-minute technical talk,Two-page maximum technical-talk proposal; IEEE format/guidelines; not previously published or simultaneously under review; accepted proposal published in companion proceedings,,,At least one author must register,Publication in IEEE companion proceedings; specific author rights not checked,, , ,2026-09-04T23:30:00-06:00,ev-icsa-saip;ev-icsa-past1;ev-icsa-past2,"Conference start/end inferred from official 2027 track context and should be rechecked on home page; registration cost, travel support, honorarium, accessibility, and exact copyright agreement unknown."
ed-icsa-working-2027,evt-icsa,ICSA 2027 Working Sessions,https://conf.researchr.org/track/icsa-2027/icsa-2027-working-sessions,2027-03-08,2027-03-12,exact,Sydney,Australia,in-person,English,https://conf.researchr.org/track/icsa-2027/icsa-2027-working-sessions,https://conf.researchr.org/track/icsa-2027/icsa-2027-working-sessions,open,Facilitator-led contribution; participation requirements otherwise not stated,90-180 minute interactive working session,"Outline topic, why industry and academia should work on it, facilitator names, and proposed deliverable",,,Registration obligation not verified,,,, ,2026-09-04T23:30:00-06:00,ev-icsa-working,Requires substantial format conversion and likely co-facilitation; economics and rights unknown.
ed-icsa-tutorial-2027,evt-icsa,ICSA 2027 Tutorials / Technical Briefings,https://conf.researchr.org/track/icsa-2027/icsa-2027-tutorials-tech-briefings,2027-03-08,2027-03-12,exact,Sydney,Australia,in-person,English,https://conf.researchr.org/track/icsa-2027/icsa-2027-tutorials-tech-briefings,https://conf.researchr.org/track/icsa-2027/icsa-2027-tutorials-tech-briefings,open,,Tutorial or technical briefing; duration not captured,PDF proposal through EasyChair; brief speaker information; optional/accepted two-page IEEE companion abstract,,,Registration obligation not verified,Opportunity to publish two-page abstract; specific rights unknown,,,,2026-09-04T23:30:00-06:00,ev-icsa-tutorial,"Duration, economics, accessibility, and author-rights details unknown; likely requires expansion beyond existing deck."
ed-gids-2027,evt-gids,GIDS 2027,https://developersummit.com/,2027-04-27,2027-04-30,exact,Bengaluru,India,in-person,English,https://form.jotform.com/saltmarch/gids2027cfp,https://form.jotform.com/saltmarch/gids2027cfp,open,Public CFP; international speakers encouraged to submit multiple 60-minute sessions,60-minute long talk; 30-minute short talk,Up to five proposals; technical abstract; system problem; decisions/tradeoffs; takeaways; practitioner-depth declaration; bio/photo; no product promotion,Full conference access; support is discretionary,"Selected international speakers may receive up to USD 1,500 travel and two hotel nights; reimbursement after event",,Recording rights not stated,,150,2027,2026-09-04T23:30:00-06:00,ev-gids-current;ev-gids-past1;ev-gids-past2,"Honorarium, visa support, accessibility, recording rights, and whether a 40-minute source deck can be accepted as 30 minutes without loss are unknown."
ed-javaland-2027,evt-javaland,JavaLand 2027,https://www.javaland.eu/en/home/,2027-03-02,2027-03-04,exact,Rust,Germany,in-person,German and English; exact track language policy not fully captured,https://www.javaland.eu/en/speakers/,https://www.javaland.eu/go/gtc-speakers,open,Public community CFP; newcomer route separately closed on September 1,Talk duration not captured in current official page,,Speaker terms document exists,,,,Terms include usage grants; exact current clauses require legal review,, ,2026-09-04T23:30:00-06:00,ev-javaland-current;ev-javaland-past1;ev-javaland-past2,"Duration, economics, travel/hotel, accessibility, and detailed current rights need recheck. Stronger if tied to JVM/cloud platform context."
ed-ai-agent-event-2027,evt-ai-agent-event,AI Agent Event 2027,https://www.aiagentevent.com/east/,2027-02-09,2027-02-11,exact,Fort Lauderdale,United States,in-person,English,https://www.aiagentevent.com/east/call-for-speakers.aspx,https://www.aiagentevent.com/east/call-for-speakers.aspx,open,"Enterprise practitioners, AI developers, innovators, researchers, solution providers, and leaders with real-world agent experience","Case study, technical session, workshop, or panel; duration not stated","Educational, noncommercial, non-self-promotional; headshot and bio; claims new concepts unavailable elsewhere","Complimentary all-access speaker pass stated as USD 1,799 value",,No mandatory registration stated for selected speakers,,,1000,2027,2026-09-04T23:30:00-06:00,ev-aiae-current;ev-aiae-past1;ev-aiae-past2,"Travel/hotel, honorarium, accessibility, recording rights, session duration, and meaning/enforceability of novelty clause unknown."
ed-thinkai-2027,evt-thinkai,Think!AI Summit 2027,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers,2027-02-18,2027-02-18,exact,Pittsburgh,United States,in-person,English,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers,announced-not-open,Real-world implementation required; practitioners prioritized; regional voices encouraged,15-minute Tech Talk,"Specific implementation, outcomes, lessons, and transferable takeaways; no sales pitches or live demos",,,,,,, ,2026-09-04T23:30:00-06:00,ev-thinkai-current,"Dan's actual production case-study basis and regional connection unknown; submission form not yet open; economics, rights, accessibility, and attendance unknown."
ed-experts-live-uk-2027,evt-experts-live-uk,Experts Live UK 2027,https://expertslive.co.uk/,2027-05-18,2027-05-20,exact,London,United Kingdom,in-person,English,https://expertslive.co.uk/become-a-speaker/,https://expertslive.co.uk/become-a-speaker/,announced-not-open,"Talk must be based on something built, broken, or run in production; Microsoft-estate focus",45 or 75 minutes including Q&A,Actionable practitioner story; no product pitch,Full conference ticket and speaker dinner,Accommodation help for travelling speakers by discussion,,Session recording and channel amplification stated,,50,2026,2026-09-04T23:30:00-06:00,ev-eluk-current,CFP dates are provisional until Sessionize opens; fit is weak without a Microsoft 365/Copilot case study; travel cap and honorarium unknown.
