record_type,event_id,edition_id,field,conflict_notes,source_url
evidence,evt-aoma-adaptive-organizations-meet-architecture,ed-evt-aoma-adaptive-organizations-meet-architecture-aoma-2027,dates; deadline; topics; format; economics,Organizer LinkedIn later states November 30; official page retained as authoritative but conflict unresolved.,https://aoma-conference.com/2027/cfp/
evidence,evt-aoma-adaptive-organizations-meet-architecture,ed-evt-aoma-adaptive-organizations-meet-architecture-aoma-2027,history; audience,Two specific past session titles were not recovered.,https://aoma-conference.com/
evidence,evt-arc-software-architecture-and-engineering-conference,ed-evt-arc-software-architecture-and-engineering-conference-arc-2027,dates; audience; themes; public route,Form does not state deadline or prove a formally open CFP.,https://futurewitharc.com/apply-to-speak/
evidence,evt-conf42,ed-evt-conf42-conf42-ai-agents-2027,series; audience; future editions,Edition-specific deadlines/status not verified.,https://www.conf42.com/
evidence,evt-devnexus,ed-evt-devnexus-devnexus-2027,past_program_fit,Historical only; not evidence of 2027 availability.,https://devnexus.com/posts/the-cfp-for-devnexus-2026-is-open
evidence,evt-kubecon-cloudnativecon-europe,ed-evt-kubecon-cloudnativecon-europe-kubecon-cloudnativecon-europe-2027,history; archive visibility,Finalist requirement for two specific past sessions remains a gap.,https://events.linuxfoundation.org/archive/2026/kubecon-cloudnativecon-europe/
evidence,evt-a4q-global-testing-summit,ed-evt-a4q-global-testing-summit-a4q-global-testing-summit-2027,dates; mode; CFP; languages; requirements; reach; economics; conflict,Footer contains stale May 27-28 2026 text; primary 2027 hero/program repeated consistently,https://testingsummit.com/
evidence,evt-aaai-conference-on-artificial-intelligence,ed-evt-aaai-conference-on-artificial-intelligence-aaai-27,dates; eligibility; format,Excluded from talk-shaped pipeline,https://aaai.org/conference/aaai/aaai-27/main-technical-track-call/
evidence,evt-agentic-engineering-days-zurich,ed-evt-agentic-engineering-days-zurich-agentic-engineering-days-zurich-2027,history; future status; audience,2027 dates and call not yet published,https://www.agenticdays.com/
evidence,evt-agile-testing-days,ed-evt-agile-testing-days-agile-testing-days-2027,series; audience,Future edition details incomplete,https://agiletestingdays.com/
evidence,evt-conf42,,series; future editions; mode,Edition-specific CFP pages and deadlines not verified,https://www.conf42.com/
evidence,evt-kubecon-cloudnativecon-north-america,,future dates; status,Details forthcoming,https://events.linuxfoundation.org/about/calendar/
evidence,evt-live2test,ed-evt-live2test-live2test-2027,series; speaker route,Insufficient current-edition detail,https://live2test.com/
evidence,evt-mlops-community,ed-evt-mlops-community-mlops-community-contribution-route,audience; formats; history,No standing speaker intake verified,https://mlops.community/
evidence,evt-qcon-london,ed-evt-qcon-london-qcon-london-2027,series; curation status,Invitation-only classification is based on absence of a public CFP after official-site inspection,https://qconlondon.com/
evidence,evt-testcon-europe,ed-evt-testcon-europe-testcon-europe-2027,series; audience,Future edition details incomplete,https://testcon.lt/
evidence,evt-testing-united,ed-evt-testing-united-testing-united-2027,series; audience,Future edition details incomplete,https://testingunited.com/
evidence,evt-think-ai-summit,ed-evt-think-ai-summit-think-ai-summit-2027,date; status; deadline; format; requirements,Deadline is published while intake remains announced-not-open,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers
evidence,evt-advance-he-teaching-and-learning-conference,ed-evt-advance-he-teaching-and-learning-conference-advance-he-teaching-and-,past_session,Search extraction did not expose the complete title/speaker metadata.,https://advance-he.ac.uk/sites/default/files/2026-05/Day%202%20-%20Abstracts%20T%26L%20Conference%202026_4.pdf
evidence,evt-advance-he-teaching-and-learning-conference,ed-evt-advance-he-teaching-and-learning-conference-advance-he-teaching-and-,past_session,Speaker metadata not captured.,https://advance-he.ac.uk/sites/default/files/2026-05/Day%202%20-%20Abstracts%20T%26L%20Conference%202026_4.pdf
evidence,evt-chea-annual-conference,ed-evt-chea-annual-conference-chea-2027-annual-conference,history,Only one specific prior topic source was verified; two named past sessions remain a gap.,https://www.chea.org/cheaciqg-2026-annual-conference-call-proposals
evidence,evt-educause-annual-conference,ed-evt-educause-annual-conference-educause-annual-2026,dates;cfp_status;formats;topics;costs;conflict,Key-dates table says October 14-15 while narrative says October 14-16.,https://events.educause.edu/annual-conference/call-for-proposals
evidence,evt-honolulu-education-conference,ed-evt-honolulu-education-conference-honolulu-education-conference-2027,dates;deadline;topics;formats,No independent organizer-quality or economics verification completed.,https://intesda.org/education-conference/
evidence,evt-herdsa-annual-conference,ed-evt-herdsa-annual-conference-herdsa-2027,dates;theme;conflict,Stale date labels prevent treating displayed abstract dates as 2027 deadlines.,https://conference.herdsa.org.au/2027/
evidence,evt-icai-annual-conference,ed-evt-icai-annual-conference-icai-2027-annual-conference,past_session,This is a current-edition programmed item rather than a past-edition session.,https://www.academicintegrity.org/aws/ICAI/pt/sp/conference-27
evidence,evt-icai-annual-conference,ed-evt-icai-annual-conference-icai-2027-annual-conference,past_session,Current-edition evidence; the official past-program archive was not fully extracted.,https://www.academicintegrity.org/aws/ICAI/pt/sp/conference_workshops
evidence,evt-international-conference-on-ai-in-education-2027,ed-evt-international-conference-on-ai-in-education-2027-icaied-london-2027,dates;cfp_status;deadline;audience;requirements,First edition; legal organizer identity and conference provenance were not independently verified.,https://www.icaied.org/call-for-papers
evidence,evt-olc-innovate,ed-evt-olc-innovate-olc-innovate-2027,past_session,A second named session specific to the thesis was not available in the extracted program; this is program-theme evidence.,https://onlinelearningconsortium.org/conferences/olc-innovate2026/call-for-proposals/
evidence,evt-ohio-state-learning-design-day-fresh-ideas,ed-evt-ohio-state-learning-design-day-fresh-ideas-ohio-state-learning-desig,dates;cfp_status;deadline;formats;requirements;accessibility;history,Deadline year omitted but weekday and page context point unambiguously to 2026.,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/
evidence,evt-sparking-success-faculty-development-conference,ed-evt-sparking-success-faculty-development-conference-sparking-success-202,dates;deadline;history;audience,Deadline year omitted but academic-year context and weekday align to 2026.,https://celt.tulane.edu/sparking-success
evidence,evt-wscuc-accreditation-resource-conference,ed-evt-wscuc-accreditation-resource-conference-arc2027,past_session,Not an ARC conference session; it is direct organizer-program evidence.,https://www.wscuc.org/educational-programs/accreditation-essentials-online/
evidence,evt-wscuc-accreditation-resource-conference,ed-evt-wscuc-accreditation-resource-conference-arc2027,past_session,Program-theme evidence rather than a named session.,https://www.wscuc.org/arc2026cfp/
