event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
evt-a4q-global-testing-summit,A4Q Global Testing Summit,Alliance 4 Qualification,online conference,https://testingsummit.com/,https://testingsummit.com/#contact,Global testing and quality community,Recurring online summit; official page links past editions and 2026 speakers.,src-benchmarks-ev-a4q
evt-a4q-testing-summit,A4Q Testing Summit,Alliance for Qualification,online conference,https://testingsummit.com/,https://testingsummit.com/contact/,International software testing and quality community,Multilingual online testing summit; current site advertises speakers from many countries.,
evt-aaai-conference-on-artificial-intelligence,AAAI Conference on Artificial Intelligence,Association for the Advancement of Artificial Intelligence,academic conference,https://aaai.org/conference/aaai/aaai-27/,https://aaai.org/contact-us/,AI researchers and applied scientists,Established peer-reviewed research conference.,src-benchmarks-ev-aaai
evt-aalhe-annual-conference,AALHE Annual Conference,Association for the Assessment of Learning in Higher Education,assessment conference,https://www.aalhe.org/annual-conference,https://www.aalhe.org/annual-conference,Higher-education assessment practitioners,Recurring annual assessment conference; 2026 virtual program included several AI-era assessment-redesign sessions.,src-evidence-learning-src-aalhe-2027;src-evidence-learning-src-aalhe-2026-program
evt-advance-he-teaching-and-learning-conference,Advance HE Teaching and Learning Conference,Advance HE,higher-education teaching conference,https://advance-he.ac.uk/programmes-events/teaching-learning-conference/,https://advance-he.ac.uk/programmes-events/teaching-learning-conference/,"Academics, learning technologists, curriculum developers, professional staff, leaders, and policymakers",Recurring three-day flagship; 2027 event is bookable but no speaker CFP was found.,src-evidence-learning-src-advancehe-2027;src-evidence-learning-src-advancehe-2026-program
evt-agentic-engineering-days-zurich,Agentic Engineering Days Zurich,Agentic Engineering Days,regional conference,https://www.agenticdays.com/,https://www.agenticdays.com/,"Engineers building with AI coding tools and building agent platforms/products | Engineers building agent platforms, products, and AI coding systems",2026 inaugural/current program has 38+ sessions selected from 344 submissions; site promises a 2027 CFP. | 2026 program had 38+ sessions selected from 344 submissions; site promises a 2027 CFP.,src-adaptive-systems-ev-aed-current;src-benchmarks-ev-agenticdays
evt-agenticcon,AgenticCon,Weave Intelligence / Platform Engineering community,agent-infrastructure conference,https://agenticcon.com/,https://agenticcon.com/,"Platform engineers, AI platform teams, and enterprise agent-infrastructure leaders",New 2027 summit from the PlatformCon team; no independent edition history.,src-retrieval-src-agenticcon-cfp;src-retrieval-src-agenticcon-home
evt-agentics-day-mcp-agents-europe,Agentics Day: MCP + Agents Europe,Cloud Native Computing Foundation / Linux Foundation,co-located conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/; https://events.linuxfoundation.org/about/contact-us/,"MCP and agent application developers, contributors, and practitioners | Agent and MCP builders; platform and tooling practitioners",2027 is publicly listed; earlier same-name European history was not confirmed. | 2026 inaugural/early European edition archived with recordings and presentations.,src-adaptive-systems-ev-agentics-current;src-failure-improvement-ev-fi-agentics-past1;src-failure-improvement-ev-fi-agentics-past2;src-parallelization-ev-pa-agentics-past1;src-parallelization-ev-pa-agentics-past2
evt-agile-testing-days,Agile Testing Days,trendig technology services GmbH,conference,https://agiletestingdays.com/,https://agiletestingdays.com/contact/,"Agile testers, quality engineers, coaches, and engineering leaders",Long-running European testing conference; 2027 intake not verified.,src-benchmarks-ev-atd
evt-agntcon-mcpcon-europe,AGNTCon + MCPCon Europe,The Linux Foundation,conference,https://events.linuxfoundation.org/about/calendar/,https://events.linuxfoundation.org/about/contact/,Agent and MCP builders and infrastructure practitioners,2027 edition is announced on the official calendar; CFP details not yet published.,src-adaptive-systems-ev-lf-calendar
evt-agntcon-mcpcon-north-america,AGNTCon + MCPCon North America,The Linux Foundation,conference,https://events.linuxfoundation.org/about/calendar/,https://events.linuxfoundation.org/about/contact/,Agent and MCP builders and infrastructure practitioners,2027 edition is announced on the official calendar; CFP details not yet published.,src-adaptive-systems-ev-lf-calendar
evt-ai-agent-event,AI Agent Event,TMC,commercial conference with editorial CFP; enterprise AI conference,https://www.aiagentevent.com/east/,https://www.aiagentevent.com/east/contact.aspx,"Enterprise AI leaders, architects, developers, systems integrators, and buyers | Enterprise AI leaders, architects, developers, integrators, and buyers | Enterprise AI architects, developers, product and engineering leaders, IT decision-makers, and operators",2026 program remains visible while the 2027 CFP and edition are live. | 2026 program remains public while the 2027 edition and editorial CFP are live. | Recurring event colocated with ITEXPO; 2027 site emphasizes deployed autonomous systems and practical education.,src-adaptive-systems-ev-aiae-current;src-adaptive-systems-ev-aiae-past1;src-adaptive-systems-ev-aiae-past2;src-benchmarks-ev-aiae-current;src-benchmarks-ev-aiae-past;src-retrieval-src-ai-agent-cfp;src-retrieval-src-ai-agent-home
evt-ai-festival,AI Festival,Search On Media Group / WMF,conference,https://en.aifestival.it/,https://en.aifestival.it/contact/,AI builders; founders; product and business leaders,"Annual Milan AI event; organizer reports 10,000+ attendees and 200+ speakers in 2026.",src-judgment-ev-ju-aif-past1;src-judgment-ev-ju-aif-past2;src-product-engineering-ev-pe-aif-past1;src-product-engineering-ev-pe-aif-past2
evt-ai-tinkerers-boston,AI Tinkerers Boston,AI Tinkerers Boston,community demo meetup,https://boston.aitinkerers.org/,https://boston.aitinkerers.org/,Technical AI builders using LangChain and related frameworks,Past event had a public proposal page but is closed; future chapter events remain monitoring leads.,src-retrieval-src-ai-tink-boston
evt-ai-tinkerers-calgary,AI Tinkerers Calgary,AI Tinkerers Calgary,community demo meetup,https://calgary.aitinkerers.org/,https://calgary.aitinkerers.org/,Technical AI builders and experimenters,Past call accepted 5–15-minute talks/demos and programmed Hierarchical Knowledge RAG.,src-retrieval-src-ai-tink-calgary
evt-ai-tinkerers-seattle,AI Tinkerers Seattle,AI Tinkerers Seattle,community demo meetup,https://seattle.aitinkerers.org/,https://seattle.aitinkerers.org/,Hands-on AI builders and developer-tool practitioners,"Past call focused on repo context, embeddings, MCP, agents, and evaluation in short live demos.",src-retrieval-src-ai-tink-seattle
evt-ainext-awards-and-conference,AINext Awards & Conference,Next Business Media,conference series,https://ainextconference.com/,https://ainextconference.com/contact,Applied-AI operators; founders; enterprise and product leaders,Multi-city applied-AI series with public speaker-interest routes.,
evt-ala-annual-conference-and-exhibition,ALA Annual Conference and Exhibition,American Library Association,association conference; conference,https://2027.alaannual.org/,https://www.ala.org/conferencesevents/ala-annual-2027-call-proposals,"Library and information professionals, including academic librarians and educators | Librarians, library leaders, educators, researchers, and information professionals",Long-running annual conference; 2027 has separate education-program and poster CFP routes. | Long-running annual association conference with education programs and posters. | MERGE NOTES — Name aliases: ALA Annual Conference & Exhibition; Series URL aliases: https://2027.alaannual.org/ | https://www.ala.org/conferencesevents/,src-evidence-learning-src-ala-cfp;src-skeptic-education-ev-024
