event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
ev-ai-agent-event,AI Agent Event,TMC,enterprise AI conference,https://www.aiagentevent.com/east/,https://www.aiagentevent.com/east/contact.aspx,"Enterprise AI architects, developers, product and engineering leaders, IT decision-makers, and operators","Recurring event colocated with ITEXPO; 2027 site emphasizes deployed autonomous systems and practical education.",src-ai-agent-cfp;src-ai-agent-home
ev-developerweek,DeveloperWeek,DevNetwork,developer conference,https://www.developerweek.com/,https://www.developerweek.com/contact/,"Developers, architects, engineering managers, product managers, and technical founders","Recurring developer and AI engineering event; official site claims 5,000+ annual participants.",src-developerweek-cfp;src-developerweek-about
ev-gids,Great International Developer Summit,Saltmarch Media,developer and architecture conference,https://developersummit.com/,https://developersummit.com/contact-us,"Software engineers, architects, tech leads, platform and data practitioners, and engineering leaders","2027 is the twentieth edition; official site describes 150+ curated sessions across architecture, AI, data, testing, reliability, and leadership.",src-gids-home;src-gids-cfp
ev-eu-chatbot,European Chatbot & Agentic AI Summit,European Chatbot Summit organizers,AI practitioner summit,https://theeuropeanchatbot.com/,https://theeuropeanchatbot.com/contact/,"Conversational-AI and agentic-AI builders, researchers, founders, and enterprise practitioners","Seventh edition in 2027; prior speaker program and recordings are listed by the organizer.",src-eu-chatbot-cfp;src-eu-chatbot-home
ev-agenticcon,AgenticCon,Weave Intelligence / Platform Engineering community,agent-infrastructure conference,https://agenticcon.com/,https://agenticcon.com/,"Platform engineers, AI platform teams, and enterprise agent-infrastructure leaders","New 2027 summit from the PlatformCon team; no independent edition history.",src-agenticcon-cfp;src-agenticcon-home
ev-platformcon-sf,PlatformCon Live Day San Francisco,Platform Engineering community,regional platform-engineering conference,https://sanfrancisco.platformcon.com/,https://sanfrancisco.platformcon.com/,"Enterprise platform engineers and technology organizations","World Tour edition with 300 practitioners; prior PlatformCon programming includes context engineering, evals, MCP, and agentic platforms.",src-platformcon-sf-cfp;src-platformcon-context;src-platformcon-evals
ev-kubecon-eu,KubeCon + CloudNativeCon Europe,Cloud Native Computing Foundation / Linux Foundation,open-source conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/,"Cloud-native adopters, developers, architects, platform engineers, and technical leaders","Recurring CNCF flagship; 2027 program adds agentic AI and AI inference tracks.",src-kubecon-eu-cfp;src-kubecon-eu-home
ev-cnai-day,Cloud Native AI + Inference Day Europe,Cloud Native Computing Foundation / Linux Foundation,AI infrastructure conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/,"AI/ML engineers, cloud-native practitioners, and teams moving LLM and agent systems to production","CNCF-hosted KubeCon Europe co-located event; official 2027 topics explicitly include RAG and AI agents.",src-cnai-day
ev-platform-day,Platform Engineering Day Europe,Cloud Native Computing Foundation / Linux Foundation,platform-engineering conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/platform-engineering-day/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/,"Platform engineers, product managers, solution architects, and cloud-native stakeholders","Recurring CNCF-hosted co-located event; 2027 includes agentic platforms and AI integration.",src-platform-day
ev-aoma,Adaptive Organizations meet Architecture,AOmA organizers / INNOQ,software-architecture conference,https://aoma-conference.com/,https://aoma-conference.com/2027/cfp/,"Software architects, engineering leaders, and organizational-design practitioners","Renamed from Agile meets Architecture; archives for 2022, 2023, 2025, and 2026 remain linked.",src-aoma-cfp
ev-srecon,SREcon Americas,USENIX,systems-reliability conference,https://www.usenix.org/srecon,https://www.usenix.org/conferences/contact,"SREs, systems engineers, platform teams, and operators of complex production systems","Recurring practitioner conference with open-access talk recordings and a 2026 program containing several AI systems sessions.",src-srecon27-cfp;src-srecon26-agents;src-srecon26-language
ev-dutch-ai,Dutch AI Conference,Dawn Technology,applied-AI developer conference,https://aiconference.nl/,https://aiconference.nl/contact/,"Developers, software engineers, architects, and AI/product practitioners","Inaugural 2026 edition received 489 proposals; program included RAG, vector search, and MCP sessions.",src-dutch-ai-cfp;src-dutch-ai-rag;src-dutch-ai-vector
ev-arc,ARC Software Architecture & Engineering Conference,ARC organizers,practitioner architecture conference,https://futurewitharc.com/,https://futurewitharc.com/,"Senior software engineers, architects, platform and AI engineers, and technology leaders","Practitioner-led vendor-neutral event announced for 2027; no prior-edition history found.",src-arc-home
ev-dod-raleigh,DevOpsDays Raleigh,DevOpsDays Raleigh organizers,regional community conference,https://devopsdays.org/events/2027-raleigh/welcome/,https://devopsdays.org/events/2027-raleigh/contact/,"Regional DevOps, platform, reliability, and engineering practitioners","Community event with talks, Ignite, and Open Space formats; local and new voices favored.",src-dod-raleigh
ev-dod-la,DevOpsDays Los Angeles,DevOpsDays Los Angeles organizers,regional community conference,https://devopsdays.org/events/2027-los-angeles/welcome/,https://devopsdays.org/events/2027-los-angeles/contact/,"Southern California DevOps, platform, reliability, and engineering practitioners","Community chapter colocated with SCaLE; local page and global index conflict on CFP status.",src-dod-la;src-dod-global
ev-voxxed-lux,Voxxed Days Luxembourg,Voxxed Days Luxembourg organizers,regional developer conference,https://luxembourg.voxxeddays.com/en/,https://luxembourg.voxxeddays.com/en/,"Software developers across architecture, cloud, AI, big data, security, and programming languages","Devoxx-family event with more than 70 talks and a recurring CFP.",src-voxxed-lux
ev-qcon-london,QCon London,C4Media / InfoQ,curated software conference,https://qconlondon.com/,https://qconferences.com/third-party-social-media,"Senior software engineers, architects, staff-plus engineers, and technical leaders","More than twenty years of curated practitioner programming; no formal CFP, but spontaneous submissions are accepted.",src-qcon-london;src-qcon-selection
