talk_id,edition_id,recommended_variant,proposed_title,pitch_angle,fit_reason,past_session_evidence_ids,audience_rating,topic_rating,timing_rating,readiness_rating,logistics_rating,reach_rating,known_points,evidence_coverage_percent,queue,constraints,next_action,next_check_date
skeptic-education,ed-upcea-dtl-2027,"40-minute talk adapted to 50 minutes with discussion","A Skeptic's Guide to AI in Digital Learning","Use Delegate/Augment/Preserve to redesign assessment and evaluate pilots against independent learning","Exact audience includes instructional designers, faculty developers, faculty, and digital-learning leaders; CFP explicitly welcomes responsible AI, authentic assessment, evaluation, and controversial dialogue",ev-063;ev-064,5,5,5,5,3,4,95,100,verified-actionable,"Hard barrier unless Dan is a current UPCEA member; corporate members need institutional co-presenter; registration required","Verify membership/affiliation immediately; if eligible, adapt 150-word abstract to 50-minute concurrent format before 2026-09-30",2026-09-08
skeptic-education,ed-usdla-2027,"45-minute slot with 5 minutes Q&A","A Skeptic's Guide to Surviving AI in Distance Education","Separate visible AI use from evidence of learning across remote and hybrid programs","AI in education is a named priority; audience spans higher ed, K-12, and workplace learning; exact 45-minute format matches existing package",ev-065;ev-066,5,5,5,5,3,3,94,100,verified-actionable,"Presenter fee USD 300 onsite or USD 100 virtual; travel origin and budget unknown","Choose onsite versus virtual only after budget preference is supplied; draft the detailed engagement plan before 2026-12-15",2026-10-15
skeptic-education,ed-iste-2027,"60-minute interactive session; expand exercise and application discussion","A Skeptic's Guide to AI in the Classroom","Show K-12 leaders how to preserve human capability and demand evidence beyond polished outputs","Teaching/learning and assessment are explicit topics; 2026 program proves appetite for authentic assessment, productive struggle, and distinguishing learning from AI-assisted production",ev-061;ev-062,5,5,5,4,,5,88,83,verified-actionable,"Current package is higher-ed weighted and needs K-12 examples; adult presenters must register; economics unknown","Retarget examples to teachers/district leaders and submit by 2026-09-30; avoid duplicating heavily saturated 'AI-resistant assessment' framing",2026-09-08
skeptic-education,ed-ucf-tlai-2027,"30-minute concurrent talk","A Skeptic's Guide to Evaluating AI for Learning","Turn AI adoption questions into explicit capability choices and pilot measures","Conference is devoted to AI in higher-ed teaching and has prior sessions on AI-resilient courses and assessment; thesis is directly on target",ev-071;ev-072,5,5,5,4,3,4,91,100,upcoming-or-rolling,"In-person only; presenter registration required; guidelines and presenter price not yet published","Prepare now; recheck full guidelines when the call opens 2026-10-05 and submit by 2027-01-22 if eligibility/economics work",2026-10-05
skeptic-education,ed-lilly-sd-2027,"40-minute practical session; adjust to published duration","A Skeptic's Guide to Teaching in the Age of AI","Frame skepticism as evidence-based assignment redesign, not anti-AI reaction","Edition theme is active and engaged learning in the age of AI; Lilly values scholarship, participation, and immediate teaching use",,5,5,5,4,,3,86,83,verified-actionable,"Exact CFP form, format, speaker costs, and affiliation expectations not exposed in reviewed page; two comparable prior sessions not located","Open the linked proposal flow, verify presenter terms, and submit before 2026-10-01 if no affiliation barrier",2026-09-08
skeptic-education,ed-hi-ai-2027,"50-minute presentation with exercise and Q&A","A Skeptic's Guide to AI in K-12","Give school leaders a practical test for when AI supports learning and when it bypasses it","Focused AI event explicitly solicits AI assessment practices, literacy, ethics, policy, personalization, and practical experience",,4,5,5,5,,2,81,83,verified-actionable,"K-12 grounding and real-world experience are expected; Dan's school-sector credentials are unknown; economics not stated","Confirm Dan can credibly supply K-12 examples; then adapt title to 10 words and description to 350 words by 2026-10-12",2026-09-12
skeptic-education,ed-chea-2027,"60-minute concurrent with discussion","What Counts as Learning When AI Helps?","Tie pilot evaluation and independent transfer to academic quality, accreditation, and institutional trust","CFP explicitly names student outcomes, evidence of learning, AI, quality assurance, and institutional value",,4,5,5,3,,4,79,83,verified-actionable,"Talk must be reframed for quality assurance/accreditation; one or two presenters; Dan's relevant credentials unknown","Verify Dan's quality-assurance credibility and submit the reframed proposal by 2026-09-11 if defensible",2026-09-06
skeptic-education,ed-fl-innovation-2027,"45-minute presentation with exercise","What Should an Educational AI Pilot Actually Measure?","Use the worked example to distinguish tool use, assisted scores, and independent learning outcomes","Audience and format match; proposal explicitly asks about impact and measurement; archive contains human-in-loop and AI teaching-assistant sessions",ev-073;ev-074,5,4,5,5,2,2,84,100,upcoming-or-rolling,"Must present an innovation/practice and how impact is measured; vendor status may trigger co-presenter rule; onsite costs unknown","Prepare a case-study version with explicit pilot metrics; verify Dan's vendor status and submit after 2026-09-28 by 2026-11-06",2026-09-28
skeptic-education,ed-olc-innovate-2027,"40-minute academic presentation adapted to announced format","A Skeptic's Guide to Evidence in AI-Enhanced Learning","Challenge AI adoption while giving online-learning teams a reusable assignment and pilot-evaluation framework","Conference explicitly targets digital learning, AI policy/literacy, changing workforce, and practical educational sessions; virtual delivery lowers travel friction",ev-069;ev-070,5,5,5,5,3,4,95,100,upcoming-or-rolling,"Accepted presenters pay registration; vendor product submissions may need educator/L&D co-presenter; exact duration pending","Prepare proposal now and verify portal fields on 2026-09-15; submit by 2026-11-10 if economics and status permit",2026-09-15
skeptic-education,ed-bettuk-2027,"30-minute session","A Skeptic's Guide to AI That Actually Supports Learning","Offer a non-promotional evidence test for AI, assessment, feedback, workload, and human accountability","Bett asks for practical, evidence-informed, strategic sessions and specifically wants assessment, feedback, AI, workload, and student engagement",ev-067;ev-068,5,5,3,5,,5,82,83,upcoming-or-rolling,"First-look deadline passed; current submissions feed reserve list or 2028; headshot, bio, job title, and organization required and not supplied","Treat as reserve/2028 lead; verify speaker economics before supplying profile materials",2026-10-01
skeptic-education,ed-aste-2027,"40-minute talk adapted to event format","A Skeptic's Guide to AI in Alaskan Schools","Emphasize honest local-context evaluation, student impact, and practical district decisions","Event calls for honest discussion of what works in Alaskan classrooms and has AI, student impact, administration, and college/career strands",,4,5,5,4,,3,80,83,verified-actionable,"Local relevance is important; non-Alaska eligibility and Dan's K-12 experience are unknown; travel likely material","Confirm external-speaker eligibility and travel willingness before the 2026-09-30 deadline",2026-09-08
skeptic-education,ed-lilly-austin-2027,"40-minute practical session","A Skeptic's Guide to Evidence-Based AI Teaching","Make human capability and measurable learning the center of AI teaching decisions","Edition title is specifically AI and the future of evidence-based teaching in higher education",,5,5,2,4,,3,74,83,upcoming-or-rolling,"CFP says open but no deadline is published on reviewed page; costs and exact format unknown","Inspect live submission form and request no outreach; record deadline/terms before treating as urgent",2026-09-08
skeptic-education,ed-osu-ldd-2027,"45-minute workshop/presentation","A Skeptic's Guide to AI in Learning Design","Equip designers to decide what cognition to delegate, augment, or preserve","Tracks explicitly include generative AI, assessment/evaluation, reflective learning, and research-informed teaching",,5,5,4,5,,1,81,83,verified-actionable,"Inaugural, at least eight slots; external-speaker eligibility unclear; accessible deliverables mandatory","Verify external eligibility via public documentation or organizer response only if outreach is later authorized; do not submit until resolved",2026-09-15
skeptic-education,ed-ala-2027,"60-minute education program adapted to guide","AI Use Is Not Evidence of Learning","Help academic librarians and faculty partners evaluate AI literacy and assignment evidence","Potential fit through academic libraries and AI literacy, but direct library practice needs a credible bridge",,3,4,5,3,2,5,71,100,verified-actionable,"In-person; speaker pays registration/travel/lodging; library-specific experience not supplied","Only pursue with a genuine library/faculty partnership or concrete library-facing example before 2026-09-21",2026-09-08
skeptic-education,ed-icaied-2027,"20-minute research/practice presentation","A Skeptic's Framework for AI in Education","Position as a practitioner framework and evaluation agenda rather than completed empirical study","Exact topic fit across AI literacy, academic integrity, ethics, adaptive learning, and teaching design",,4,5,4,3,,2,68,83,upcoming-or-rolling,"First edition; publication-oriented signals; organizer history not established; talk must not claim empirical validation","Do not prioritize until organizer legitimacy, fees, and acceptance standards are independently verified",2026-10-01
skeptic-education,ed-learner-2027,"20-40-minute presentation depending format","What Human Capability Should AI Leave Behind?","Connect democratic AI literacy to evidence of learning and preserved human agency","Special focus explicitly addresses critical AI literacy across schools, universities, and workplaces",,5,5,3,3,,3,75,83,upcoming-or-rolling,"Academic publication orientation; deadline and fees not captured; empirical expectations may exceed current talk","Review author guidelines and costs before queueing; adapt only as a conceptual/practice paper",2026-10-01
skeptic-education,ed-hec-2027,"Online oral presentation","A Skeptic's Guide to AI in Education","Cross-sector framework for AI evaluation and assessment evidence","AI in education, testing/evaluation, higher education, and EdTech are explicit streams",,4,4,4,4,,1,69,83,upcoming-or-rolling,"Organizer credibility and economics insufficiently verified; advance deadline only","Keep as lower-confidence lead pending organizer/reputation and full-fee verification",2026-10-15
skeptic-education,ed-elearning-africa-2027,"Interactive session","Whose Capability Does Educational AI Build?","Adapt the framework to local capacity, sovereignty, teacher development, and measurable learning in African contexts","Cross-sector digital learning and policy audience fits, but local expertise is explicitly preferred",,4,4,2,3,1,4,66,100,upcoming-or-rolling,"Form status conflicts; African practitioners preferred; speakers fund travel, hotel, and EUR 790-890 registration; no African context supplied","Do not call open. Recheck the proposal portal and only pursue with a credible African collaborator/context and budget authorization",2026-10-01
skeptic-education,ed-herdsa-2027,"Virtual interactive presentation if offered","A Skeptic's Guide to Re-valuing Learning with AI","Tie preserved human capability and assessment renewal to higher education's public purpose","Theme explicitly includes evidence-informed practice, assessment renewal, academic development, and technological change",,5,4,2,4,,3,68,83,historical-monitor,"2027 CFP not posted; current page has stale 2022/2023 dates; academic/practice expectations unknown","Monitor official 2027 conference site for a real call; do not reuse the 2026 deadline",2026-10-01
skeptic-education,ed-educause-2027,"Presentation or online session","A Skeptic's Guide to Evaluating AI in Higher Education","Translate the talk into an institution-scale teaching-and-learning and pilot-governance decision framework","Strong audience and track fit based on 2026 teaching/learning and emerging-technology CFP; 2027 edition confirmed",,5,5,2,4,2,5,77,100,historical-monitor,"No 2027 CFP; corporate education proposals historically need higher-ed co-presenter; presenter costs can be substantial","Prepare for likely 2027 cycle but re-verify all rules and dates; do not infer from 2026",2027-02-15
skeptic-education,ed-nercomp-2027,"Facilitated discussion or presentation","What Counts as Learning When AI Helps?","Regional higher-ed conversation about faculty development, assessment, and evidence-based adoption","2026 track directly covered digital teaching, faculty development, innovative assessment, and evidence-based practice",,5,5,2,4,3,2,76,100,historical-monitor,"No 2027 call yet; regional relevance and affiliation unknown","Monitor official page in September 2026; use 2026 cycle only as a monitoring signal",2026-09-20
skeptic-education,ed-tpc-2027,"20-minute session or 60-minute interactive","A Skeptic's Guide to Teaching and Learning with AI","Practical assignment redesign and evidence-based teaching for faculty","Very strong faculty audience and practical evidence-based focus; 2026 included AI-literacy plenary",,5,5,2,5,1,3,72,100,historical-monitor,"No 2027 CFP verified; historical presenters paid registration and travel","Monitor for 2027 call, likely late 2026, without treating the 2026 deadline as current",2026-10-15
skeptic-education,ed-atd-2027,"Conference education session","A Skeptic's Guide to AI in Workplace Learning","Adapt capability and pilot-evaluation framework to talent development","Workplace L&D audience is relevant, and CFP sought practical strategy, but 2027 route is closed",,4,4,0,4,4,5,65,100,historical-monitor,"2027 CFP closed; unpaid; speaker covers travel/living; previous ATD speaking may matter","Monitor the next official CFP rather than attempting a late submission",2027-06-15
skeptic-education,ed-sxswedu-2027,"Solo presentation or workshop","AI Use Isn't Learning","Cross-ecosystem provocation with practical evidence checks","Excellent cross-sector audience and high reuse value, but proposal and community-voting windows are closed",,5,5,0,4,,5,68,83,historical-monitor,"2027 route closed; proposal needs public video/visual and speaker bio/organization; one proposal per account","Monitor the 2028 PanelPicker cycle; begin no public asset work without authorization",2027-05-15
skeptic-education,ed-asugsv-2027,"Curated talk/panel","AI Adoption Is Not a Learning Outcome","Challenge EdTech leaders to measure capability rather than usage","Strong audience and scale, but no public general speaker CFP exists",,5,5,1,4,,5,72,83,historical-monitor,"Invitation-only/curated for general program; startup route is irrelevant without eligible company; no outreach authorized","Retain as evidenced invitation-only lead; no action until a public editorial participation route appears",2026-11-01
skeptic-education,ed-altc-2027,"20-minute presentation or webinar","A Skeptic's Guide to Human-Centred AI Learning","Use human capability and evidence of learning to anchor ethical digital pedagogy","ALT audience and recent human-centered digital-learning themes fit well",,5,4,1,5,,3,64,83,historical-monitor,"No 2027 edition confirmed; webinar suggestions are not a formal CFP; UK travel/budget unknown","Monitor ALT events and future call; treat year-round webinar contact as a lead only, not authorization to pitch",2026-11-01
skeptic-education,ed-oeb-2026,"Active discussion or presentation","A Skeptic's Guide to Sovereign Learning with AI","Connect human capability, trust, agency, assessment, and accountability","2026 theme is nearly exact conceptual fit, but CFP is closed",,5,5,0,4,,4,67,83,historical-monitor,"CFP closed; event dates and economics not fully captured","Monitor next OEB cycle; reuse theme language only after next call is official",2027-01-15
skeptic-education,ed-pod-2026,"Interactive educational-development session","A Skeptic's Guide to Faculty Development for AI","Help educational developers facilitate institutional decisions about AI and evidence of learning","2026 call explicitly named generative AI, academic integrity, evidence-based teaching, and shared sense-making",,5,5,0,4,,3,66,83,historical-monitor,"2026 CFP closed; educational-development credentials/affiliation unknown","Monitor the 2027 annual CFP; do not use 2026 deadlines as predictions",2027-03-01
skeptic-education,ed-training-2027,"Breakout session","A Skeptic's Guide to AI in Workplace Training","Apply the framework to capability, transfer, and training evaluation","Practical workplace training audience fits, but education-specific framing needs adaptation and call is closed",,4,4,0,4,,4,64,83,historical-monitor,"2027 CFP closed; workplace L&D credibility and speaker benefits unknown","Join no list and send no outreach; recheck public 2028 call when posted",2027-04-15
