edition_id,event_id,edition_label,edition_url,start_date,end_date,date_status,city,country,mode,language,cfp_url,guidelines_url,cfp_status,eligibility,formats_and_durations,submission_requirements,compensation,travel_support,speaker_costs,recording_rights,accessibility,attendance_value,attendance_year,verified_at,source_ids,unknowns
ed-iste-2027,evt-iste-live,ISTELive 27,https://conference.iste.org/2027/,2027-06-27,2027-06-30,exact,Boston,USA,hybrid,English,https://conference.iste.org/2027/presenters/submit_proposal.php,https://conference.iste.org/2027/presenters/submit_proposal.php,open,"Educators at all career stages and locations; solution providers allowed when educational and non-promotional","Multiple formats including 60-minute Innovator Talk/interactive formats and shorter options; exact 2027 durations require guide review","Up to five proposals; title, description, outcomes, audience, resources, presenter profile; adult presenters register",unknown,unknown,"All adult presenters must register; travel/lodging not stated on the reviewed page",unknown,unknown,"Hybrid reach; 2026 acceptance rates published by format",2026,2026-09-04T23:00:00-06:00,ev-001;ev-002;ev-061;ev-062,"Registration price, travel support, rights, accessibility details, and Dan's eligibility/affiliation remain unknown"
ed-upcea-dtl-2027,evt-upcea-dtl,2027 UPCEA Digital Teaching & Learning Conference,https://conferences.upcea.edu/DTL2027/,2027-02-03,2027-02-04,exact,,,virtual,English,https://conferences.upcea.edu/DTL2027/proposals.html,https://conferences.upcea.edu/DTL2027/proposals.html,open,"Presenter must be a current UPCEA institutional or corporate member; corporate members require an institutional-member co-presenter; significant online-learning experience expected","50-minute concurrent; 60-minute workshop; 10-minute lightning; 3-5-minute asynchronous poster","All speakers named; learning goals; engagement plan; level; evaluation data or established models valued",unknown,none,"Presenters responsible for registration and other expenses; free for institutional members; limited scholarships for eligible nonmembers",unknown,"Virtual format described as reducing travel/cost barriers","Long-running predecessor conference; recordings of most 2026 sessions",2026,2026-09-04T23:00:00-06:00,ev-003;ev-004;ev-063;ev-064,"Dan's UPCEA membership, institutional affiliation, and professional-experience evidence are unknown; nonmember price and recording license not stated"
ed-lilly-sd-2027,evt-lilly-san-diego,Lilly San Diego 2027,https://www.lillyconferences.com/,2027-01-07,2027-01-09,exact,San Diego,USA,in-person,English,https://www.lillyconferences.com/,https://www.lillyconferences.com/,open,"Higher-education teaching-and-learning contributors; exact presenter credential rules not found","Exact 2027 session formats/durations not found in accessible page","Blind peer review; expected scholarly/evidence-based teaching contribution",unknown,unknown,"Registration and travel obligations not found",unknown,unknown,"Series reports 125+ colleges/universities and 30+ states per conference",2026,2026-09-04T23:00:00-06:00,ev-005;ev-006,"CFP form URL, session durations, fees, travel, rights, accessibility, and Dan's institutional affiliation are unknown"
ed-lilly-austin-2027,evt-lilly-austin,Lilly Austin 2027,https://www.lillyconferences.com/,2027-05-17,2027-05-19,exact,Austin,USA,in-person,English,https://www.lillyconferences.com/,https://www.lillyconferences.com/,open,"Higher-education teaching-and-learning contributors; exact presenter credential rules not found","Exact 2027 session formats/durations not found in accessible page","Blind peer review; expected scholarly/evidence-based teaching contribution",unknown,unknown,"Registration and travel obligations not found",unknown,unknown,"Series reports 125+ colleges/universities and 30+ states per conference",2026,2026-09-04T23:00:00-06:00,ev-007;ev-006,"Deadline absent from reviewed page; CFP form URL, durations, economics, rights, accessibility, and Dan's affiliation unknown"
ed-chea-2027,evt-chea-annual,CHEA 2027 Annual Conference,https://www.chea.org/chea-2027-annual-conference,2027-01-25,2027-01-28,exact,"Washington, DC",USA,in-person,English,https://www.chea.org/chea-2027-annual-conference-call-proposals,https://www.chea.org/chea-2027-annual-conference-call-proposals,open,"Open to all; talk must relate to accreditation, quality assurance, or student success","60-minute plenary or concurrent sessions; concurrent allows one or two presenters","Official form; noncommercial; varied perspectives; proposal must tie AI/evidence of learning to quality assurance",unknown,unknown,unknown,unknown,unknown,"National and international accreditation/quality audience",2027,2026-09-04T23:00:00-06:00,ev-008;ev-009,"Registration, compensation, travel, rights, accessibility, notification date, and Dan's quality-assurance credentials are unknown"
ed-usdla-2027,evt-usdla-national,USDLA 2027 National Conference,https://usdla.org/events/national-conference/,2027-06-21,2027-06-24,exact,Cleveland,USA,hybrid,English,https://usdla.org/events/call-for-proposals/,https://usdla.org/events/call-for-proposals/,open,"Open across higher education, K-12, corporate, government, military, and telehealth; first-time speakers encouraged","45-minute concurrent session; onsite or virtual component","Detailed description, learning objectives, takeaways, and engagement plan; multiple proposals allowed",unknown,unknown,"Presenter registration USD 300 onsite or USD 100 virtual; full-conference registration required",unknown,unknown,"Cross-sector national distance-learning audience",2027,2026-09-04T23:00:00-06:00,ev-010;ev-011;ev-065;ev-066,"Virtual dates, compensation, travel support, recording rights, accessibility, and Dan's preferred mode/budget unknown"
ed-hi-ai-2027,evt-hi-ai,Hi AI! 2027,https://www.ltcillinois.org/hiai/,2027-01-14,2027-01-15,exact,,,virtual,English,https://www.ltcillinois.org/hiai/rfp/,https://www.ltcillinois.org/hiai/rfp/,open,"K-12 educators, administrators, technology leaders, and innovators","50-minute presentation, demo/hands-on activity, or panel","Title max 10 words; description max 350 words; target audience; actionable learning objectives",unknown,none,unknown,unknown,unknown,"Focused statewide K-12 AI audience; attendance not published",,2026-09-04T23:00:00-06:00,ev-012;ev-013,"Speaker cost, compensation, rights, accessibility, and whether an out-of-state non-school practitioner is competitive remain unknown"
ed-aste-2027,evt-aste,ASTE 2027,https://www.aste.org/conference/,2027-02-13,2027-02-15,exact,Anchorage,USA,in-person,English,https://cfp.sched.com/,https://www.aste.org/conference/,open,"Anyone supporting technology in Alaskan schools is listed; non-Alaska eligibility not expressly barred","Session duration and detailed formats not found on public page","Rolling review across six strands; practical classroom/school/district takeaways emphasized",unknown,unknown,unknown,unknown,"Site includes an accessibility statement but event-specific accommodations not reviewed","Statewide regional reach; 45-year history claim",2027,2026-09-04T23:00:00-06:00,ev-014,"Non-Alaska eligibility, proposal details, speaker economics, rights, and Dan's K-12 credentials are unknown"
ed-bettuk-2027,evt-bett-uk,Bett UK 2027,https://uk.bettshow.com/,2027-01-20,2027-01-22,exact,London,UK,in-person,English,https://uk.bettshow.com/call-for-speakers,https://uk.bettshow.com/call-for-speakers,rolling,"Teacher, practitioner, policy, researcher, or non-commercial expert; evidence-based non-promotional content","30-minute session; 45-minute workshop; panels/firesides; clinics/labs; roundtables","Bio max 150 words, headshot, title, description, three takeaways, target audience; speaking links optional",unknown,unknown,unknown,unknown,"Accessibility needs may be supplied in submission","Organizer reports 37,000+ attendees, 400+ speakers, 130+ countries",2026,2026-09-04T23:00:00-06:00,ev-015;ev-016;ev-067;ev-068,"First-look deadline passed; reserve-list status and selection timing unclear; economics, rights, and Dan's job title/organization unknown"
ed-olc-innovate-2027,evt-olc-innovate,OLC Innovate 2027,https://onlinelearningconsortium.org/conferences/olc-innovate2027/,2027-04-20,2027-04-22,exact,,,virtual,English,https://onlinelearningconsortium.org/conferences/olc-innovate2027/present/,https://onlinelearningconsortium.org/conferences/olc-innovate2027/present/,announced-not-open,"Educators, vendors, and industry L&D may submit; vendor product sessions require educator or industry-L&D co-presenter","Academic presentation and interactive formats; exact durations should be rechecked when portal opens","Double-blind proposal; educational/non-promotional; alignment, outcomes, appeal, interactivity",unknown,none,"Accepted presenters must register and pay published fee",unknown,unknown,"International online/digital/blended-learning community",2027,2026-09-04T23:00:00-06:00,ev-017;ev-018;ev-069;ev-070,"Registration price, rights, accessibility, Dan's vendor status/affiliation, and exact session duration unknown"
