talk_id,source_edition_id,consolidated_edition_id,edition_label,source_event_id
benchmarks,ed-a4q-2027,ed-evt-a4q-global-testing-summit-a4q-global-testing-summit-2027,A4Q Global Testing Summit 2027,evt-a4q
failure-improvement,ed-fi-a4q27,ed-evt-a4q-testing-summit-a4q-testing-summit-2027,A4Q Testing Summit 2027,evt-fi-a4q
parallelization,ed-pa-a4q27,ed-evt-a4q-testing-summit-a4q-testing-summit-2027,A4Q Testing Summit 2027,evt-pa-a4q
benchmarks,ed-aaai-2027,ed-evt-aaai-conference-on-artificial-intelligence-aaai-27,AAAI-27,evt-aaai
evidence-learning,ed-aalhe-2027,ed-evt-aalhe-annual-conference-aalhe-2027-conference,AALHE 2027 Conference,ev-aalhe
evidence-learning,ed-advance-he-2027,ed-evt-advance-he-teaching-and-learning-conference-advance-he-teaching-and-,Advance HE Teaching and Learning Conference 2027,ev-advance-he
adaptive-systems,ed-agenticdays-2027,ed-evt-agentic-engineering-days-zurich-agentic-engineering-days-zurich-2027,Agentic Engineering Days Zurich 2027,evt-agenticdays
benchmarks,ed-agenticdays-2027,ed-evt-agentic-engineering-days-zurich-agentic-engineering-days-zurich-2027,Agentic Engineering Days Zurich 2027,evt-agenticdays
retrieval,ed-agenticcon-2027,ed-evt-agenticcon-agenticcon-2027,AgenticCon 2027,ev-agenticcon
adaptive-systems,ed-agentics-eu-2027,ed-evt-agentics-day-mcp-agents-europe-agentics-day-mcp-agents-europe-2027,Agentics Day: MCP + Agents Europe 2027,evt-agentics-eu
failure-improvement,ed-fi-agentics-eu27,ed-evt-agentics-day-mcp-agents-europe-agentics-day-mcp-agents-europe-2027,Agentics Day: MCP + Agents Europe 2027,evt-fi-agentics-eu
parallelization,ed-pa-agentics-eu27,ed-evt-agentics-day-mcp-agents-europe-agentics-day-mcp-agents-europe-2027,Agentics Day: MCP + Agents Europe 2027,evt-pa-agentics-eu
benchmarks,ed-atd-2027,ed-evt-agile-testing-days-agile-testing-days-2027,Agile Testing Days 2027,evt-agiletestingdays
adaptive-systems,ed-agntcon-eu-2027,ed-evt-agntcon-mcpcon-europe-agntcon-mcpcon-europe-2027,AGNTCon + MCPCon Europe 2027,evt-agntcon-eu
adaptive-systems,ed-agntcon-na-2027,ed-evt-agntcon-mcpcon-north-america-agntcon-mcpcon-north-america-2027,AGNTCon + MCPCon North America 2027,evt-agntcon-na
adaptive-systems,ed-ai-agent-event-2027,ed-evt-ai-agent-event-ai-agent-event-2027,AI Agent Event 2027,evt-ai-agent-event
benchmarks,ed-aiae-2027,ed-evt-ai-agent-event-ai-agent-event-2027,AI Agent Event 2027,evt-ai-agent-event
retrieval,ed-ai-agent-2027,ed-evt-ai-agent-event-ai-agent-event-2027,AI Agent Event 2027,ev-ai-agent-event
judgment,ed-ju-aif27,ed-evt-ai-festival-ai-festival-2027,AI Festival 2027,evt-ju-aifestival
product-engineering,ed-pe-aif27,ed-evt-ai-festival-ai-festival-2027,AI Festival 2027,evt-pe-aifestival
retrieval,ed-ai-tink-boston-monitor,ed-evt-ai-tinkerers-boston-ai-tinkerers-boston-next-relevant-meetup,AI Tinkerers Boston next relevant meetup,ev-ai-tink-boston
retrieval,ed-ai-tink-calgary-monitor,ed-evt-ai-tinkerers-calgary-ai-tinkerers-calgary-next-relevant-meetup,AI Tinkerers Calgary next relevant meetup,ev-ai-tink-calgary
retrieval,ed-ai-tink-seattle-monitor,ed-evt-ai-tinkerers-seattle-ai-tinkerers-seattle-next-relevant-meetup,AI Tinkerers Seattle next relevant meetup,ev-ai-tink-seattle
judgment,ed-ju-ainext-us27,ed-evt-ainext-awards-and-conference-ainext-us-2027,AINext US 2027,evt-ju-ainext
product-engineering,ed-pe-ainext-us27,ed-evt-ainext-awards-and-conference-ainext-us-2027,AINext US 2027,evt-pe-ainext
evidence-learning,ed-ala-2027,ed-evt-ala-annual-conference-and-exhibition-ala-annual-conference-2027,ALA Annual 2027,ev-ala
skeptic-education,ed-ala-2027,ed-evt-ala-annual-conference-and-exhibition-ala-annual-conference-2027,ALA Annual Conference 2027,evt-ala-annual
skeptic-education,ed-altc-2027,ed-evt-alt-annual-conference-alt-annual-conference-2027,ALT Annual Conference 2027,evt-altc
