source_group,opportunity_name,location,mode,topic_fit,application_route,next_date_raw,next_date,popularity_evidence,ease_score,unknowns,source_urls,primary_talk_id,location_preference,popularity_score,composite_score
Denver/Colorado,Rocky Mountain AI Interest Group (RMAIIG),"Boulder, Broomfield, Denver, and Fort Collins; in person",in-person,"All ten; particularly Education, Adaptive, Product, Retrieval, Benchmarks, and Judgment. Main events favor broad, practical explanations.",The group page exposes Message organizers; its September event also has a direct community demo form. Group and organizer route,"2026-09-17, Broomfield: “Hands-on Practical AI Tips”",2026-09-17,"4,515 members, 902 ratings, 42 past events; recent events reported 199 and 261 attendees. The network lists 11 subgroups and visible enterprise/community sponsors. First-party Meetup evidence",1,,https://docs.google.com/forms/d/e/1FAIpQLSfN6b3LnMY6p6ppoCWQRxPisIXOZxNIUELyiobzZ3J8BHj5fw/viewform;https://www.meetup.com/rmaiig/,skeptic-education,1,4,1.63
Denver/Colorado,Denver AI Group,"University of Denver; monthly, in person",in-person,"Product, Benchmarks, Adaptive, Retrieval, and Judgment; reframe for mixed operators, founders, and technologists",Message organizers on the Meetup group page. No formal speaker form found.,"2026-09-23 is a social/trivia event; normal meetings are described as fourth-Wednesday expert talks, panels, demos, and case studies",2026-09-23,"2,469 members, 229 ratings, 23 past events; the two latest technical events show 189 and 179 attendees. Meetup",2,,https://www.meetup.com/denverai/,product-engineering,1,4,1.895
Denver/Colorado,Colorado AI Builders,Alternates Boulder and Denver about every six weeks; in person,in-person,"Adaptive, Product, Retrieval, Parallelization, Benchmarks, and Free tier as a concrete demo",Put a demo description in the event RSVP; organizers state they receive more demo requests than slots. 2026-09-15 Luma event,"2026-09-15, The Link in downtown Denver, during Colorado Startup Week",2026-09-15,"First-party site says 3,000+ Colorado AI builders; the current Luma event showed 190 going and sponsors/partners including NVIDIA, Silicon Valley Bank, Ombud, and Matchstick Ventures. Community site",1,,https://luma.com/albyi559;https://www.boulderaibuilders.org/,adaptive-systems,1,2,1.995
Denver/Colorado,AI & Product Colorado,"Boulder and Denver; monthly, in person",in-person,"Product is the direct hit; Judgment, Benchmarks, Adaptive, and Failure also fit product decision-making",Message organizers on the Meetup page. No general speaker form found.,"2026-09-14, Denver: “Blurred Lines — CSW Edition”",2026-09-14,"1,842 members and 208 ratings; recurring monthly events and affiliation with the larger RMAIIG network. Meetup",2,,https://www.meetup.com/meetup-group-ai-and-product/,product-engineering,1,4,1.83
Denver/Colorado,Denver AI and Machine Learning Group,Westminster/Denver; in person with study sessions,in-person,"Any technical talk; especially Adaptive, Retrieval, Benchmarks, Parallelization, and Failure",The event explicitly says to message an organizer for a lightning or future extended talk. Meetup,2026-09-13 lightning talks; 2026-10-11 next monthly talks,2026-09-13,"674 members, 42 ratings, 93 past events; regular talks, study groups, and workshops. Recent attendance is small (roughly 8–11), making it a useful rehearsal room. Meetup",1,,https://www.meetup.com/denverml/,adaptive-systems,1,3,1.845
Denver/Colorado,Denver AI Developers Group / AI Camp,Denver and online,remote/online,"Adaptive, Retrieval, Benchmarks, Parallelization, Failure, and Product",Page says prospective speakers should reach out; use Message organizers or the linked AI Camp site. Meetup,2026-09-22 online production-agents session; 2026-09-24 Denver agentic-AI meetup,2026-09-22,"1,763 members, 134 ratings, and 394 past events; current programming includes Google and Coder speakers. Meetup",2,,https://www.aicamp.ai/;https://www.meetup.com/aittg-denver/,adaptive-systems,1,4,1.895
Denver/Colorado,Boulder/Denver Data + AI Meetup,Boulder/Denver and online,remote/online,"Retrieval, Benchmarks, Adaptive, Parallelization, and Failure",The page says Databricks’ community team is looking for speakers; message the organizer team. Meetup,No future date posted,,"781 members, 35 ratings, 21 past events. It supports interviews, technical talks, and workshops, but visible recent activity is dated; verify that the group is still programming. Meetup",2,,https://www.meetup.com/boulder-denver-data-ai-meetup/,retrieval,1,3,2.045
Denver/Colorado,Denver Data Science Professionals (DDSP),Galvanize Denver; approximately bimonthly,in-person,"Benchmarks, Retrieval, Adaptive, Parallelization, and Failure",Official page invites presenters to contact organizers and publishes their contact details. Presenter route,No future date posted,,The official site describes bimonthly professional-discourse events and lists Galvanize as a sponsor. No member or current attendance count was exposed. DDSP,2,,https://www.denverdatascienceprofessionals.com/,benchmarks,1,2,2.195
Denver/Colorado,Denver DevOps Monthly Meetup,"Code Talent, Denver; monthly, in person",in-person,"Failure, Adaptive, Benchmarks, Parallelization, Product, and Judgment","Join its public Slack or message organizers through Meetup; monthly meetings currently use open spaces, so a discussion can be easier than a formal talk",2026-10-15 coworking plus meetup/open spaces,2026-10-15,"2,245 members, 225 ratings, 125 past events; it is the community behind the tenth annual DevOpsDays Rockies. Meetup",1,,https://www.meetup.com/denverdevops/,failure-improvement,1,4,1.695
Denver/Colorado,DevOpsDays Rockies,Denver; in person,in-person,"Failure, Adaptive, Benchmarks, Parallelization, Product, and Judgment",2026 CFP is closed. Monitor the official community site and Pretalx CFP archive; organizers explicitly offered proposal help and local writing meetups,2026-09-22 to 2026-09-23; next CFP unknown,2026-09-22,"Tenth annual regional conference; its connected Meetup has 2,245 members. The format includes 30-minute talks, five-minute Ignite talks, and attendee-proposed open spaces. Official site",3,,https://denverdevops.org/;https://talks.devopsdays.org/dodroxrox26/cfp,failure-improvement,1,4,2.095
Denver/Colorado,Denver Dev Day,"Red Rocks Community College, Lakewood; annual, in person",in-person,"Product, Adaptive, Retrieval, Parallelization, Benchmarks, Failure, Free tier, and Judgment",2026 CFP closed; monitor the official site and Sessionize archive. The Meetup also exposes organizer messaging.,Next edition unknown; 2026 event was June 26,,Fifteenth edition in 2026; 875 Meetup members and 123 ratings. The CFP received 45 submissions; sessions were 50 minutes or 15-minute lightning talks. Meetup,3,,https://denverdevday.com/;https://sessionize.com/denver-dev-day-2026;https://www.meetup.com/denverdevday/,product-engineering,2,1,2.845
Denver/Colorado,Develop Denver,Denver and online,remote/online,"Product, Judgment, Failure, Adaptive, and Education",Talks are submitted and community-voted; use Message organizer or the public Discord on the Meetup page. No current form found.,No future date posted,,"654 members, 49 ratings, 24 past events, and nearly a decade of history. Recent online technical events drew fewer than 20, so reach is modest despite the established brand. Meetup",2,,https://www.meetup.com/develop-denver/,product-engineering,1,3,2.045
