event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
evt-kccnc-eu,KubeCon + CloudNativeCon Europe,Cloud Native Computing Foundation / Linux Foundation,conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/,"Cloud-native developers, architects, platform engineers, SREs, and technical leaders","Annual CNCF flagship; official 2026 archive and 2027 site available.",ev-kccnc-main;ev-kccnc-past
evt-agentics-eu,Agentics Day: MCP + Agents Europe,Cloud Native Computing Foundation / Linux Foundation,co-located conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/,"MCP and agent application developers, contributors, and practitioners","2027 is publicly listed; earlier same-name European history was not confirmed.",ev-agentics-current
evt-cnai-eu,Cloud Native AI + Inference Day Europe,Cloud Native Computing Foundation / Linux Foundation,co-located conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/,"AI/ML infrastructure, inference, MLOps, and agent practitioners","Recurring CNCF co-located program; 2027 page and common CFP are live.",ev-cnai-current
evt-platform-day-eu,Platform Engineering Day Europe,Cloud Native Computing Foundation / Linux Foundation,co-located conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/platform-engineering-day/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/,"Platform engineers, infrastructure teams, and developer-experience practitioners","Recurring CNCF co-located program; 2027 page and common CFP are live.",ev-colocated-common
evt-srecon-americas,SREcon Americas,USENIX Association,conference,https://www.usenix.org/conferences/byname/925,https://www.usenix.org/contact,"SREs, systems engineers, infrastructure architects, and engineering leaders","Established annual practitioner conference with open-access program archives.",ev-srecon-current;ev-srecon-past1;ev-srecon-past2
evt-aoma,AOmA / Adaptive Organizations meet Architecture,AOmA organizing committee,conference,https://aoma-conference.com/,https://aoma-conference.com/,"Software architects and organizational-design practitioners","Began in 2019 as Agile meets Architecture; renamed AOmA for 2027.",ev-aoma-current;ev-aoma-history
evt-arc,ARC Software Architecture & Engineering Conference,ARC,conference,https://futurewitharc.com/,https://futurewitharc.com/contact/,"Senior software engineers, architects, platform and AI engineers, and technology leaders","First publicly evidenced edition is 2027; no prior-program history located.",ev-arc-current
evt-icsa,IEEE International Conference on Software Architecture,IEEE Computer Society / ICSA steering community,academic-practitioner conference,https://icsa-conferences.org/,https://conf.researchr.org/track/icsa-2027/icsa-2027-software-architecture-in-practice-track,"Software architecture researchers and practitioners","24th edition in 2027; official archives cover at least 2024-2026.",ev-icsa-saip;ev-icsa-past1;ev-icsa-past2
evt-gids,Great International Developer Summit,Saltmarch Media,conference,https://developersummit.com/,https://developersummit.com/contact,"Software engineers, architects, tech leads, platform/data practitioners, and engineering leaders","2027 is the 20th edition; official site says 150+ curated sessions.",ev-gids-current;ev-gids-past1;ev-gids-past2
evt-javaland,JavaLand,JavaLand GmbH / iJUG,community conference,https://www.javaland.eu/en/home/,https://www.javaland.eu/en/contact/,"Java/JVM developers plus architecture, platform, cloud, DevOps, and AI practitioners","Recurring European Java community conference; official 2026 submission figures and program evidence available.",ev-javaland-current;ev-javaland-past1;ev-javaland-past2
