talk_id,edition_id,recommended_variant,proposed_title,pitch_angle,fit_reason,past_session_evidence_ids,audience_rating,topic_rating,timing_rating,readiness_rating,logistics_rating,reach_rating,known_points,evidence_coverage_percent,queue,constraints,next_action,next_check_date
"product-engineering","ed-pe-pw27","30-minute feedback-systems variant; resize when duration known","The Future of Product Engineering: Shorter Loops, Explicit Boundaries","Use the synthetic onboarding reversal to show why AI-speed requires experiment contracts, guardrails and human release ownership.","Exact product/product-engineering audience and near-identical 2026 sessions; open editorial CFP.","ev-pe-pw-past1;ev-pe-pw-past2","5","5","5","4","3","5","94","100","1-verified-actionable","Duration and travel costs unknown; deadline is close.","Confirm session length and submit the systems-thinking variant by September 18.","2026-09-08"
"product-engineering","ed-pe-pls-seattle27","30-minute feedback-systems variant","The Future of Product Engineering: Build the Learning Loop","Frame activation, feedback loops and AI product lifecycle around evidence, explicit product boundaries and accountable decisions.","Direct product-led, activation, experimentation and AI-product audience with strong precedent.","ev-pe-pls-past1;ev-pe-pls-past2","5","5","3","4","","4","79","90","2-upcoming-rolling","Undated interest form requires company and business email; selection/economics unknown.","Prepare the 30-minute abstract, then use the route only after confirming Dan's company/business-email facts.","2026-10-01"
"product-engineering","ed-pe-uxdx-ny27","30-minute feedback-systems variant","The Future of Product Engineering: Decide What Deserves to Exist","Center cross-functional judgment and the blocked activation winner, matching the program's explicit AI/product-quality conversation.","The event language nearly mirrors the talk thesis and current agenda contains direct topic precedent.","ev-pe-uxdx-past1;ev-pe-uxdx-past2","5","5","5","4","","4","87","90","1-verified-actionable","Main stage expects a real in-house case with outcomes; current synthetic proposed design may not qualify.","Only target main stage if Dan has a truthful qualifying case; otherwise use the always-open local stage.","2026-10-15"
"product-engineering","ed-pe-bacon27","30-minute systems variant; confirm duration","The Future of Product Engineering: Faster Learning Without Losing the Product","Translate the loop into practical business/product/technology decision contracts and ownership.","Regional audience explicitly spans product, AI and better outcomes; public CFP welcomes practical ideas and lessons.","","4","5","5","4","4","2","87","100","1-verified-actionable","No prior-program evidence captured; duration wording incomplete; page has a 2026/2027 benefit typo.","Verify duration and 2027 speaker-pass wording, then submit by October 15.","2026-09-25"
"product-engineering","ed-pe-aif27","15-minute big-idea variant; confirm duration","The Future of Product Engineering: When Building Becomes the Cheap Part","Use the product-judgment thesis as a strategic vision for responsible AI integration and future work.","Large AI/business audience and open call; product engineering is adjacent rather than central.","ev-pe-aif-past1;ev-pe-aif-past2","4","4","5","4","","5","77","90","1-verified-actionable","No production result may be claimed; language, duration and economics unknown.","Select the strategic-vision speech type and submit the 15-minute framing by October 15 after verifying duration.","2026-09-25"
"product-engineering","ed-pe-ces27","15-minute big-idea variant; duration to confirm","The Future of Product Engineering: Faster Generation, Better Decisions","Pitch a concise contrarian idea about customer trust and human accountability as product generation becomes abundant.","Broad high-reach innovation stage and open editorial route; weaker product-practitioner concentration.","ev-pe-ces-past1;ev-pe-ces-past2","4","4","5","4","3","5","83","100","1-verified-actionable","Extremely short runway; selection favors recognized influence; travel/hotel self-funded; format unknown.","Submit only a concise big-idea application by September 9; do not pursue sponsored speaking.","2026-09-06"
"product-engineering","ed-pe-gids27","30-minute feedback-systems variant","The Future of Product Engineering: Designing a Trustworthy Learning Loop","Present durable records, feature flags and permission gates as product-engineering architecture.","Strong product/experience engineering and systems-thinking overlap with exact 30-minute slot.","ev-pe-gids-past1;ev-pe-gids-past2","4","5","5","5","4","4","91","100","1-verified-actionable","CFP requires real engineering experience and what changed in practice; synthetic design alone is unlikely to fit.","Proceed only if a firsthand implementation can truthfully ground the architecture; otherwise exclude.","2026-09-10"
"product-engineering","ed-pe-apqc27","40-minute technical variant expanded to interactive 45-60 minutes","Designing the Product Learning Loop: Evidence, Guardrails and Decision Memory","Recast the architecture as process/knowledge flow connecting customer signals, experiments and scoped organizational memory.","Strong process/knowledge feedback-loop fit and evidence-rich audience, but product engineering is indirect.","ev-pe-apqc-past1;ev-pe-apqc-past2","4","4","5","3","3","3","79","100","1-verified-actionable","Organizer prefers real organizational story and measurable effects; synthetic example may be insufficient; adaptation needed.","Choose the teach-a-technique route, avoid measured-effect claims, and submit only if proposed-design sessions are allowed.","2026-09-20"
"product-engineering","ed-pe-opt-west27","attendee-led discussion derived from 30-minute variant","When the Winning Experiment Should Still Lose","Lead a no-slides discussion around the synthetic activation reversal, evidence quality, product promises and human decision ownership.","Near-perfect experimentation/learning-loop audience; speaking route is attendee-led rather than a selected conference talk.","ev-pe-opt-past1;ev-pe-opt-past2","5","5","4","3","1","2","81","100","2-upcoming-rolling","Requires a paid ticket (USD 1595 at first available tier); no guaranteed stage; willingness to pay and travel unknown.","Keep in a separate paid-attendee category until budget and travel preferences are supplied.","2026-10-01"
"product-engineering","ed-pe-producttank-rolling","15- or 30-minute community variant","When AI Makes Building Cheap, Product Judgment Gets Expensive","Use one onboarding decision to start a practical local discussion about evidence, constraints and ownership.","Direct product community, low-formality rolling route and good rehearsal value.","ev-pe-pt-past1;ev-pe-pt-past2","5","5","4","5","","3","84","90","2-upcoming-rolling","No specific edition, deadline, economics or format; location preferences unknown.","Prepare a reusable directory profile and only select chapters after region/remote preferences are known.","2026-10-01"
"product-engineering","ed-pe-dx-sf27","30-minute leadership variant; format unknown","The Future of Product Engineering: Learning Faster Than You Generate","Frame product learning as the missing decision system around AI-driven developer productivity.","Strong engineering-leader audience and AI/measurement themes, but narrower developer-productivity focus.","ev-pe-dx-past1;ev-pe-dx-past2","4","4","2","4","","4","64","90","2-upcoming-rolling","Speaker call not open; speakers must have led major organizational change and use real data.","Monitor the announced fall call; exclude if Dan cannot evidence qualifying organizational change.","2026-10-15"
"product-engineering","ed-pe-elc27","30-minute leadership variant; format unknown","The Future of Product Engineering: From Output Teams to Learning Systems","Focus on organizational ownership, product/engineering convergence and explicit tradeoff decisions.","Product and engineering leadership audience fits, but no public route or exact date exists.","ev-pe-elc-past1;ev-pe-elc-past2","4","4","1","4","","3","59","90","3-historical-monitor","No open CFP, exact dates, eligibility or economics.","Monitor official site for a public 2027 content route; do not use partner channel as speaker access.","2026-11-01"
"product-engineering","ed-pe-ldx3-london27","30-minute leadership variant; format unknown","The Future of Product Engineering: The Missing Loop Between Product and Engineering","Treat fast generation as an organizational design problem requiring shared evidence, constraints and accountable owners.","Excellent engineering-leadership precedent, but 2027 CFP is not open.","ev-pe-lead-past1;ev-pe-lead-past2","4","5","2","4","","5","70","90","3-historical-monitor","No 2027 public submission route or economics.","Monitor for the next CFP based only on a newly announced official route, not historical cadence.","2026-11-01"
"product-engineering","ed-pe-pah27","30-minute product-leadership variant; format unknown","The Future of Product Engineering: Shorter Loops, Better Taste","Connect product craft, AI-assisted speed and the hard problem of deciding what should exist.","Direct single-track product audience and 2026 AI theme; no public speaker route.","ev-pe-pah-past1;ev-pe-pah-past2","5","5","1","4","","3","70","90","3-historical-monitor","Curated program; 2027 themes and route not announced.","Monitor the 2027 theme and speaker announcement; no outreach authorized.","2027-01-15"
"product-engineering","ed-pe-pcon-london27","15-minute big-idea variant; format unknown","The Future of Product Engineering: Decide What Deserves to Exist","Aim the thesis at senior product leaders responsible for AI strategy and customer trust.","Very direct audience and strong reach, but no public editorial route was found.","ev-pe-pcon-past1;ev-pe-pcon-past2","5","4","1","4","","5","67","90","3-historical-monitor","Speaker lineup appears curated; no verified submission path.","Do not treat attendee or sponsorship links as speaking access; monitor for an editorial route.","2026-11-01"
"product-engineering","ed-pe-possible27","15-minute big-idea variant; duration unknown","The Future of Product Engineering: What Should Exist in an AI-Generated World?","Use customer trust and anti-manipulation guardrails as a forward-looking product/brand thesis.","Open editorial route and trust/governance themes, but audience is marketing-heavy.","ev-pe-poss-past1;ev-pe-poss-past2","3","4","5","4","","4","70","90","1-verified-actionable","Eligibility emphasizes brand/marketing leaders, founders and innovators; solution providers sent to commercial sales.","Use only the editorial form if Dan truthfully fits founder/innovator criteria; never use paid placement.","2026-10-15"
"product-engineering","ed-pe-kmweu27","30-minute feedback-systems variant","Designing Product Memory Without Automating Product Strategy","Emphasize scoped decision records, human/tacit knowledge and bounded retrieval inside the learning loop.","Good organizational-memory and human-AI collaboration fit; product audience is indirect.","ev-pe-km-past1;ev-pe-km-past2","3","4","1","4","3","3","59","100","2-upcoming-rolling","Official page contradicts itself on open status/year and deadline; real-experience preference.","Recheck until the header and form clearly identify the 2027 call; do not rely on October 9 yet.","2026-09-20"
"product-engineering","ed-pe-ainext-us27","15-minute big-idea variant; duration unknown","The Future of Product Engineering in the Agentic Product Era","Explain why product promises, evaluation and human judgment become more important as execution accelerates.","Applied-AI founders/operators are adjacent; route is public but lacks program detail.","","3","4","3","4","","3","61","90","2-upcoming-rolling","No deadline, city, format, economics or past-session evidence.","Inspect the application portal only when logistics preferences are known; do not infer an open cutoff.","2026-10-15"
