event_name,edition_label,cfp_status,talk_id,known_points,evidence_coverage_percent,next_check_date,next_action,series_url,edition_url
NERCOMP Annual Conference,NERCOMP Annual Conference 2027,no-current-cfp,skeptic-education,76,100,2026-09-20,Monitor official page in September 2026; use 2026 cycle only as a monitoring signal,https://events.educause.edu/nercomp-annual-conference/2027,https://events.educause.edu/nercomp-annual-conference/2027
Conf42,Conf42 AI Agents 2027,unknown,benchmarks,84,67,2026-10-01,Monitor series page for edition-specific CFP,https://www.conf42.com/,https://www.conf42.com/agents2027
Conf42,Conf42 MLOps 2027,unknown,benchmarks,84,65,2026-10-01,Monitor for edition page and CFP,https://www.conf42.com/,https://www.conf42.com/
HERDSA Annual Conference,HERDSA 2027,announced-not-open,skeptic-education,68,83,2026-10-01,Monitor official 2027 conference site for a real call; do not reuse the 2026 deadline,https://conference.herdsa.org.au/2027/,https://conference.herdsa.org.au/2027/
Advance HE Teaching and Learning Conference,Advance HE Teaching and Learning Conference 2027,unknown,evidence-learning,64,61,2026-10-01,Recheck for an abstracts/call page; do not confuse booking status with speaker availability.,https://advance-he.ac.uk/programmes-events/teaching-learning-conference/,https://advance-he.ac.uk/programmes-events/teaching-learning-conference/
NERCOMP Annual Conference,NERCOMP Annual Conference 2027,no-current-cfp,evidence-learning,63,50,2026-10-01,Recheck the official edition page for a CFP or community-program route.,https://events.educause.edu/nercomp-annual-conference/2027,https://events.educause.edu/nercomp-annual-conference/2027
Devnexus,Devnexus 2027,unknown,adaptive-systems,58,55,2026-10-01,Recheck official site for a 2027 announcement; do not infer the deadline from 2026.,https://devnexus.com/,https://devnexus.com/
MLOps Community,MLOps Community contribution route,unknown,benchmarks,81,61,2026-10-15,Monitor public events and only use an evidenced contribution route,https://mlops.community/,https://mlops.community/
Teaching Professor Conference,Teaching Professor Conference 2027,no-current-cfp,skeptic-education,72,100,2026-10-15,"Monitor for 2027 call, likely late 2026, without treating the 2026 deadline as current",https://www.magnapubs.com/teaching-professor-conference-2027/,https://www.magnapubs.com/teaching-professor-conference-2027/
HERDSA Annual Conference,HERDSA 2027,announced-not-open,evidence-learning,68,55,2026-10-15,Monitor official site and mailing list; do not carry the 2022/2023 dates forward.,https://conference.herdsa.org.au/2027/,https://conference.herdsa.org.au/2027/
Think!AI Summit,Think!AI Summit 2027,announced-not-open,benchmarks,68,77,2026-10-15,Do not pursue unless Dan can supply a real implementation and measured results,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers
Agentic Engineering Days Zurich,Agentic Engineering Days Zurich 2027,announced-not-open,benchmarks,78,70,2026-11-01,Watch only; use 2026 program to tailor once the 2027 call appears,https://www.agenticdays.com/,https://www.agenticdays.com/
LDX3 / LeadDev,LDX3 London 2027,announced-not-open,judgment,76,90,2026-11-01,Monitor for an official 2027 CFP; do not infer a window from the prior edition.,https://leaddev.com/,https://leaddev.com/leaddev-london/
