deadline_id,edition_id,deadline_type,raw_date_text,date_iso,time_local,timezone_as_stated,utc_datetime,certainty,source_id,verified_at,conflict_notes
dl-developerweek-final,ed-developerweek-2027,cfp_close,"Final Round proposal deadline is Friday, September 18, 2026",2026-09-18,,,,exact,src-developerweek-cfp,2026-09-04T12:00:00-06:00,
dl-developerweek-first,ed-developerweek-2027,cfp_round_one_close,"First Round proposal deadline is Friday, August 28, 2026",2026-08-28,,,,exact,src-developerweek-cfp,2026-09-04T12:00:00-06:00,"Past on run date; final round remains open"
dl-kubecon-eu-close,ed-kubecon-eu-2027,cfp_close,"Sunday, 11 October at 11:59 PM CEST (UTC+2)",2026-10-11,23:59,"CEST (UTC+2)",2026-10-11T21:59:00Z,exact,src-kubecon-eu-cfp,2026-09-04T12:00:00-06:00,
dl-kubecon-eu-notify,ed-kubecon-eu-2027,notification,"Monday, 7 December",2026-12-07,,,,exact,src-kubecon-eu-cfp,2026-09-04T12:00:00-06:00,"Year supplied by 2027 edition context"
dl-tokenomicon-amsterdam-start,ed-tokenomicon-amsterdam-2026,event_start,"22–23 September 2026",2026-09-22,,,,exact,src-tokenomics-events,2026-09-04T12:00:00-06:00,
dl-dod-la-close,ed-dod-la-2027,cfp_close,"closes 2026-11-01 on global speaking index",2026-11-01,,,,official-conflict,src-dod-global-speaking,2026-09-04T12:00:00-06:00,"Local official propose page says CFP TBD; deadline retained but cannot support submission until form/status reconciled"
dl-dod-raleigh-open,ed-dod-raleigh-2027,cfp_open,"opens Tuesday, Sep 1, 2026",2026-09-01,,,,exact,src-dod-raleigh-propose,2026-09-04T12:00:00-06:00,
dl-dod-raleigh-close,ed-dod-raleigh-2027,cfp_close,"closes Friday, Jan 1, 2027",2027-01-01,,,,exact,src-dod-raleigh-propose,2026-09-04T12:00:00-06:00,
dl-dod-raleigh-notify-conflict,ed-dod-raleigh-2027,notification,"Selected proposals will be announced on Tuesday, Sep 1, 2026",2026-09-01,,,,official-conflict,src-dod-raleigh-propose,2026-09-04T12:00:00-06:00,"Official date equals opening date and precedes close; do not rely on it"
dl-dod-almaty-close,ed-dod-almaty-2026,cfp_close,"deadline 2026-10-01 on official global speaking index",2026-10-01,,,,exact,src-dod-global-speaking,2026-09-04T12:00:00-06:00,"Local page not extractable; recheck before action"
dl-dod-telaviv-close,ed-dod-telaviv-2026,cfp_close,"deadline 2026-09-25 on official global speaking index",2026-09-25,,,,official-conflict,src-dod-global-speaking,2026-09-04T12:00:00-06:00,"Local propose page says CFP TBD"
dl-ndc-london-close,ed-ndc-london-2027,cfp_close,"Deadline - 30 Aug 2026",2026-08-30,,,,exact,src-ndc-london-cfp,2026-09-04T12:00:00-06:00,"Closed before run date"
dl-kubecon-na-close,ed-kubecon-na-2026,cfp_close,"May 31 at 11:59pm Mountain Time (UTC-7:00)",2026-05-31,23:59,"Mountain Time (UTC-7:00)",2026-06-01T06:59:00Z,exact,src-kubecon-na-cfp,2026-09-04T12:00:00-06:00,"Closed before run date"
dl-kubecon-na-notify,ed-kubecon-na-2026,notification,"Monday, August 3",2026-08-03,,,,exact,src-kubecon-na-cfp,2026-09-04T12:00:00-06:00,"Past before run date"
