deadline_id,edition_id,deadline_type,raw_date_text,date_iso,time_local,timezone_as_stated,utc_datetime,certainty,source_id,verified_at,conflict_notes
"dl-ju-pw-first","ed-ju-pw27","first_round_deadline","Friday, August 28, 2026","2026-08-28","","","","confirmed_closed","ev-ju-pw-current","2026-09-04T21:00:00-06:00","Passed before research run."
"dl-ju-pw-final","ed-ju-pw27","cfp_deadline","18 Sep 2026, 11:59 PM Pacific Daylight Time (UTC-07:00)","2026-09-18","23:59","Pacific Daylight Time (UTC-07:00)","2026-09-19T06:59:00Z","confirmed","ev-ju-pw-current","2026-09-04T21:00:00-06:00",""
"dl-ju-uxdx-cfp","ed-ju-uxdx-ny27","cfp_deadline","Apply by 10 Dec 2026","2026-12-10","","","","confirmed","ev-ju-uxdx-current","2026-09-04T21:05:00-06:00","No time or timezone stated."
"dl-ju-gids-cfp","ed-ju-gids27","cfp_deadline","September 30, 2026","2026-09-30","","","","confirmed","ev-ju-gids-current","2026-09-04T21:20:00-06:00","No time or timezone stated."
"dl-ju-bacon-cfp","ed-ju-bacon27","cfp_deadline","15 Oct 2026 11:59 PM Eastern Daylight Time (UTC-04:00)","2026-10-15","23:59","Eastern Daylight Time (UTC-04:00)","2026-10-16T03:59:00Z","confirmed","ev-ju-bacon-current","2026-09-04T21:25:00-06:00",""
"dl-ju-aif-first","ed-ju-aif27","first_phase_deadline","July 15, 2026","2026-07-15","","","","confirmed_closed","ev-ju-aif-current","2026-09-04T21:30:00-06:00","Passed before research run."
"dl-ju-aif-final","ed-ju-aif27","cfp_deadline","Oct. 15th 2026, 2nd phase closing","2026-10-15","","","","confirmed","ev-ju-aif-current","2026-09-04T21:30:00-06:00","No time or timezone stated."
"dl-ju-aif-notify","ed-ju-aif27","notification","Nov. 5th 2026, feedback to all applicants","2026-11-05","","","","confirmed","ev-ju-aif-current","2026-09-04T21:30:00-06:00",""
"dl-ju-ces-cfp","ed-ju-ces27","cfp_deadline","Wednesday, September 9, 2026 at 11:59 PM PT","2026-09-09","23:59","PT","","confirmed","ev-ju-ces-current","2026-09-04T21:35:00-06:00","Source does not distinguish PDT/PST; UTC not normalized."
"dl-ju-apqc-cfp","ed-ju-apqc27","cfp_deadline","Monday, October 12, 2026 at 11:00 p.m. ET","2026-10-12","23:00","ET","","confirmed","ev-ju-apqc-current","2026-09-04T21:40:00-06:00","Source does not distinguish EDT/EST; UTC not normalized."
"dl-ju-apqc-notify","ed-ju-apqc27","notification","November 12, 2026","2026-11-12","","","","confirmed","ev-ju-apqc-current","2026-09-04T21:40:00-06:00",""
"dl-ju-possible-cfp","ed-ju-possible27","cfp_deadline","Submissions open August 4, 2026 to December 11, 2026","2026-12-11","","","","confirmed","ev-ju-poss-current","2026-09-04T22:10:00-06:00","No time or timezone stated."
"dl-ju-possible-followup","ed-ju-possible27","further_consideration","By late January","","","","","approximate","ev-ju-poss-current","2026-09-04T22:10:00-06:00","Not a confirmed notification date; retained only as raw timing."
"dl-ju-km-cfp","ed-ju-kmweu27","cfp_deadline","9 October at the latest","2026-10-09","","","","conflicting","ev-ju-km-current","2026-09-04T22:15:00-06:00","Page header says 'Opens soon' and body incorrectly names 2026 participation on a 2027 page; not safe as actionable."
"dl-ju-km-notify","ed-ju-kmweu27","notification","December 2026","","","","","month_only","ev-ju-km-current","2026-09-04T22:15:00-06:00","No day stated."
