deadline_id,edition_id,deadline_type,raw_date_text,date_iso,time_local,timezone_as_stated,utc_datetime,certainty,source_id,verified_at,conflict_notes
"dl-fi-sre-cfp","ed-fi-srecon27","cfp_deadline","Thursday, November 19, 2026, 11:59 p.m. Pacific Time","2026-11-19","23:59","Pacific Time","","confirmed","ev-fi-sre-current","2026-09-04T23:20:00-06:00","Source does not specify PST/PDT abbreviation; UTC not normalized."
"dl-fi-sre-notify","ed-fi-srecon27","notification","December 12, 2026","2026-12-12","","","","confirmed","ev-fi-sre-current","2026-09-04T23:20:00-06:00",""
"dl-fi-sre-confirm","ed-fi-srecon27","speaker_confirmation","January 6, 2027","2027-01-06","","","","confirmed","ev-fi-sre-current","2026-09-04T23:20:00-06:00",""
"dl-fi-sre-materials","ed-fi-srecon27","materials","January 6, 2027","2027-01-06","","","","confirmed","ev-fi-sre-current","2026-09-04T23:20:00-06:00",""
"dl-fi-kube-cfp","ed-fi-kubecon-eu27","cfp_deadline","Sunday, October 11, 2026 at 11:59 PM CEST (UTC+2)","2026-10-11","23:59","CEST (UTC+2)","2026-10-11T21:59:00Z","confirmed","ev-fi-kube-current","2026-09-04T23:25:00-06:00",""
"dl-fi-kube-notify","ed-fi-kubecon-eu27","notification","December 7, 2026","2026-12-07","","","","confirmed","ev-fi-kube-current","2026-09-04T23:25:00-06:00",""
"dl-fi-kube-schedule","ed-fi-kubecon-eu27","schedule_announcement","December 9, 2026","2026-12-09","","","","confirmed","ev-fi-kube-current","2026-09-04T23:25:00-06:00",""
"dl-fi-agentics-cfp","ed-fi-agentics-eu27","cfp_deadline","Sunday, October 18, 2026 at 11:59 PM CET (UTC+2)","2026-10-18","23:59","CET (UTC+2)","2026-10-18T21:59:00Z","confirmed_as_stated","ev-fi-agentics-current","2026-09-04T23:30:00-06:00","Source pairs CET with UTC+2; preserve wording because CET normally denotes UTC+1. UTC follows the explicit offset, not the abbreviation."
"dl-fi-agentics-notify","ed-fi-agentics-eu27","notification","December 14, 2026","2026-12-14","","","","confirmed","ev-fi-agentics-current","2026-09-04T23:30:00-06:00",""
"dl-fi-agentics-schedule","ed-fi-agentics-eu27","schedule_announcement","December 16, 2026","2026-12-16","","","","confirmed","ev-fi-agentics-current","2026-09-04T23:30:00-06:00",""
"dl-fi-gids-cfp","ed-fi-gids27","cfp_deadline","September 30, 2026","2026-09-30","","","","confirmed","ev-fi-gids-current","2026-09-04T23:35:00-06:00","No time or timezone stated."
"dl-fi-euro-cfp","ed-fi-eurostar27","cfp_deadline","30 September 2026","2026-09-30","","","","confirmed","ev-fi-euro-current","2026-09-04T23:40:00-06:00","No time or timezone stated."
"dl-fi-expo-cfp","ed-fi-expoqa27","cfp_deadline","October 11, 2026","2026-10-11","","","","confirmed","ev-fi-expo-current","2026-09-04T23:45:00-06:00","No time or timezone stated."
"dl-fi-swiss-cfp","ed-fi-swiss27","cfp_deadline","31 Oct 2026 11:59 PM West Europe Standard Time UTC+01:00","2026-10-31","23:59","West Europe Standard Time UTC+01:00","2026-10-31T22:59:00Z","confirmed","ev-fi-swiss-current","2026-09-04T23:50:00-06:00",""
