edition_id,event_id,edition_label,edition_url,start_date,end_date,date_status,city,country,mode,language,cfp_url,guidelines_url,cfp_status,eligibility,formats_and_durations,submission_requirements,compensation,travel_support,speaker_costs,recording_rights,accessibility,attendance_value,attendance_year,verified_at,source_ids,unknowns
"ed-ju-pw27","evt-ju-productworld","ProductWorld 2027","https://productworld.co/","2027-02-09","2027-02-11","exact","Santa Clara","United States","in-person","English","https://sessionize.com/productworld-2027/","https://productworld.co/speakers/apply-to-speak/","open","Public CFP; all speakers must use the official process.","Session duration not exposed publicly.","Complete proposal fields and select ProductWorld; live participation required.","Speaker PRO pass plus one guest PRO pass.","","Free for speakers.","","","3000+ attendees from 115+ countries advertised for the co-located event","2027","2026-09-04T21:00:00-06:00","ev-ju-pw-current;ev-ju-pw-past1;ev-ju-pw-past2","Duration, travel/hotel, payment, rights and accessibility unknown."
"ed-ju-uxdx-ny27","evt-ju-uxdx","UXDX New York 2027","https://uxdx.com/usa/2027/","2027-05-10","2027-05-12","exact","New York","United States","hybrid","English","https://uxdx.com/speak/","https://uxdx.com/speak/","open","Main stage prioritizes senior in-house practitioners with a real case study, decisions, failures and outcomes; local stage has lower experience bar.","Conference talk; workshop; community meetup; exact durations not stated.","Story of real change, title, description, decisions/tradeoffs/failures, takeaways, job/company/location.","","","","","","500 in-person / 1000 total advertised","2027","2026-09-04T21:05:00-06:00","ev-ju-uxdx-current;ev-ju-uxdx-past1;ev-ju-uxdx-past2","Dan's in-house seniority and qualifying real case are unknown; economics, rights and accessibility unknown."
"ed-ju-pls-seattle27","evt-ju-pls","Product-Led Summit Seattle 2027","https://world.productledalliance.com/location/seattle","2027-06-16","2027-06-17","exact","Seattle","United States","in-person","English","https://world.productledalliance.com/location/seattle/requesttospeak","https://world.productledalliance.com/location/seattle/speakers","open-undated","Form requires company and business email; selection criteria not published.","Agenda includes keynotes, panels and interactive formats; exact speaker duration not published.","Speaker-interest form with identity, title, company and business email; proposal fields not exposed on first step.","","","","On-demand access advertised; exact speaker rights unknown.","","100+ product professionals advertised","2027","2026-09-04T21:10:00-06:00","ev-ju-pls-current;ev-ju-pls-past1;ev-ju-pls-past2","Deadline, full requirements, economics, accessibility, rights, and Dan's company/business-email eligibility unknown."
"ed-ju-opt-west27","evt-ju-optimizers","Optimizers Conference West 2027","https://optimizersconference.com/","2027-03-03","2027-03-05","exact","Santa Cruz","United States","in-person","English","https://optimizersconference.com/","https://optimizersconference.com/","attendee-led","Every attendee can propose/lead an unconference discussion; curated keynotes are selected separately with no public CFP found.","Attendee-led unconference sessions; duration not stated.","Purchase/hold attendee place, then shape sessions in event app; not a guaranteed curated stage slot.","","","USD 1595 super-early attendee ticket from October 1; later tiers higher; hotel and meals included.","","Contact route accepts accessibility questions; accommodations not specified.","130","2027","2026-09-04T21:15:00-06:00","ev-ju-opt-current;ev-ju-opt-past1;ev-ju-opt-past2","Travel, exact unconference format, selection/voting mechanics, recording and whether speakers receive any refund unknown."
"ed-ju-gids27","evt-ju-gids","GIDS 2027","https://developersummit.com/","2027-04-27","2027-04-30","exact","Bengaluru","India","in-person","English","https://form.jotform.com/saltmarch/gids2027cfp","https://form.jotform.com/saltmarch/gids2027cfp","open","Content must be grounded in real engineering work the speaker directly did or materially contributed to; up to five proposals.","30-minute short talk; 60-minute long talk.","Technical abstract, system/problem, decisions, constraints, takeaways, speaker experience and optional prior recording.","Conference access; discretionary international reimbursement.","Up to USD 1500 and two hotel nights may be offered to selected international speakers.","","","","","","2026-09-04T21:20:00-06:00","ev-ju-gids-current;ev-ju-gids-past1;ev-ju-gids-past2","Synthetic/proposed architecture may fail real-experience bar; travel origin, rights, accessibility and attendance unknown."
"ed-ju-bacon27","evt-ju-bacon","BACon 2027","https://columbusoh.iiba.org/bacon","2027-02-26","2027-02-26","exact","Columbus","United States","in-person","English","https://sessionize.com/bacon-2027/","https://sessionize.com/bacon-2027/","open","Public CFP; practical stories, ideas, lessons and AI/product delivery topics welcomed.","Conference session; hands-on workshop; durations not visible in captured source.","Abstract, practical takeaway, audience level and real-world relevance.","Complimentary speaker registration.","No travel reimbursement or honorarium.","Free for speakers.","","","","","2026-09-04T21:25:00-06:00","ev-ju-bacon-current","Event page incorrectly says BACon 2026 for complimentary registration; verify benefit applies to 2027. Format durations, rights, accessibility and attendance unknown."
"ed-ju-aif27","evt-ju-aifestival","AI Festival 2027","https://en.aifestival.it/","2027-02-11","2027-02-12","exact","Milan","Italy","in-person","","https://en.aifestival.it/call/speaker/","https://en.aifestival.it/call/speaker/","open","Public form asks company, job title, level, speech type and topic.","Speech types selectable in form; durations not public.","Title, description, professional details and future-challenge category.","","","","","","10000+ attendees and 200+ speakers reported for 2026","2026","2026-09-04T21:30:00-06:00","ev-ju-aif-current;ev-ju-aif-past1;ev-ju-aif-past2","Language, economics, rights, accessibility and exact format unknown."
"ed-ju-ces27","evt-ju-ces","CES 2027","https://www.ces.tech/","2027-01-06","2027-01-09","exact","Las Vegas","United States","in-person","English","https://www.ces.tech/cfs","https://www.ces.tech/cfs","open","Tech experts at all career stages; selection favors actionable objectives, unique trend perspective and visible influence.","Format/duration not stated on public call.","Speaker application; independent editorial selection. Sponsored opportunities are separate.","No payment; complimentary CES pass.","CES does not pay travel or hotel.","Complimentary pass.","","","","","2026-09-04T21:35:00-06:00","ev-ju-ces-current;ev-ju-ces-dates;ev-ju-ces-past1;ev-ju-ces-past2","Format, recording rights, accessibility, selection timing and Dan's evidence of influence unknown."
"ed-ju-apqc27","evt-ju-apqc","APQC CONNECT 2027","https://www.apqcconnect.org/2027","2027-05-05","2027-05-06","exact","Houston","United States","in-person","English","https://www.apqc.org/events/2027/apqc-conference/call-for-speakers","https://www.apqc.org/events/2027/apqc-conference/call-for-speakers","open","Practitioner-oriented; asks for real organizational problems and measurable business effects, or a practical skill/facilitated session.","45-60 minute breakout blocks visible; exact offered formats vary.","Non-promotional proposal with practical tools, interactive design and real-world problem/solution.","Complimentary registration for primary presenter; co-presenter discount for sessions 45 minutes or longer.","Presenter pays travel, lodging, meals outside included program and incidentals.","Primary presenter registration included.","","ADA accommodation available by request.","300+ across 40+ industries","2027","2026-09-04T21:40:00-06:00","ev-ju-apqc-current;ev-ju-apqc-dates;ev-ju-apqc-past1;ev-ju-apqc-past2","Synthetic example may not satisfy measurable organizational-effects preference; exact session duration, rights and meal coverage details unknown."
"ed-ju-dx-sf27","evt-ju-dxannual","DX Annual San Francisco 2027","https://getdx.com/dxannual/","2027-05-06","2027-05-06","exact","San Francisco","United States","in-person","English","https://getdx.com/dxannual/","https://getdx.com/dxannual/","announced-not-open","Speaker call is announced for fall 2026; every speaker is described as an engineering leader who led major organizational change.","Keynotes, firesides and panels; duration not stated.","Practical lessons and real-world experience driving developer productivity and AI initiatives.","","","Paid ticketed event; speaker cost not stated.","Select sessions recorded; exact rights unknown.","","Approximately 500 at inaugural 2026 event","2026","2026-09-04T21:45:00-06:00","ev-ju-dx-current;ev-ju-dx-past1;ev-ju-dx-past2","Application not open; Dan's organizational-change credentials, economics, format and accessibility unknown."
