talk_id,edition_id,recommended_variant,proposed_title,pitch_angle,fit_reason,past_session_evidence_ids,audience_rating,topic_rating,timing_rating,readiness_rating,logistics_rating,reach_rating,known_points,evidence_coverage_percent,queue,constraints,next_action,next_check_date
adaptive-systems,ed-aoma-2027,40-minute deep dive,Building Adaptive AI Systems Within Hard Limits,"Architecture policy as a feedback loop: make resource and authority boundaries explicit while letting systems adapt","Exact format match; CFP explicitly requests building architectures for AI, dangers/pitfalls, and adaptive decision-making.",ev-aoma-history;ev-aoma-current,5,5,5,5,4,3,96,90,verified actionable opportunities,"One session per concept is actively curated; must connect system adaptation to organizational decision rights; official/LinkedIn deadline conflict.","Prepare the existing 40-minute abstract for Sessionize and verify the official deadline banner immediately before any user-authorized submission.",2026-09-11
adaptive-systems,ed-kccnc-eu-2027,30-minute session,Adaptive Agent Planning on Cloud-Native Control Planes,"Frame the planner contract as an open, observable control plane for model/tool/topology selection under budgets and authority limits","2027 has an Agentic AI track explicitly naming agent architectures, multi-agent systems, AgentOps, governance, and observability.",ev-kccnc-past;ev-kccnc-main,5,5,5,5,2,5,94,92,verified actionable opportunities,"Must emphasize open standards/cloud-native implementation and avoid proprietary product framing; maximum three proposals; repeat-talk restriction.","Create a 30-minute cloud-native variant and choose this as the primary CNCF submission rather than duplicating the same talk across all co-located events.",2026-09-18
adaptive-systems,ed-gids-2027,60-minute long talk,Building Adaptive AI Systems That Endure,"Expand the design into a 60-minute systems case study about constraints, governance, evaluation, and long-term policy evolution","Audience and CFP directly match software architecture, intelligent systems, platform engineering, reliability, and real-world tradeoffs.",ev-gids-past1;ev-gids-past2,5,5,5,3,4,5,94,94,verified actionable opportunities,"International speakers are encouraged toward 60 minutes; requires real engineering experience and production grounding; support is discretionary/reimbursed after event.","Draft a 60-minute expansion plan and verify that Dan can truthfully satisfy the production-experience questions before submission.",2026-09-12
adaptive-systems,ed-ai-agent-event-2027,technical session,Building Adaptive AI Systems Without Granting Unlimited Autonomy,"Show enterprise architects how to route across strategies while enforcing budget, authority, observability, and human escalation","CFP explicitly seeks architectures, orchestration, governance, evaluation, monitoring, cost optimization, and production lessons.",ev-aiae-past1;ev-aiae-past2,5,5,5,4,2,4,91,88,verified actionable opportunities,"September 9 deadline is urgent; event is commercially adjacent but claims editorial/no-commercialism; novelty clause is unusually broad; duration unknown.","Recheck CFP status and clarify duration/novelty clause; only then prepare the existing abstract if Dan can substantiate real-world experience.",2026-09-05
adaptive-systems,ed-agentics-eu-2027,25-minute presentation,Adaptive Agent Systems: Escalation Is a Policy Decision,"Narrow to MCP-connected tool selection, capability/authority boundaries, evaluation, and escalation","Direct agent-builder audience; CFP covers architecture, production, trust, reliability, governance, performance, and scaling.",ev-colocated-common;ev-agentics-current,5,5,5,3,2,4,89,88,verified actionable opportunities,"25-minute slot requires substantial cut; open-source/MCP examples needed; do not submit near-duplicate talks to multiple CNCF events without checking selection strategy.","Prepare as backup to the main KubeCon proposal, with a distinct MCP/tool-authority angle; verify multiple-proposal rules across co-located events.",2026-09-18
adaptive-systems,ed-cnai-eu-2027,25-minute presentation,Budget-Aware Routing for Cloud-Native AI Systems,"Focus on model routing, inference budgets, evaluation gates, and safe strategy changes from development to production","Program names LLMs, RAG/agents, MLOps/AIOps, inference, ethics, compliance, and security.",ev-colocated-common;ev-cnai-current,5,5,5,3,2,4,89,86,verified actionable opportunities,"Needs more inference/platform specificity than the base talk; 25-minute adaptation; avoid duplicate submission with main event unless rules/strategy support it.","Keep as second CNCF backup and create only if evidence from the demo can be mapped to open-source cloud-native components.",2026-09-18
adaptive-systems,ed-icsa-saip-2027,30-minute technical talk,Building Adaptive and Governed AI System Architectures,"Present the bounded planner contract as context-driven architecture practice with explicit quality attributes and human oversight","ICSA SAIP explicitly invites AI integrated into architecture and practical solutions in defined contexts; 2026 program shows agentic AI and human-oversight appetite.",ev-icsa-past1;ev-icsa-past2,5,5,5,4,1,4,89,92,verified actionable opportunities,"Requires a two-page IEEE-formatted proposal, exclusivity while under review, publication, registration, and in-person Sydney presentation.","Decide whether publication/simultaneous-submission restrictions are acceptable before investing in the two-page technical-talk proposal.",2026-09-25
adaptive-systems,ed-srecon-americas-2027,40-minute systems talk,Adaptive AI Control Loops for Reliable Operations,"Treat agent planning as a reliability problem: caps, observability, validation, cancellation, and human gates","SREcon seeks deep systems architecture with sharp edges; 2026 included AI debugging reliability and automation-risk sessions.",ev-srecon-past1;ev-srecon-past2,5,4,5,4,,5,83,84,verified actionable opportunities,"Must tie claims to operational/SRE outcomes and attest the content is primarily human-written; duration/economics are not yet captured.","Confirm the talk format and speaker support, then rewrite the abstract around failure modes and operating controls rather than general agent architecture.",2026-10-02
adaptive-systems,ed-conf42-agents-2027,remote recorded talk,Adaptive AI Systems: Choosing Strategy Under Constraints,"A concise remote version centered on architecture, production cost loops, tool boundaries, and human authority","2026 AI Agents program included orchestration, retry-budget failures, readiness frameworks, trust, and production architecture.",ev-conf42-past1;ev-conf42-past2,5,5,2,4,5,3,84,70,upcoming/rolling routes to prepare for,"2027 date/intake/deadline and rights were not verified; prerecorded mechanics need confirmation.","Open the edition-specific 2027 page when published and verify deadline, duration, recording license, and whether applications are actually open.",2026-10-15
adaptive-systems,ed-arc-2027,40-minute talk,Building Adaptive AI Systems Under Real Production Constraints,"Bounded strategy selection, agent governance, uncertainty, and human override for architects operating consequential systems","The new event is explicitly built for senior architects and includes Agentic AI architecture, deployment, governance, platform, and AI infrastructure.",ev-arc-current,5,5,2,5,,2,75,67,upcoming/rolling routes to prepare for,"Only a speaker-interest form is evidenced; organizer history, deadline, formats, economics, and selection rules are unknown; practitioner credentials must be supplied by Dan.","Use the public form only as a lead; first verify formal selection timing, format, speaker support, and organizer track record through published information.",2026-09-18
