edition_id,event_id,edition_label,edition_url,start_date,end_date,date_status,city,country,mode,language,cfp_url,guidelines_url,cfp_status,eligibility,formats_and_durations,submission_requirements,compensation,travel_support,speaker_costs,recording_rights,accessibility,attendance_value,attendance_year,verified_at,source_ids,unknowns
ed-developerweek-2027,ev-developerweek,DeveloperWeek 2027,https://www.developerweek.com/,2027-02-09,2027-02-11,exact,Santa Clara,USA,in-person,English,https://www.developerweek.com/speakers/apply-to-speak/,https://www.developerweek.com/tracks/,open,"All speakers must use the public call; biography and affiliation details otherwise unknown","Duration not stated on extracted CFP page","Complete all proposal fields and select one of four conference worlds",unknown,unknown,unknown,unknown,unknown,"5,000+ annual participants claimed; 2,500 onsite and 2,500 virtual described on About page",2027,2026-09-04T12:00:00-06:00,src-developerweek-cfp;src-developerweek-about,"Exact session duration, presenter pass, travel, honorarium, rights, accessibility, and Dan's travel availability"
ed-kubecon-eu-2027,ev-kubecon-eu,KubeCon + CloudNativeCon Europe 2027,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/,2027-03-15,2027-03-18,exact,Barcelona,Spain,in-person,English,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/,open,"Open submitter route; end-user company status is separately defined and unknown for Dan","30-minute session; 5-minute lightning; 80-minute tutorial; 30-minute panel","Maximum three proposals; previous recording requested; no sales pitches; disclose related LF talks in past year",unknown,unknown,"One complimentary pass per accepted speaker","Accepted speakers must submit slides; recording-rights details not extracted",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/attend/inclusion-accessibility/,"Official sponsor page targets 13,000 developers, architects, and technical leaders",2027,2026-09-04T12:00:00-06:00,src-kubecon-eu-cfp;src-kubecon-eu-home;src-kubecon-eu-sponsor,"Travel/hotel/honorarium; speaker agreement and recording license; whether non-Kubernetes economics framing is technical enough"
ed-tokenomicon-x-2027,ev-tokenomicon-x,Tokenomicon + FinOps X 2027,https://www.tokenomicon.com/,2027-06-07,2027-06-10,exact,San Diego,USA,in-person,English,,,announced-not-open,"Prior FinOps X breakout and Chalk Talk formats limited to practitioners/end users; lightning talks open to all; 2027 rules unknown","Prior cycle: 45-minute breakout including Q&A; 90-minute Chalk Talk; lightning talk duration not stated","Prior cycle demands actionable points and real-world examples/data",unknown,unknown,unknown,"FinOps site content is CC BY 4.0; event recording agreement unknown",unknown,unknown,,2026-09-04T12:00:00-06:00,src-tokenomicon-home;src-finopsx-guide;src-finopsx-2027,"2027 CFP dates/rules; Dan's practitioner/end-user status; real-world data permissions; all economics and travel"
ed-tokenomicon-london-2027,ev-tokenomicon-london,Tokenomicon London 2027,https://www.tokeneconomics.com/,2027-02-08,2027-02-09,exact,London,UK,in-person,English,,,announced-not-open,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-tokenomics-events;src-finops-tokenomicon-news,"CFP/equivalent route, requirements, formats, economics, rights, accessibility, and travel"
ed-tokenomicon-amsterdam-2026,ev-tokenomicon-amsterdam,Tokenomicon Amsterdam 2026,https://www.tokenomicon.com/amsterdam,2026-09-22,2026-09-23,exact,Amsterdam,Netherlands,in-person,English,,,closed,"Unknown; no official CFP rules verified",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-tokenomics-events;src-finops-tokenomicon-news,"Official CFP deadline and rules unavailable; event imminent"
ed-dod-la-2027,ev-devopsdays-la,DevOpsDays Los Angeles 2027,https://devopsdays.org/events/2027-los-angeles/welcome/,2027-04-02,2027-04-02,exact,Pasadena,USA,in-person,English,https://devopsdays.org/events/2027-los-angeles/propose/,https://devopsdays.org/events/2027-los-angeles/propose/,conflicting-official-pages,"Speaker must submit directly; local stories favored; no vendor pitches","30-40-minute talk; 10-minute lightning; Open Space","Title and description through SCaLE submission route",unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-dod-la-propose;src-dod-global-speaking,"Local page says CFP TBD while global speaking index labels it open and provides a 2026-11-01 deadline; economics and rights unknown"
ed-dod-raleigh-2027,ev-devopsdays-raleigh,DevOpsDays Raleigh 2027,https://devopsdays.org/events/2027-raleigh/welcome/,2027-04-27,2027-04-28,exact,Raleigh,USA,in-person,English,https://devopsdays.org/events/2027-raleigh/propose/,https://devopsdays.org/events/2027-raleigh/propose/,open,"Speaker must submit directly; local and underrepresented voices favored; no vendor pitches","30-minute talk; 5-minute Ignite; Open Space","Google Form; original content preferred",unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-dod-raleigh-propose;src-dod-global-speaking,"Official notification date precedes deadline and is unusable; economics, rights, accessibility, and travel unknown"
ed-dod-almaty-2026,ev-devopsdays-almaty,DevOpsDays Almaty 2026,https://devopsdays.org/events/2026-almaty/welcome/,2026-10-16,2026-10-16,exact,Almaty,Kazakhstan,in-person,unknown,https://devopsdays.org/events/2026-almaty/propose/,https://devopsdays.org/events/2026-almaty/propose/,open,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-dod-global-speaking,"Local propose page could not be extracted; deadline comes from official global index; all requirements and economics unknown"
ed-dod-telaviv-2026,ev-devopsdays-telaviv,DevOpsDays Tel Aviv 2026,https://devopsdays.org/events/2026-tel-aviv/welcome/,2026-12-22,2026-12-22,exact,Tel Aviv,Israel,in-person,unknown,https://devopsdays.org/events/2026-tel-aviv/propose/,https://devopsdays.org/events/2026-tel-aviv/propose/,conflicting-official-pages,"Direct speaker involvement required; no third-party or vendor pitches","30-minute talk; 5-minute Ignite; Open Space","Email type, title, and description",unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-dod-telaviv-propose;src-dod-global-speaking,"Local page says CFP TBD while global index says open with 2026-09-25 deadline; language, safety/travel, economics, rights unknown"
ed-platformcon-flagship-2027,ev-platformcon,PlatformCon Flagship Week 2027,https://platformcon.com/,2027-06-22,2027-06-24,exact,"London; New York; online","UK; USA; online",hybrid,English,,,announced-not-open,unknown,unknown,unknown,unknown,unknown,unknown,"Official site says virtual flagship talks are streamed free and available on demand",unknown,"280,000+ community members claimed",2027,2026-09-04T12:00:00-06:00,src-platformcon-home,"Whether one submission covers virtual/London/New York; CFP dates; formats; economics; travel"
ed-platformcon-sf-2027,ev-platformcon-sf,PlatformCon San Francisco 2027,https://sanfrancisco.platformcon.com/,2027-02-24,2027-02-25,exact,San Francisco,USA,in-person,English,https://sanfrancisco.platformcon.com/,https://sanfrancisco.platformcon.com/,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"300+ displayed on event page without a fully extracted unit",2027,2026-09-04T12:00:00-06:00,src-platformcon-sf,"CFP form/status/deadline, formats, economics, rights; page has a CFP label but that alone does not prove open"
ed-saastr-2027,ev-saastr,SaaStr AI Annual 2027,https://www.saastrannual.com/summer-splash,2027-05-11,2027-05-12,exact,San Mateo,USA,in-person,English,https://www.saastrannual.com/speaker-submission,https://www.saastrannual.com/speaker-submission,rolling,"Public apply-to-speak link exists; form fields and detailed eligibility were not extractable","Mainstage, workshops, roundtables; precise public application durations unknown",unknown,unknown,unknown,unknown,unknown,unknown,"10,000+ founders, executives, and VCs claimed",2027,2026-09-04T12:00:00-06:00,src-saastr-2027;src-saastr-speaker,"Application deadline, selection rules, speaker costs/travel/rights, and whether talk is sufficiently founder/GTM oriented"
ed-saastock-eu-2027,ev-saastock-eu,AI Growth Summit Europe 2027,https://saastock.com/,2027-05-24,2027-05-26,exact,London,UK,in-person,English,,,invitation-only-or-unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"3,000 attendees claimed",2027,2026-09-04T12:00:00-06:00,src-saastock-speakers;src-saastock-home,"No public editorial speaker application found after acquisition; only sponsorship contact was prominent"
ed-saastock-us-2027,ev-saastock-us,AI Growth Summit USA 2027,https://saastock.com/,2027-09-06,2027-09-08,exact,San Francisco,USA,in-person,English,,,invitation-only-or-unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"3,000 attendees claimed",2027,2026-09-04T12:00:00-06:00,src-saastock-speakers;src-saastock-home,"No public editorial speaker application found after acquisition; only sponsorship contact was prominent"
