evidence_id,event_id,edition_id,field_supported,claim_or_excerpt,url,page_title,publisher,source_type,published_date,accessed_at,confidence,conflict_notes
src-icai-home,ev-icai,ed-icai-2027,"dates;location;audience;history","Official conference home gives February 25 preconference and February 26-28 conference activity in Monterrey and calls this the 35th annual conference.",https://academicintegrity.org/aws/ICAI/pt/sp/conference_home_page,Conference Home Page,International Center for Academic Integrity,official event page,,2026-09-04T12:00:00-06:00,high,
src-icai-cfp,ev-icai,ed-icai-2027,"cfp_status;deadline;formats;rules","Official CFP says open; deadline September 18, 2026; notification October 9; 40-minute in-person sessions; AI is a theme; proposal/person limits apply.",https://academicintegrity.org/aws/ICAI/pt/sp/conference_cfp,Call For Proposals,International Center for Academic Integrity,official CFP,,2026-09-04T12:00:00-06:00,high,
src-icai-program,ev-icai,ed-icai-2027,program_fit,"2027 page foregrounds limits of detection/risk-focused integrity approaches and the need to rethink assessment and learning.",https://www.academicintegrity.org/aws/ICAI/pt/sp/conference-27,2027 Conference,International Center for Academic Integrity,official event page,,2026-09-04T12:00:00-06:00,high,
src-icai-past-1,ev-icai,ed-icai-2027,past_session,"The Missing Links in Responsible AI Use in Higher Education: Values and Judgement appears on the 2027 program page and explicitly questions detection-focused integrity approaches.",https://www.academicintegrity.org/aws/ICAI/pt/sp/conference-27,2027 Conference,International Center for Academic Integrity,official program page,,2026-09-04T12:00:00-06:00,high,"This is a current-edition programmed item rather than a past-edition session."
src-icai-past-2,ev-icai,ed-icai-2027,past_session,"Building a Culture of Integrity, One Draft at a Time is a 2027 preconference workshop on reimagining writing through drafting, reflection, collaboration, and feedback rather than detection.",https://www.academicintegrity.org/aws/ICAI/pt/sp/conference_workshops,Pre-Conference Workshops,International Center for Academic Integrity,official program page,,2026-09-04T12:00:00-06:00,high,"Current-edition evidence; the official past-program archive was not fully extracted."
src-dtl-cfp,ev-upcea-dtl,ed-upcea-dtl-2027,"dates;audience;topics;formats;eligibility;costs","Official 2027 CFP gives virtual dates, September 30 proposal deadline, authentic assessment and responsible GenAI topics, 10/50/60-minute formats, membership rule, and presenter-paid registration.",https://conferences.upcea.edu/DTL2027/proposals.html,Call for Proposals | 2027 UPCEA Digital Teaching & Learning Conference,UPCEA,official CFP,,2026-09-04T12:00:00-06:00,high,
src-dtl-2026-program,ev-upcea-dtl,ed-upcea-dtl-2027,history,"Official 2026 program contains a substantial AI Integration in Learning & Assessment block.",https://conferences.upcea.edu/DTL2026/program.html,Program | 2026 UPCEA Digital Teaching & Learning Conference,UPCEA,official program,,2026-09-04T12:00:00-06:00,high,
src-dtl-past-1,ev-upcea-dtl,ed-upcea-dtl-2027,past_session,"From Traditional Bloom's to the Future of Learning: Reframing Bloom's for Cognitive Skills in the AI Era asked participants to redesign assignments and assessments for higher-order learning.",https://conferences.upcea.edu/DTL2026/program.html,Program | 2026 UPCEA Digital Teaching & Learning Conference,UPCEA,official program,2026,2026-09-04T12:00:00-06:00,high,
src-dtl-past-2,ev-upcea-dtl,ed-upcea-dtl-2027,past_session,"AI-Coached Legal Drafting Training: What We Learned from Student Experiments compared AI-supported training with later work completed without AI assistance.",https://conferences.upcea.edu/DTL2026/program.html,Program | 2026 UPCEA Digital Teaching & Learning Conference,UPCEA,official program,2026,2026-09-04T12:00:00-06:00,high,
src-ala-cfp,ev-ala,ed-ala-2027,"dates;cfp_status;deadline;costs;mode","Official page says the education-program CFP is open August 24-September 21 at 11:59 p.m. Eastern; presenters pay travel, lodging, and registration; in-person is planned.",https://www.ala.org/conferencesevents/ala-annual-2027-call-proposals,ALA 2027 Annual Conference Call for Proposals,American Library Association,official CFP,,2026-09-04T12:00:00-06:00,high,
