edition_id,event_id,edition_label,edition_url,start_date,end_date,date_status,city,country,mode,language,cfp_url,guidelines_url,cfp_status,eligibility,formats_and_durations,submission_requirements,compensation,travel_support,speaker_costs,recording_rights,accessibility,attendance_value,attendance_year,verified_at,source_ids,unknowns
ed-evt-pydata-venice-pydata-venice-2026-series,evt-pydata-venice,PyData Venice 2026 series,https://sessionize.com/pydata-venice,2026-08-27,2026-12-17,exact recurring dates,Mestre,Italy,hybrid,Italian; English,https://sessionize.com/pydata-venice,https://sessionize.com/pydata-venice,rolling,Public community call.,,"Technical talk in data science, ML engineering, MLOps/LLMOps or adjacent tooling.",,,,,,,,2026-09-05T00:16:00-06:00,src-failure-improvement-ev-fi-pydata-current;src-parallelization-ev-pa-pydata-current,"Format, economics, rights, accessibility, attendance and exact next available slot unknown."
ed-evt-cloud-native-mumbai-cloud-native-mumbai-2026-rolling-call,evt-cloud-native-mumbai,Cloud Native Mumbai 2026 rolling call,https://sessionize.com/cloud-native-mumbai-city,2026-09-12,,partial,Mumbai,India,hybrid,English,https://sessionize.com/cloud-native-mumbai-city,https://sessionize.com/cloud-native-mumbai-city,rolling,Public regional community call.,,"Proposal aligned to cloud native, SRE, platform or cloud-native AI/ML.",,,,,,,,2026-09-05T00:14:00-06:00,src-failure-improvement-ev-fi-cnm-current;src-parallelization-ev-pa-cnm-current,"Only one next session date was visible; future dates, format, economics, rights, accessibility and attendance unknown."
ed-evt-european-conference-on-ethics-and-integrity-in-academia-eceia-2026-b,evt-european-conference-on-ethics-and-integrity-in-academia,ECEIA 2026 Batumi,https://www.academicintegrity.eu/conference/,2026-09-14,2026-09-16,exact,Batumi,Georgia,in-person,English,https://www.academicintegrity.eu/conference/,https://www.academicintegrity.eu/conference/,closed-or-unknown,Academic-integrity community; exact eligibility not found,,,,,,,,European academic-integrity network,,2026-09-04T12:00:00-06:00,src-evidence-learning-src-enai-2026;src-evidence-learning-src-enai-series,No open speaker route found; current edition is imminent; 2027 edition unconfirmed.
ed-evt-haystack-conference-haystack-europe-2026,evt-haystack-conference,Haystack Europe 2026,https://haystackconf.com/,2026-09-15,2026-09-16,exact,Berlin,Germany,in-person,English,https://haystackconf.com/,https://haystackconf.com/,closed,unknown,45-minute talks visible in program,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-retrieval-src-haystack-program;src-retrieval-src-haystack-history,"Current CFP unavailable/closed; future edition, economics, rights, accessibility"
ed-evt-tokenomicon-amsterdam-tokenomicon-amsterdam-2026,evt-tokenomicon-amsterdam,Tokenomicon Amsterdam 2026,https://www.tokenomicon.com/amsterdam,2026-09-22,2026-09-23,exact,Amsterdam,Netherlands,in-person,English,,,closed,Unknown; no official CFP rules verified,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-free-tier-src-tokenomics-events;src-free-tier-src-finops-tokenomicon-news,Official CFP deadline and rules unavailable; event imminent
ed-evt-educause-annual-conference-educause-annual-2026,evt-educause-annual-conference,EDUCAUSE Annual 2026,https://events.educause.edu/annual-conference/2026,2026-09-29,2026-10-15,exact,Denver and online,United States,hybrid,English,https://events.educause.edu/annual-conference/call-for-proposals,https://events.educause.edu/annual-conference/call-for-proposals,closed,Open community call; corporate presenters need higher-education institutional partner,In-person presentations/workshops and online formats,Track-aligned proposal; registration required; educational corporate content with institutional partner,,Not stated,Presenter registration required,,,Large higher-education technology community; attendance not verified,,2026-09-04T12:00:00-06:00,src-evidence-learning-src-educause-2026,Official page conflicts between online end dates October 15 and October 16; represented here through October 15 only as table-listed date; 2027 edition unknown.
ed-evt-devopsdays-almaty-devopsdays-almaty-2026,evt-devopsdays-almaty,DevOpsDays Almaty 2026,https://devopsdays.org/events/2026-almaty/welcome/,2026-10-16,2026-10-16,exact,Almaty,Kazakhstan,in-person,unknown,https://devopsdays.org/events/2026-almaty/propose/,https://devopsdays.org/events/2026-almaty/propose/,open,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-free-tier-src-dod-global-speaking,Local propose page could not be extracted; deadline comes from official global index; all requirements and economics unknown
ed-evt-issotl-annual-conference-issotl-2026,evt-issotl-annual-conference,ISSOTL 2026,https://issotl.com/issotl26/,2026-10-28,2026-10-31,exact,,,in-person,English,https://issotl.com/issotl26/call-for-proposals/,https://issotl.com/issotl26/call-for-proposals-2/,closed,International SoTL community; no membership rule captured,"Paper, roundtable, workshop, preconference, poster",Anonymized 300-word abstract; 100-word presentation-method statement; 100-word program abstract; up to 10 references; SoTL grounding,,,,,Inclusive and accessible conference pedagogy required,International SoTL network,,2026-09-04T12:00:00-06:00,src-evidence-learning-src-issotl-2026,2027 edition unknown; current talk needs stronger scholarship/research evidence; economics and rights unknown.
ed-evt-dors-cluc-dors-cluc-2026,evt-dors-cluc,DORS/CLUC 2026,https://2026.dorscluc.org/,2026-10-29,2026-10-30,exact,Zagreb,Croatia,in-person,English/Croatian unknown,https://2026.dorscluc.org/call-for-speakers/,https://2026.dorscluc.org/call-for-speakers/,unknown,"Talk must be on open-source hardware, software, policy, or philosophy",,Noncommercial; employer on one slide only; correctly licensed slides,,Organizer cannot cover travel or lodging unless otherwise specified,,Talk recorded and shared CC BY-SA 4.0,,,,2026-09-04T23:30:00-06:00,src-adaptive-systems-ev-dors-current,CFP deadline/status not visible in retrieved official page; talk needs an explicit open-source implementation angle.
ed-evt-devlearn-conference-and-expo-devlearn-2026,evt-devlearn-conference-and-expo,DevLearn 2026,https://www.learningguild.com/devlearn,2026-11-04,2026-11-06,exact,Las Vegas,USA,in-person,English,https://www.learningguild.com/call-for-speakers,https://www.learningguild.com/call-for-speakers,closed,Workplace learning and technology practitioners,Hundreds of sessions and hands-on experiences; exact CFP formats not captured,Educational/non-promotional proposal; 2026 call closed,unknown,unknown,Historical Guild terms often provide one primary-speaker registration; 2026 terms not confirmed,unknown,unknown,Thousands of learning professionals; large workplace-learning technology event,2026,2026-09-04T23:00:00-06:00,src-skeptic-education-ev-052;src-skeptic-education-ev-053,"2026 economics, rights, accessibility, and dates for next CFP unknown; 2026 call closed"
