composite_rank,composite_score,source_type,opportunity_name,edition_or_route,location,mode,event_start_date,cfp_status,deadline_date,primary_talk_id,primary_talk,backup_talk_id,topic_fit,known_points,evidence_coverage_percent,effective_fit_score,fit_penalty,location_preference,location_basis,application_ease,ease_basis,popularity_score,popularity_basis,timing_score,timing_basis,application_route,next_action,constraints_unknowns,source_url
1,1.545,community/meetup,San Diego Python,Preferred US cities,San Diego in person; remote speakers accepted,remote/online,,public form/contact route,,failure-improvement,Automating Improvement From Failure,,"Failure, Adaptive, Retrieval, Benchmarks, Parallelization, Product, and Free tier with a Python or engineering example",82,80,65.6,2.38,1,Remote or online participation is available.,1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 5,573 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Direct public Present at our meetup form. The normal ask is a five-to-seven-minute talk; longer talks are possible with approval. Official site,Review the public route and decide whether to prepare the indicated talk or demo format.,"Next confirmed speaker agenda, maximum approved duration, selection timing, and any help for travel presenters.",https://www.sandiegopython.org/
2,1.57,conference/event,ISTELive,ISTELive 27,"Boston, USA",hybrid,2027-06-27,open,2026-09-30,skeptic-education,A Skeptic's Guide to Surviving AI in Education,,"Teaching/learning and assessment are explicit topics; 2026 program proves appetite for authentic assessment, productive struggle, and distinguishing learning from AI-assisted production",88.0,83.0,73.0,2.08,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,5,Established flagship or large organizer-backed event; exact audience count may be an organizer claim or unstated.,2,Confirmed deadline in 25 days.,"Up to five proposals; title, description, outcomes, audience, resources, presenter profile; adult presenters register",Retarget examples to teachers/district leaders and submit by 2026-09-30; avoid duplicating heavily saturated 'AI-resistant assessment' framing,"Current package is higher-ed weighted and needs K-12 examples; adult presenters must register; economics unknown | Registration price, travel support, rights, accessibility details, and Dan's eligibility/affiliation remain unknown",https://conference.iste.org/2027/presenters/submit_proposal.php
3,1.63,community/meetup,Rocky Mountain AI Interest Group (RMAIIG),Denver/Colorado,"Boulder, Broomfield, Denver, and Fort Collins; in person",in-person,2026-09-17,public form/contact route,,skeptic-education,A Skeptic's Guide to Surviving AI in Education,,"All ten; particularly Education, Adaptive, Product, Retrieval, Benchmarks, and Judgment. Main events favor broad, practical explanations.",90,80,72.0,2.12,1,Exact preferred city.,1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 4,515.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,The group page exposes Message organizers; its September event also has a direct community demo form. Group and organizer route,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://docs.google.com/forms/d/e/1FAIpQLSfN6b3LnMY6p6ppoCWQRxPisIXOZxNIUELyiobzZ3J8BHj5fw/viewform
4,1.657,conference/event,SREcon Americas,SREcon27 Americas,"Seattle, United States",in-person,2027-04-12,open,2026-11-19,retrieval,From RAGs to Retrievals,benchmarks,2027 theme asks what remains foundational as AI becomes a teammate; prior program includes exact terminology-bridge and agent-operations talks.,95.0,94.0,89.3,1.43,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,4,Established recurring conference or community series with visible program history.,3,Confirmed deadline in 75 days.,Proposal and speaker details; two-phase review; human-written attestation.,Use the 35-minute slot and reframe retrieval/context slides around production diagnosis and control.,"FINALIST; must attest content is primarily human-written; needs a stronger reliability through-line; travel/economics unknown | Format, speaker economics, travel/hotel, accessibility, and 2027 recording terms unknown. | Speaker economics, rights, accessibility, format, and numeric UTC offset unknown | Travel support, speaker costs, recording rights, accessibility details, and public attendance figure not found. Dan's eligibility facts beyond supplied material are unknown. | Speaker registration, travel/honorarium, rights, accessibility, and sufficient SRE connection | MERGE CONFLICTS/VARIANTS — date_status: exact | confirmed; country: United States | USA; eligibility: Open internationally; new speakers encouraged. Speaker must submit own human-written proposal; content cannot be entirely or substantively generated by AI. | Public participation call; content must be primarily human-written and attested | Human-authored submission attestation; practitioner reliability content | International and new speakers welcome; presenter must submit own proposal and attest content is primarily human-written; formats_and_durations: 15 minutes plus 5 Q&A; 35 minutes plus 10 Q&A | Talk formats/durations not visible in retrieved excerpt | Format/duration not captured | 15+5 Q&A; 35+10 Q&A; lightning CFP later; submission_requirements: Proposal and speaker details; two-phase review; human-written attestation. | Proposal plus required human-authorship attestation; practical technical depth expected | Proposal describing concrete operational experience and takeaways | Two-phase submission; technical guidance and applied experience favored; recording_rights: USENIX commonly posts slides/video, confirmed for 2026 archive; 2027 rights terms not located | unknown; verified_at: 2026-09-04T23:20:00-06:00 | 2026-09-04T23:30:00-06:00 | 2026-09-04T23:00:00-06:00 | 2026-09-04T12:00:00-06:00",https://www.usenix.org/conference/srecon27americas/call-for-participation
5,1.695,community/meetup,ACM Austin: Enterprise AI & Engineering,Preferred US cities,Austin; in person with some online programming,remote/online,2026-09-17,public form/contact route,,product-engineering,The Future of Product Engineering,,All eight engineering/product talks; Education also fits with a computing-education or integrity angle,82,80,65.6,2.38,1,Remote or online participation is available.,1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 1,771.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Direct rolling Sessionize route: submit a talk. The group openly asks for real-world talks, demos, or research. Meetup",Review the public route and decide whether to prepare the indicated talk or demo format.,"Whether the October agenda still has space, selection timing, recording, and travel support.",https://sessionize.com/austin-acm-meetup/
6,1.695,community/meetup,Denver DevOps Monthly Meetup,Denver/Colorado,"Code Talent, Denver; monthly, in person",in-person,2026-10-15,public form/contact route,,failure-improvement,Automating Improvement From Failure,,"Failure, Adaptive, Benchmarks, Parallelization, Product, and Judgment",82,80,65.6,2.38,1,Exact preferred city.,1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 2,245.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Join its public Slack or message organizers through Meetup; monthly meetings currently use open spaces, so a discussion can be easier than a formal talk",Review the public route and decide whether to prepare the indicated talk or demo format.,,https://www.meetup.com/denverdevops/
7,1.695,community/meetup,FrontEndParty,Preferred US cities,New Orleans; monthly in person,in-person,2026-09-08,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Judgment, Failure, Free tier, Adaptive, and Parallelization; the engineering talks need a web/developer-workflow angle",82,80,65.6,2.38,1,Exact preferred city.,1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 1,761.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,The group has an explicit Apply to present route. Current programming uses one five-to-fifteen-minute feature speaker plus show-and-tell and collaborative debugging. Meetup,Review the public route and decide whether to prepare the indicated talk or demo format.,"The public form target was not independently opened, attendance has recently been small, and travel support is unknown.",https://www.meetup.com/frontendparty/
8,1.708,conference/event,DeveloperWeek,DeveloperWeek 2027,"Santa Clara, United States",in-person,2027-02-09,open,2026-09-18,failure-improvement,Automating Improvement From Failure,parallelization,2026 program already featured agent failure modes and human/agent feedback loops; 2027 route is open.,88.0,90.0,79.2,1.83,2,Near a preferred city or within the Denver/Front Range area.,2,Standard public proposal or organizer route with no hard requirement found.,5,"Public organizer/platform signal of at least 6,000 members, registrations, attendees, or reach.",1,Confirmed deadline in 13 days.,"Speaker application with topic, abstract and profile.",Confirm slot length immediately and prepare a submission before September 18.,"Final deadline is soon and has no stated time/timezone; format/economics unknown. | Format, economics, rights, accessibility, multiple-submission and exclusivity rules unknown; attendance is organizer projection, not audited actual. | Exact session duration, presenter pass, travel, honorarium, rights, accessibility, and Dan's travel availability | Exact duration, presenter pass, travel, honorarium, rights, accessibility, and travel availability | MERGE CONFLICTS/VARIANTS — country: United States | USA; guidelines_url: https://www.developerweek.com/speakers/apply-to-speak/ | https://www.developerweek.com/tracks/; eligibility: Public call; practitioner and technical proposals across four co-located programs. | All speakers must use the public call; biography and affiliation details otherwise unknown | All speakers must use the public call; formats_and_durations: Duration not stated on extracted CFP page | Exact current session duration not found.; submission_requirements: Speaker application with topic, abstract and profile. | Complete all proposal fields and select one of four conference worlds | Complete all fields and select one of four conference worlds; attendance_value: 3000 onsite and 6000 community members advertised for 2027 | 5,000+ annual participants claimed; 2,500 onsite and 2,500 virtual described on About page | 5,000+ annual participants claimed; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-04T23:58:00-06:00",https://www.developerweek.com/speakers/apply-to-speak/
9,1.71,conference/event,ProductWorld,ProductWorld 2027,"Santa Clara, United States",in-person,2027-02-09,open,2026-09-18,product-engineering,The Future of Product Engineering,judgment,Exact product/product-engineering audience and near-identical 2026 sessions; open editorial CFP.,94.0,100.0,94.0,1.24,2,Near a preferred city or within the Denver/Front Range area.,2,Standard public proposal or organizer route with no hard requirement found.,4,"Public organizer/platform signal of at least 3,000.",1,Confirmed deadline in 13 days.,Complete proposal fields and select ProductWorld; live participation required.,Confirm session length and submit the systems-thinking variant by September 18.,"Duration and travel costs unknown; deadline is close. | Duration, travel/hotel, payment, rights and accessibility unknown.",https://sessionize.com/productworld-2027/
10,1.74,conference/event,PlatformCon,PlatformCon Flagship Week 2027,"London; New York; online, UK; USA; online",hybrid,2027-06-22,announced-not-open,,free-tier,Cry Me a Free Tier,,Official theme says the age of AI runs on platform engineering; virtual reach and archive reuse are strong.,87.0,76.0,66.1,2.36,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,5,"Public organizer/platform signal of at least 280,000 members, registrations, attendees, or reach.",3,Open or rolling route without a confirmed actionable deadline.,unknown,Monitor the official site for the flagship CFP and prepare a platform-product version with reusable worksheet.,FINALIST; no public 2027 CFP details found; London/New York/virtual submission topology unknown | Whether one submission covers virtual/London/New York; CFP dates; formats; economics; travel,https://platformcon.com/
