evidence_id,event_id,edition_id,field_supported,claim_or_excerpt,url,page_title,publisher,source_type,published_date,accessed_at,confidence,conflict_notes
"ev-ju-pw-current","evt-ju-productworld","ed-ju-pw27","dates; CFP; deadline; audience; economics","Santa Clara Feb 9-11, 2027; public CFP closes Sep 18 at 11:59 PM PDT; live participation; speaker and guest passes; product managers/designers/leaders.","https://sessionize.com/productworld-2027/","ProductWorld 2027 Call for Speakers","ProductWorld / DevNetwork / Sessionize","official submission system","","2026-09-04T21:00:00-06:00","high",""
"ev-ju-pw-past1","evt-ju-productworld","","past session fit","2026 ProductWorld session: 'The Future is Product Engineers: Redefining Engineering Roles in the Age of AI' by Balazs Barna.","https://www.developerweek.com/2026-schedule/","DeveloperWeek 2026 Schedule","DevNetwork","official program archive","2026","2026-09-04T21:00:00-06:00","high",""
"ev-ju-pw-past2","evt-ju-productworld","","past session fit","2026 ProductWorld session: 'The Power of Having Product and Engineering on the Same Team' by Ellen Linardi.","https://www.developerweek.com/2026-schedule/","DeveloperWeek 2026 Schedule","DevNetwork","official program archive","2026","2026-09-04T21:00:00-06:00","high",""
"ev-ju-uxdx-current","evt-ju-uxdx","ed-ju-uxdx-ny27","dates; CFP; eligibility; formats","New York May 10-12, 2027; apply by Dec 10; main stage expects senior in-house real case with tradeoffs, failures and outcomes; local stages always open.","https://uxdx.com/speak/","Speak at UXDX","UXDX","official speaker application","","2026-09-04T21:05:00-06:00","high",""
"ev-ju-uxdx-past1","evt-ju-uxdx","ed-ju-uxdx-ny27","program fit","2027 agenda: 'Who Owns Product Quality in the Age of AI' led by Dana Lawson; description asks who remains accountable as delivery cost falls.","https://uxdx.com/usa/2027/agenda/","UXDX New York 2027 Agenda","UXDX","official program","2027","2026-09-04T21:05:00-06:00","high","Program was partially announced while speaker call remained open."
"ev-ju-uxdx-past2","evt-ju-uxdx","ed-ju-uxdx-ny27","program fit","2027 agenda: 'The Collapse of Product Teams: How AI is Rewiring Ideation to Execution' with Keyvan Azami and David Kossnick.","https://uxdx.com/usa/2027/agenda/","UXDX New York 2027 Agenda","UXDX","official program","2027","2026-09-04T21:05:00-06:00","high","Current-edition precedent, not past edition."
"ev-ju-pls-current","evt-ju-pls","ed-ju-pls-seattle27","dates; route; audience; reach","Seattle June 16-17, 2027; public request-to-speak form; 100+ product professionals; activation, conversion, experimentation and AI products.","https://world.productledalliance.com/location/seattle/speakers","Product-Led Summit Seattle Speakers","Product-Led Alliance","official event page","","2026-09-04T21:10:00-06:00","high","No submission deadline or selection rules stated."
"ev-ju-pls-past1","evt-ju-pls","","past session fit","2026 Seattle session: 'Shipping AI is easy. Running it is not: Why AI products fail after launch' by Meghana Makhija; covers guardrails, feedback loops and human-in-loop systems.","https://world.productledalliance.com/location/seattle/speaker/meghanamakhija","Meghana Makhija","Product-Led Alliance","official session archive","2026","2026-09-04T21:10:00-06:00","high",""
"ev-ju-pls-past2","evt-ju-pls","","past session fit","Prior AI Product Summit agenda: 'Leading your dev team through the AI revolution' by Rikki Singh and panel 'The ROI hunger games: Proving AI's value in 2026.'","https://world.productledalliance.com/location/ai/agenda","AI Product Summit Silicon Valley Agenda","Product-Led Alliance","official program archive","2026","2026-09-04T21:10:00-06:00","high","Adjacent Product-Led Alliance edition."
"ev-ju-opt-current","evt-ju-optimizers","ed-ju-opt-west27","dates; audience; route; costs","Santa Cruz Mar 3-5, 2027; 130 mixed product/experimentation practitioners; every attendee can lead an unconference session; ticket includes hotel/meals and starts at USD 1595 in next tier.","https://optimizersconference.com/","Optimizers Conference 2027","Test & Learn Community","official event page","","2026-09-04T21:15:00-06:00","high","Attendee-led opportunity is not a curated keynote CFP."
"ev-ju-opt-past1","evt-ju-optimizers","","past speaker fit","Past keynote speaker Lukas Vermeer is listed as Director of Personalization at VistaPrint.","https://optimizersconference.com/","Optimizers Conference 2027","Test & Learn Community","official event page/history","","2026-09-04T21:15:00-06:00","medium","Past talk title/year not shown."
"ev-ju-opt-past2","evt-ju-optimizers","","past speaker fit","Past speaker Dylan Lewis is listed as Experimentation Leader at Atlassian; 2027 theme explicitly covers experimentation, AI, learning loops and better decisions.","https://optimizersconference.com/","Optimizers Conference 2027","Test & Learn Community","official event page/history","","2026-09-04T21:15:00-06:00","medium","Past talk title/year not shown."
"ev-ju-gids-current","evt-ju-gids","ed-ju-gids27","dates; CFP; deadline; formats; rules; economics","Bengaluru Apr 27-30, 2027; deadline Sep 30; 30/60-minute talks; requires real work and direct contribution; discretionary international support.","https://form.jotform.com/saltmarch/gids2027cfp","GIDS 2027 Call for Proposals","Saltmarch Media","official submission form","","2026-09-04T21:20:00-06:00","high",""
"ev-ju-gids-past1","evt-ju-gids","","past session fit","Prior program: 'Test Driving Code with the Help of AI' by Venkat Subramaniam.","https://developersummit.com/speaker/venkat-subramaniam","Venkat Subramaniam","GIDS / Saltmarch Media","official speaker archive","","2026-09-04T21:20:00-06:00","high",""
