evidence_id,event_id,edition_id,field_supported,claim_or_excerpt,url,page_title,publisher,source_type,published_date,accessed_at,confidence,conflict_notes
ev-kccnc-main,evt-kccnc-eu,ed-kccnc-eu-2027,"dates; CFP status; deadline; tracks; formats; rules","Official CFP lists March 15-18, 2027; proposals due October 11 at 11:59 PM CEST; Agentic AI includes architectures, multi-agent systems, AgentOps, governance and observability; 30-minute sessions.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/,Call For Proposals,KubeCon + CloudNativeCon Europe,official CFP,,2026-09-04T23:30:00-06:00,high,
ev-kccnc-economics,evt-kccnc-eu,ed-kccnc-eu-2027,"attendance; speaker pass","Official sponsor page describes 13,000 developers, architects and technical leaders; CFP promises one complimentary pass per accepted speaker.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/sponsor/,Sponsor,KubeCon + CloudNativeCon Europe,official organizer page,,2026-09-04T23:30:00-06:00,high,
ev-kccnc-past,evt-kccnc-eu,ed-kccnc-eu-2027,"history; archive visibility","Official 2026 archive links schedule, slides, recordings and highlights; detailed session-title extraction was not completed.",https://events.linuxfoundation.org/archive/2026/kubecon-cloudnativecon-europe/,KubeCon + CloudNativeCon Europe 2026,Linux Foundation,official archive,,2026-09-04T23:30:00-06:00,medium,"Finalist requirement for two specific past sessions remains a gap."
ev-colocated-common,evt-agentics-eu,ed-agentics-eu-2027,"CFP dates; formats; rules; speaker pass; recording","Common co-located CFP opens September 2, closes October 18 at 11:59pm Central European Time (UTC+2), offers 25-minute talks, and provides an all-access pass; overview says 2027 sessions are recorded for CNCF YouTube.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/,CFP for CNCF-hosted Co-located Events,Linux Foundation,official CFP,,2026-09-04T23:30:00-06:00,high,
ev-agentics-current,evt-agentics-eu,ed-agentics-eu-2027,"audience; topics; current edition","Official page describes a community event for MCP/agent developers and lists architecture, trust, reliability, production, governance, performance and scaling.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/,Agentics Day: MCP + Agents,Linux Foundation,official event page,,2026-09-04T23:30:00-06:00,high,
ev-cnai-current,evt-cnai-eu,ed-cnai-eu-2027,"audience; topics; current edition","Official page lists LLMs, RAG and agents, production MLOps/AIOps, inference, ethics, compliance and security, with an open CFP through October 18.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/,Cloud Native AI + Inference Day,Linux Foundation,official event page,,2026-09-04T23:30:00-06:00,high,
ev-srecon-current,evt-srecon-americas,ed-srecon-americas-2027,"dates; deadline; audience; content rules","Official call lists April 12-14, 2027, proposal deadline November 19 at 11:59pm Pacific Time, and a human-authorship attestation for submitted content.",https://www.usenix.org/conference/srecon27americas/call-for-participation,SREcon27 Americas Call for Participation,USENIX,official CFP,,2026-09-04T23:30:00-06:00,high,
ev-srecon-past1,evt-srecon-americas,ed-srecon-americas-2027,past_session_fit,"How We Debug 1000s of Databases with AI discusses safe production AI agents and platform foundations.",https://www.usenix.org/conference/srecon26americas/presentation/zhou-annie,How We Debug 1000s of Databases with AI,USENIX,official program archive,,2026-09-04T23:30:00-06:00,high,
ev-srecon-past2,evt-srecon-americas,ed-srecon-americas-2027,past_session_fit,"The Ironies of AI² examines automation and AI in high-consequence operational incidents.",https://www.usenix.org/conference/srecon26americas/presentation/reed,The Ironies of AI²,USENIX,official program archive,,2026-09-04T23:30:00-06:00,high,
ev-aoma-current,evt-aoma,ed-aoma-2027,"dates; deadline; topics; format; economics","Official CFP lists April 6-7, 2027, October 23 at 23:59 CET deadline, 40-minute English sessions, AI architecture/pitfalls, EUR 300 accommodation cap and origin-dependent travel support.",https://aoma-conference.com/2027/cfp/,Call for your Proposals — 2027,AOmA,official CFP,,2026-09-04T23:30:00-06:00,high,"Organizer LinkedIn later states November 30; official page retained as authoritative but conflict unresolved."
ev-aoma-history,evt-aoma,ed-aoma-2027,"history; audience","Official home page says the series began in 2019 as Agile meets Architecture and highlights past speakers and architecture/organizational decision themes.",https://aoma-conference.com/,AOmA 2027,AOmA,official organizer page,,2026-09-04T23:30:00-06:00,medium,"Two specific past session titles were not recovered."
ev-arc-current,evt-arc,ed-arc-2027,"dates; audience; themes; public route","Official site lists January 12-14, 2027 in Abu Dhabi and a speaker-interest form prioritizing practitioner-led real-world architecture, complexity and AI engineering.",https://futurewitharc.com/apply-to-speak/,Apply to Speak at ARC 2027,ARC,official form page,,2026-09-04T23:30:00-06:00,high,"Form does not state deadline or prove a formally open CFP."
ev-icsa-saip,evt-icsa,ed-icsa-saip-2027,"deadline; format; rules; audience","Official SAIP call invites practitioners, accepts two-page technical-talk proposals for 30-minute talks, and lists October 30 abstract and November 4 proposal deadlines AoE.",https://conf.researchr.org/track/icsa-2027/icsa-2027-software-architecture-in-practice-track,Software Architecture in Practice ICSA 2027,ICSA / IEEE,official CFP,,2026-09-04T23:30:00-06:00,high,
ev-icsa-working,evt-icsa,ed-icsa-working-2027,"deadline; format; requirements","Official call sets October 2, 2026 deadline for 90-180 minute facilitated sessions with a proposed public deliverable.",https://conf.researchr.org/track/icsa-2027/icsa-2027-working-sessions,Working Sessions ICSA 2027,ICSA / IEEE,official CFP,,2026-09-04T23:30:00-06:00,high,
ev-icsa-tutorial,evt-icsa,ed-icsa-tutorial-2027,"deadline; format; publication","Official call lists December 20, 2026 at 23:59 AoE, January 19 notification, and optional two-page companion abstract.",https://conf.researchr.org/track/icsa-2027/icsa-2027-tutorials-tech-briefings,Tutorials / Tech Briefings ICSA 2027,ICSA / IEEE,official CFP,,2026-09-04T23:30:00-06:00,high,
ev-icsa-past1,evt-icsa,ed-icsa-saip-2027,past_session_fit,"2026 program included Software Architecture Meets Agentic AI and Architecting Human Oversight in AI-Enabled Software Systems.",https://conf.researchr.org/program/icsa-2026/program-icsa-2026/Session-Timeline,ICSA 2026 Program,ICSA / IEEE,official program archive,,2026-09-04T23:30:00-06:00,high,
ev-icsa-past2,evt-icsa,ed-icsa-saip-2027,past_session_fit,"2026 program included Architectural Design Decisions for Managing Features, Metadata, and Models in ML Platforms and LLMs for Architectural Refactoring.",https://conf.researchr.org/track/icsa-2026/icsa-2026-papers,ICSA 2026 Research Papers and Program,ICSA / IEEE,official program archive,,2026-09-04T23:30:00-06:00,high,
ev-gids-current,evt-gids,ed-gids-2027,"dates; deadline; audience; format; economics","Official submission form lists Bengaluru April 27-30, September 30 deadline, 30/60-minute talks, and discretionary international support up to USD 1,500 plus two hotel nights.",https://form.jotform.com/saltmarch/gids2027cfp,GIDS 2027 Call for Proposals,Saltmarch Media,official submission form,,2026-09-04T23:30:00-06:00,high,
ev-gids-past1,evt-gids,ed-gids-2027,past_session_fit,"2026 sessions included Enterprise Architecture 2026–2028: AI-Native, Agentic, and Governed and Architecting Microservices for Agentic AI Integration.",https://developersummit.com/speaker/rohit-bhardwaj,Rohit Bhardwaj — GIDS 2026 Sessions,GIDS,official program archive,,2026-09-04T23:30:00-06:00,high,
ev-gids-past2,evt-gids,ed-gids-2027,past_session_fit,"2026 sessions included Architecting for the Unknown and Creating Architectures with the Aid of AI.",https://developersummit.com/speaker/venkat-subramaniam,Venkat Subramaniam — GIDS 2026 Sessions,GIDS,official program archive,,2026-09-04T23:30:00-06:00,high,
ev-javaland-current,evt-javaland,ed-javaland-2027,"dates; deadline; topics","Official site lists March 2-4, 2027 and an open CFP through September 14 covering AI, platform engineering, cloud, security, architecture and DevOps.",https://www.javaland.eu/en/home/,JavaLand 2027,JavaLand,official organizer page,2026-07-28,2026-09-04T23:30:00-06:00,high,
ev-javaland-past1,evt-javaland,ed-javaland-2027,past_program_fit,"Official 2026 CFP statistics show 70 AI & Data and 65 Architecture submissions among 494 total.",https://www.javaland.eu/en/home/news/news/javaland-2026-the-call-for-papers-in-figures/,JavaLand 2026 Call for Papers in Figures,JavaLand,official archive,2025-09-19,2026-09-04T23:30:00-06:00,high,
ev-javaland-past2,evt-javaland,ed-javaland-2027,past_session_fit,"2026 program materials list Agentic Coding with Java and a coding dojo on Agentic AI with test-driven versus property-based testing.",https://www.javaland.eu/fileadmin/Event/JavaLand/Konferenznews_Guides_Dokumente/2026/JL_26-Parkplan-WEB.pdf,JavaLand 2026 program map,JavaLand,official program PDF,,2026-09-04T23:30:00-06:00,medium,
ev-aiae-current,evt-ai-agent-event,ed-ai-agent-event-2027,"dates; deadline; audience; topics; economics","Official CFP says submissions are accepted for February 9-11, 2027, deadline September 9, with architecture, testing/evaluation, observability, scaling and cost topics; accepted speakers receive an all-access pass.",https://www.aiagentevent.com/east/call-for-speakers.aspx,AI Agent Event 2027 Call for Speakers,TMC,official CFP,,2026-09-04T23:30:00-06:00,high,
ev-aiae-past1,evt-ai-agent-event,ed-ai-agent-event-2027,past_session_fit,"2026 agenda includes Deterministic Outcomes in Non-Deterministic Systems: Engineering Reliability for AI Agents.",https://www.aiagentevent.com/east/agenda.aspx,AI Agent Event Agenda,TMC,official program archive,,2026-09-04T23:30:00-06:00,high,
ev-aiae-past2,evt-ai-agent-event,ed-ai-agent-event-2027,past_session_fit,"2026 agenda includes From Prototype to Production: Best Practices for Deploying AI Agents Safely, including speed/accuracy/safety tradeoffs and human oversight.",https://www.aiagentevent.com/east/agenda.aspx,AI Agent Event Agenda,TMC,official program archive,,2026-09-04T23:30:00-06:00,high,
ev-thinkai-current,evt-thinkai,ed-thinkai-2027,"date; announced deadline; status; eligibility","Official page lists February 18, 2027 and November 20 abstract deadline, but says intake will open soon; requires actual implementation, outcomes and lessons for a 15-minute talk.",https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers,Call for Speakers: 2027 Think!AI Summit,Pittsburgh Technology Council,official organizer page,,2026-09-04T23:30:00-06:00,high,
ev-eluk-current,evt-experts-live-uk,ed-experts-live-uk-2027,"dates; status; format; economics","Official page lists May 18-20, 2027, 45/75-minute sessions, a not-yet-open and provisional CFP timeline, ticket/dinner/recording and possible accommodation help.",https://expertslive.co.uk/become-a-speaker/,Become a Speaker — ELUK27,Experts Live UK,official organizer page,,2026-09-04T23:30:00-06:00,high,
ev-conf42-series,evt-conf42,ed-conf42-agents-2027,"series; audience; future editions","Official home page lists recurring 2027 AI Agents, LLM, Platform Engineering and other online events and says the community has 9,100+ practitioners.",https://www.conf42.com/,Conf42 Online Tech Events,Conf42,official organizer page,,2026-09-04T23:30:00-06:00,medium,"Edition-specific deadlines/status not verified."
ev-conf42-past1,evt-conf42,ed-conf42-agents-2027,past_session_fit,"2026 program includes The Retry Storm That Ate My Budget and Reduce AI Agents Costs and Mistakes with Semantic Tool Selection.",https://www.conf42.com/agents2026,Conf42 AI Agents 2026,Conf42,official program archive,,2026-09-04T23:30:00-06:00,high,
ev-conf42-past2,evt-conf42,ed-conf42-agents-2027,past_session_fit,"2026 program includes A Unified Readiness Framework for Mission-Critical AI Agents and I Don't Trust AI Agents: Building Production-Ready Architectures.",https://www.conf42.com/agents2026,Conf42 AI Agents 2026,Conf42,official program archive,,2026-09-04T23:30:00-06:00,high,
ev-ndc-current,evt-ndc-london,ed-ndc-london-2027,"dates; deadline; status; topics; formats","Official page lists January 25-29, 2027, closed August 30 deadline, and AI Agents/Architecture/Cloud/Platform topics; regular talks are 60 minutes.",https://ndclondon.com/call-for-papers,Call for Papers — NDC London,NDC Conferences UK Ltd,official CFP,,2026-09-04T23:30:00-06:00,high,
ev-oop-current,evt-oop,ed-oop-2027,"dates; status; topics","Official site says the 2027 CFP is closed; February 2-5 in Munich; AI-native architecture track includes agent orchestration, observability, production models and cost optimization.",https://www.oop-konferenz.de/de/programm/tracks,OOP 2027 Tracks,heise conferences,official organizer page,,2026-09-04T23:30:00-06:00,high,
ev-sag-current,evt-sag,ed-sag-2026,"dates; deadline; status; topics; formats","Official CFP lists November 16-19, June 9 deadline, English 45-minute sessions, and Architecture in the Age of AI; closed before run.",https://www.software-architecture-gathering.com/call-for-papers/,Call for Papers — Software Architecture Gathering 2026,iSAQB / heise,official CFP,,2026-09-04T23:30:00-06:00,high,
ev-devnexus-series,evt-devnexus,ed-devnexus-2027,"history; audience; reach","Official site says Devnexus began in 2004 and draws 1,500+ developers with 10 tracks and 100+ sessions.",https://devnexus.com/,Devnexus 2027,Atlanta Java Users Group,official organizer page,,2026-09-04T23:30:00-06:00,high,
ev-devnexus-past,evt-devnexus,ed-devnexus-2027,past_program_fit,"2026 CFP tracks included Generative AI, AI Engineering and Infrastructure, AI in Practice, Tech Leadership and Architecture, with limited travel/hotel budget.",https://devnexus.com/posts/the-cfp-for-devnexus-2026-is-open,The CFP for Devnexus 2026 Is Open,Devnexus,official archive,,2026-09-04T23:30:00-06:00,high,"Historical only; not evidence of 2027 availability."
ev-aed-current,evt-agenticdays,ed-agenticdays-2027,"history; future CFP; audience","Official site says 2026 had 38+ sessions selected from 344 submissions across 38 countries and promises a 2027 CFP; program distinguishes building with agents from building agent systems.",https://www.agenticdays.com/,Agentic Engineering Days Zurich 2026,Agentic Engineering Days,official organizer page,,2026-09-04T23:30:00-06:00,high,
ev-lf-calendar,evt-kccnc-na,ed-kccnc-na-2027,"future editions; status; dates","Official Linux Foundation calendar lists AGNTCon/MCPCon North America and Europe, Open Source Summit North America, and KubeCon North America 2027 with dates and 'Details Coming Soon'.",https://events.linuxfoundation.org/about/calendar/,Upcoming Events,Linux Foundation,official calendar,,2026-09-04T23:30:00-06:00,high,
ev-mlops-series,evt-mlops-community,ed-mlops-community-rolling,"audience; formats; reach","Official community site says 90,000+ developers and lists in-person events, virtual tech talks, workshops and practitioner podcasts.",https://mlops.community/,MLOps Community,MLOps Community,official organizer page,,2026-09-04T23:30:00-06:00,medium,
ev-mlops-ended,evt-mlops-community,ed-mlops-community-rolling,"route status","An official event page for Operationalizing AI Agents displayed Submit a Talk but explicitly says the event ended and applications are closed.",https://app.mlops.community/events/operationalizing-ai-agents-from-experimentation-to-production/talks,Operationalizing AI Agents: Submit a Talk,MLOps Community,official event page,,2026-09-04T23:30:00-06:00,high,
ev-vienna-current,evt-softwarearch-vienna,ed-softwarearch-vienna-rolling,"community history; format","Meetup page shows an architecture/AI-adjacent event with two or three speakers and roughly 45-minute blocks, but no public speaker intake.",https://www.meetup.com/de-de/softwarearchitektur-wien/,Softwarearchitektur Wien,Meetup / community organizers,official community page,,2026-09-04T23:30:00-06:00,medium,
ev-dors-current,evt-dorscluc,ed-dorscluc-2026,"route; eligibility; economics; rights","Official speaker page requires open-source subject matter, bars commercialism, says travel/stay cannot be covered unless specified, and records talks under CC BY-SA 4.0; deadline was not visible.",https://2026.dorscluc.org/call-for-speakers/,DORS/CLUC 2026 Call for Speakers,DORS/CLUC,official CFP,,2026-09-04T23:30:00-06:00,high,
