event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
ev-developerweek,DeveloperWeek,DevNetwork,commercial technology conference,https://www.developerweek.com/,https://www.developerweek.com/contact/,"Developers, architects, engineering leaders, product managers, and technical founders","Recurring developer and AI engineering conference; official 2027 site claims 5,000+ annual attendees across onsite and virtual participation.",src-developerweek-cfp;src-developerweek-about
ev-kubecon-eu,KubeCon + CloudNativeCon Europe,Cloud Native Computing Foundation / Linux Foundation,open-source conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/,"Cloud-native adopters, developers, architects, platform engineers, and technical leaders","Flagship recurring CNCF event; 2027 edition in Barcelona and official site provides prior-edition highlights.",src-kubecon-eu-cfp;src-kubecon-eu-home
ev-tokenomicon-x,Tokenomicon + FinOps X,FinOps Foundation and Tokenomics Foundation,FinOps conference,https://www.tokenomicon.com/,https://www.tokenomicon.com/,"FinOps practitioners, engineering and finance leaders, and teams managing AI and technology spend","FinOps X becomes a co-conference with Tokenomicon in 2027; prior FinOps X calls explicitly covered AI token costs and unit economics.",src-tokenomicon-home;src-finopsx-guide;src-finopsx-2027
ev-tokenomicon-london,Tokenomicon London,Tokenomics Foundation,regional FinOps conference,https://www.tokeneconomics.com/,https://www.tokeneconomics.com/,"Practitioners working on token allocation, forecasting, optimization, cost-to-serve, and cost per call","London edition announced for February 2027; current public speaker route not found.",src-tokenomics-events;src-finops-tokenomicon-news
ev-tokenomicon-amsterdam,Tokenomicon Amsterdam,Tokenomics Foundation,regional FinOps conference,https://www.tokenomicon.com/amsterdam,https://www.tokenomicon.com/amsterdam,"Practitioners working on AI token economics and FinOps","First smaller Tokenomicon edition announced for September 2026; public CFP was not verified on an official page at final check.",src-tokenomics-events;src-finops-tokenomicon-news
ev-devopsdays-la,DevOpsDays Los Angeles,DevOpsDays Los Angeles organizers,regional community conference,https://devopsdays.org/events/2027-los-angeles/welcome/,https://devopsdays.org/events/2027-los-angeles/contact/,"Southern California DevOps, platform, reliability, and engineering practitioners","Regional DevOpsDays chapter colocated with SCaLE; community selection favors local stories and noncommercial content.",src-dod-la-propose;src-dod-global-speaking
ev-devopsdays-raleigh,DevOpsDays Raleigh,DevOpsDays Raleigh organizers,regional community conference,https://devopsdays.org/events/2027-raleigh/welcome/,https://devopsdays.org/events/2027-raleigh/contact/,"Raleigh-area DevOps, platform, reliability, and engineering practitioners","Regional community event with talks, Ignite, and Open Space formats.",src-dod-raleigh-propose;src-dod-global-speaking
ev-devopsdays-almaty,DevOpsDays Almaty,DevOpsDays Almaty organizers,regional community conference,https://devopsdays.org/events/2026-almaty/welcome/,https://devopsdays.org/events/2026-almaty/contact/,"Central Asian DevOps and IT-improvement practitioners","Global DevOpsDays speaking index listed the Almaty call as open at verification.",src-dod-global-speaking
ev-devopsdays-telaviv,DevOpsDays Tel Aviv,DevOpsDays Tel Aviv organizers,regional community conference,https://devopsdays.org/events/2026-tel-aviv/welcome/,https://devopsdays.org/events/2026-tel-aviv/contact/,"Israeli DevOps and IT-improvement practitioners","Local page offers 30-minute, Ignite, and Open Space routes but contradicts the global open-CFP index by saying CFP TBD.",src-dod-telaviv-propose;src-dod-global-speaking
ev-platformcon,PlatformCon,Humanitec / Platform Engineering community,platform-engineering conference,https://platformcon.com/,https://platformcon.com/,"Platform engineers, infrastructure teams, engineering leaders, and AI platform builders","Recurring virtual flagship expanded to a world tour; official 2027 page advertises hundreds of speakers and a free virtual archive.",src-platformcon-home
