deadline_id,edition_id,deadline_type,raw_date_text,date_iso,time_local,timezone_as_stated,utc_datetime,certainty,source_id,verified_at,conflict_notes
dl-kccnc-close,ed-kccnc-eu-2027,cfp_close,"Sunday, 11 October at 11:59 PM CEST (UTC+2)",2026-10-11,23:59,"CEST (UTC+2)",2026-10-11T21:59:00Z,exact,ev-kccnc-main,2026-09-04T23:30:00-06:00,
dl-kccnc-notify,ed-kccnc-eu-2027,notification,"Monday, 7 December",2026-12-07,,,,exact,ev-kccnc-main,2026-09-04T23:30:00-06:00,
dl-kccnc-schedule,ed-kccnc-eu-2027,schedule_announcement,"Wednesday, 9 December",2026-12-09,,,,exact,ev-kccnc-main,2026-09-04T23:30:00-06:00,
dl-agentics-open,ed-agentics-eu-2027,cfp_open,"Wednesday, 2 September 2026",2026-09-02,,,,exact,ev-colocated-common,2026-09-04T23:30:00-06:00,
dl-agentics-close,ed-agentics-eu-2027,cfp_close,"Sunday, 18 October 2026, at 11:59pm Central European Time (UTC+2)",2026-10-18,23:59,"Central European Time (UTC+2)",2026-10-18T21:59:00Z,exact,ev-colocated-common,2026-09-04T23:30:00-06:00,
dl-agentics-notify,ed-agentics-eu-2027,notification,"Monday, 14 December 2026",2026-12-14,,,,exact,ev-colocated-common,2026-09-04T23:30:00-06:00,
dl-cnai-open,ed-cnai-eu-2027,cfp_open,"Wednesday, 2 September 2026",2026-09-02,,,,exact,ev-colocated-common,2026-09-04T23:30:00-06:00,
dl-cnai-close,ed-cnai-eu-2027,cfp_close,"Sunday, 18 October 2026, at 11:59pm Central European Time (UTC+2)",2026-10-18,23:59,"Central European Time (UTC+2)",2026-10-18T21:59:00Z,exact,ev-colocated-common,2026-09-04T23:30:00-06:00,
dl-cnai-notify,ed-cnai-eu-2027,notification,"Monday, 14 December 2026",2026-12-14,,,,exact,ev-colocated-common,2026-09-04T23:30:00-06:00,
dl-platform-open,ed-platform-day-eu-2027,cfp_open,"Wednesday, 2 September 2026",2026-09-02,,,,exact,ev-colocated-common,2026-09-04T23:30:00-06:00,
dl-platform-close,ed-platform-day-eu-2027,cfp_close,"Sunday, 18 October 2026, at 11:59pm Central European Time (UTC+2)",2026-10-18,23:59,"Central European Time (UTC+2)",2026-10-18T21:59:00Z,exact,ev-colocated-common,2026-09-04T23:30:00-06:00,
dl-srecon-close,ed-srecon-americas-2027,cfp_close,"Thursday, November 19, 2026 at 11:59 pm Pacific Time",2026-11-19,23:59,"Pacific Time",,exact,ev-srecon-current,2026-09-04T23:30:00-06:00,"No numeric offset was stated; UTC conversion intentionally omitted."
dl-srecon-notify,ed-srecon-americas-2027,notification,"Saturday, December 12, 2026",2026-12-12,,,,exact,ev-srecon-current,2026-09-04T23:30:00-06:00,
dl-srecon-confirm,ed-srecon-americas-2027,confirmation_and_materials,"Wednesday, January 6, 2027",2027-01-06,,,,exact,ev-srecon-current,2026-09-04T23:30:00-06:00,
dl-aoma-close,ed-aoma-2027,cfp_close,"October 23, 2026, 23:59 CET",2026-10-23,23:59,CET,2026-10-23T22:59:00Z,exact,ev-aoma-current,2026-09-04T23:30:00-06:00,"A later organizer LinkedIn post said November 30, 2026. Current official CFP page is treated as authoritative, but the conflict must be rechecked before submission."
dl-aoma-notify,ed-aoma-2027,notification,"Final notice ... November 23, 2026",2026-11-23,,,,exact,ev-aoma-current,2026-09-04T23:30:00-06:00,
dl-icsa-saip-abstract,ed-icsa-saip-2027,abstract_submission,"Fri 30 Oct 2026; dates AoE (UTC-12h)",2026-10-30,,"AoE (UTC-12h)",,exact,ev-icsa-saip,2026-09-04T23:30:00-06:00,"No time of day stated on this track page."
dl-icsa-saip-paper,ed-icsa-saip-2027,proposal_submission,"Wed 4 Nov 2026; dates AoE (UTC-12h)",2026-11-04,,"AoE (UTC-12h)",,exact,ev-icsa-saip,2026-09-04T23:30:00-06:00,"No time of day stated on this track page."
dl-icsa-saip-notify,ed-icsa-saip-2027,notification,"Tue 15 Dec 2026",2026-12-15,,,,exact,ev-icsa-saip,2026-09-04T23:30:00-06:00,
dl-icsa-working,ed-icsa-working-2027,proposal_submission,"2 October 2026",2026-10-02,,,,exact,ev-icsa-working,2026-09-04T23:30:00-06:00,
dl-icsa-tutorial,ed-icsa-tutorial-2027,proposal_submission,"December 20, 2026; 23:59h AoE (UTC-12h)",2026-12-20,23:59,"AoE (UTC-12h)",2026-12-21T11:59:00Z,exact,ev-icsa-tutorial,2026-09-04T23:30:00-06:00,
dl-icsa-tutorial-notify,ed-icsa-tutorial-2027,notification,"January 19, 2027",2027-01-19,,,,exact,ev-icsa-tutorial,2026-09-04T23:30:00-06:00,
dl-icsa-tutorial-materials,ed-icsa-tutorial-2027,camera_ready,"January 29, 2027",2027-01-29,,,,exact,ev-icsa-tutorial,2026-09-04T23:30:00-06:00,
