talk_id,edition_id,recommended_variant,proposed_title,pitch_angle,fit_reason,past_session_evidence_ids,audience_rating,topic_rating,timing_rating,readiness_rating,logistics_rating,reach_rating,known_points,evidence_coverage_percent,queue,constraints,next_action,next_check_date
"failure-improvement","ed-fi-srecon27","40-minute deck adapted to 35+10","Automating Improvement From Failure: Safe Feedback Loops for AI Operations","Frame the intervention hierarchy as an SRE mechanism: incident evidence becomes regression tests, guarded workflow changes and retireable rules.","Direct overlap with SRE, agent failure, reliability and operational learning; exact slot is close to the existing deck.","ev-fi-sre-past1;ev-fi-sre-past2","5","5","5","5","","5","90","90","1-verified-actionable","Human-written proposal rule; no unsupported production-improvement claim; travel/economics unknown.","Draft a 35-minute SRE variant and a human-authored proposal before the confirmed deadline.","2026-10-15"
"failure-improvement","ed-fi-kubecon-eu27","30-minute variant","Automating Improvement From Failure in Cloud-Native Agent Systems","Show a deterministic failure-to-regression pipeline using portable cloud-native tooling, holdouts and controlled promotion.","Strong AgentOps, platform, observability, testing and operations tracks; exact 30-minute format exists.","ev-fi-kube-past1;ev-fi-kube-past2","5","5","5","5","","5","90","90","1-verified-actionable","Maximum three proposals; no recent LF repeat; previous recording requested; travel funding unknown.","Prepare a 30-minute non-sales submission for the Agentic AI or Operations + Performance track by October 11.","2026-09-25"
"failure-improvement","ed-fi-gids27","30-minute variant","Automating Improvement From Failure: From Agent Mistake to Durable Engineering Control","Emphasize the concrete engineering pipeline and the boundary against uncontrolled self-modification.","Platform, DevOps, AI-assisted engineering, reliability and testing are explicit; 30-minute slot matches.","ev-fi-gids-past1;ev-fi-gids-past2","5","5","5","5","4","4","94","100","1-verified-actionable","Must evidence work Dan directly did or materially contributed to; reimbursement is discretionary.","Confirm a qualifying firsthand example and submit the 30-minute version by September 30.","2026-09-12"
"failure-improvement","ed-fi-eurostar27","40-minute deck; resize after format confirmation","Automating Improvement From Failure: Tests That Remember What Broke","Center regression prevention, reverse confidence checks, holdouts and retiring stale rules for quality engineers.","Theme explicitly welcomes failures, AI, automation and practical craft; prior program validates feedback-loop appetite.","ev-fi-euro-past1;ev-fi-euro-past2","4","5","5","4","","4","81","90","1-verified-actionable","Current duration and economics unknown; workshop would require new material.","Confirm the current talk duration in the submission form and submit a practitioner-talk proposal by September 30.","2026-09-12"
"failure-improvement","ed-fi-agentics-eu27","25-minute cut of 30-minute variant","Safe Agent Improvement: Turning Failures Into Guarded System Changes","Pitch the deterministic demonstration and promotion gates as practical AgentOps debugging infrastructure.","Purpose-built agent audience and explicit reliability/debugging interests; current deck needs only a moderate cut.","ev-fi-agentics-past1;ev-fi-agentics-past2","5","5","5","4","","5","88","90","1-verified-actionable","25-minute cap; likely topic competition; travel/economics unknown.","Cut the demo and intervention hierarchy to 25 minutes and submit by October 18.","2026-09-30"
"failure-improvement","ed-fi-swiss27","30-minute variant","Automating Improvement From Failure Without Automating New Failure","Lead with failed experiments, evidence gates and the limits of self-improving-system claims.","Conference explicitly asks for facts over hype, failed experiments, AI governance and nondeterministic-system testing.","ev-fi-swiss-past1;ev-fi-swiss-past2","4","5","5","5","","3","80","90","1-verified-actionable","Travel/hotel and presentation language not established.","Submit the existing 30-minute variant after verifying language and travel constraints.","2026-10-01"
"failure-improvement","ed-fi-expoqa27","40-minute practitioner talk; confirm duration","Automating Improvement From Failure: A Regression Pipeline for AI Agents","Translate the failure-to-intervention hierarchy into quality-engineering vocabulary and demonstrate safe promotion.","2027 theme and tracks explicitly cover AI validation, agent testing, automation and measuring quality.","ev-fi-expo-past1;ev-fi-expo-past2","4","5","5","4","","4","81","90","1-verified-actionable","Exact duration, language and speaker economics unknown.","Check the form for talk duration/language and submit the regular-talk version by October 11.","2026-09-25"
"failure-improvement","ed-fi-vslive-austin27","20-minute Fast Focus","The Failure-to-Fix Loop for AI-Assisted Engineering","Deliver a compact end-to-end demo: reproduce, select intervention, evaluate holdout, promote or reject.","Tracks explicitly ask for nondeterministic AI testing, evals, reliability, observability and DevOps.","ev-fi-vsl-past1;ev-fi-vsl-past2","5","5","5","3","4","4","93","100","1-verified-actionable","Operational deadline timezone conflict; usual booking expects multiple 75-minute talks; prior speaking experience requested.","Verify deadline timezone, pair this 20-minute talk with two credible 75-minute proposals, then submit before October 5.","2026-09-15"
"failure-improvement","ed-fi-developerweek27","format to confirm; default 40-minute deck","Automating Improvement From Failure in Agentic Developer Tools","Position durable corrections as developer-experience infrastructure, not model magic.","2026 program already featured agent failure modes and human/agent feedback loops; 2027 route is open.","ev-fi-devweek-past1;ev-fi-devweek-past2","5","5","5","4","","5","88","90","1-verified-actionable","Final deadline is soon and has no stated time/timezone; format/economics unknown.","Confirm slot length immediately and prepare a submission before September 18.","2026-09-08"
"failure-improvement","ed-fi-idi27","40-minute variant","Automating Improvement From Failure: Guardrails for AI in DevOps","Connect agent correction to GitOps-style controlled change, observability and durable regression prevention.","DevOps/platform audience and exact 40-minute slot; English track accepted.","ev-fi-idi-past1;ev-fi-idi-past2","4","4","5","5","4","3","84","100","1-verified-actionable","Most attendees are Italian; travel reimbursement depends on origin, which is unknown.","Submit the 40-minute English version by December 13 after checking audience-language expectations.","2026-11-01"
