deadline_id,edition_id,deadline_type,raw_date_text,date_iso,time_local,timezone_as_stated,utc_datetime,certainty,source_id,verified_at,conflict_notes
"dl-pa-sre-cfp","ed-pa-srecon27","cfp_deadline","Thursday, November 19, 2026, 11:59 p.m. Pacific Time","2026-11-19","23:59","Pacific Time","","confirmed","ev-pa-sre-current","2026-09-04T23:20:00-06:00","Source does not specify PST/PDT abbreviation; UTC not normalized."
"dl-pa-sre-notify","ed-pa-srecon27","notification","December 12, 2026","2026-12-12","","","","confirmed","ev-pa-sre-current","2026-09-04T23:20:00-06:00",""
"dl-pa-sre-confirm","ed-pa-srecon27","speaker_confirmation","January 6, 2027","2027-01-06","","","","confirmed","ev-pa-sre-current","2026-09-04T23:20:00-06:00",""
"dl-pa-sre-materials","ed-pa-srecon27","materials","January 6, 2027","2027-01-06","","","","confirmed","ev-pa-sre-current","2026-09-04T23:20:00-06:00",""
"dl-pa-kube-cfp","ed-pa-kubecon-eu27","cfp_deadline","Sunday, October 11, 2026 at 11:59 PM CEST (UTC+2)","2026-10-11","23:59","CEST (UTC+2)","2026-10-11T21:59:00Z","confirmed","ev-pa-kube-current","2026-09-04T23:25:00-06:00",""
"dl-pa-kube-notify","ed-pa-kubecon-eu27","notification","December 7, 2026","2026-12-07","","","","confirmed","ev-pa-kube-current","2026-09-04T23:25:00-06:00",""
"dl-pa-kube-schedule","ed-pa-kubecon-eu27","schedule_announcement","December 9, 2026","2026-12-09","","","","confirmed","ev-pa-kube-current","2026-09-04T23:25:00-06:00",""
"dl-pa-agentics-cfp","ed-pa-agentics-eu27","cfp_deadline","Sunday, October 18, 2026 at 11:59 PM CET (UTC+2)","2026-10-18","23:59","CET (UTC+2)","2026-10-18T21:59:00Z","confirmed_as_stated","ev-pa-agentics-current","2026-09-04T23:30:00-06:00","Source pairs CET with UTC+2; preserve wording because CET normally denotes UTC+1. UTC follows the explicit offset, not the abbreviation."
"dl-pa-agentics-notify","ed-pa-agentics-eu27","notification","December 14, 2026","2026-12-14","","","","confirmed","ev-pa-agentics-current","2026-09-04T23:30:00-06:00",""
"dl-pa-agentics-schedule","ed-pa-agentics-eu27","schedule_announcement","December 16, 2026","2026-12-16","","","","confirmed","ev-pa-agentics-current","2026-09-04T23:30:00-06:00",""
"dl-pa-gids-cfp","ed-pa-gids27","cfp_deadline","September 30, 2026","2026-09-30","","","","confirmed","ev-pa-gids-current","2026-09-04T23:35:00-06:00","No time or timezone stated."
"dl-pa-euro-cfp","ed-pa-eurostar27","cfp_deadline","30 September 2026","2026-09-30","","","","confirmed","ev-pa-euro-current","2026-09-04T23:40:00-06:00","No time or timezone stated."
"dl-pa-expo-cfp","ed-pa-expoqa27","cfp_deadline","October 11, 2026","2026-10-11","","","","confirmed","ev-pa-expo-current","2026-09-04T23:45:00-06:00","No time or timezone stated."
"dl-pa-swiss-cfp","ed-pa-swiss27","cfp_deadline","31 Oct 2026 11:59 PM West Europe Standard Time UTC+01:00","2026-10-31","23:59","West Europe Standard Time UTC+01:00","2026-10-31T22:59:00Z","confirmed","ev-pa-swiss-current","2026-09-04T23:50:00-06:00",""
"dl-pa-vsl-cfp","ed-pa-vslive-austin27","cfp_deadline","5 Oct 2026 11:59 PM Pacific Daylight Time (Mexico) UTC-07:00; page body says 11:59 CST","2026-10-05","23:59","conflicting: Pacific Daylight Time (Mexico) UTC-07:00 / CST","","conflicting","ev-pa-vsl-current","2026-09-04T23:55:00-06:00","Sessionize metadata and body conflict; do not normalize to UTC until organizer clarifies."
"dl-pa-devweek-first","ed-pa-developerweek27","first_deadline","August 28, 2026","2026-08-28","","","","confirmed_closed","ev-pa-devweek-current","2026-09-04T23:58:00-06:00","Passed before research run."
"dl-pa-devweek-final","ed-pa-developerweek27","cfp_deadline","September 18, 2026","2026-09-18","","","","confirmed","ev-pa-devweek-current","2026-09-04T23:58:00-06:00","No time or timezone stated."
"dl-pa-idi-cfp","ed-pa-idi27","cfp_deadline","13 Dec 2026 11:59 PM W. Europe Standard Time UTC+01:00","2026-12-13","23:59","W. Europe Standard Time UTC+01:00","2026-12-13T22:59:00Z","confirmed","ev-pa-idi-current","2026-09-05T00:02:00-06:00",""
"dl-pa-platform-cfp","ed-pa-platformcon-sf27","cfp_deadline","4 Oct 2026 11:59 PM Pacific Daylight Time UTC-07:00; organizer CFP page says 4 Oct 12:59 PM EST","2026-10-04","","conflicting: PDT UTC-07:00 / EST","","conflicting","ev-pa-platform-current;ev-pa-platform-official-conflict","2026-09-05T00:05:00-06:00","Submission system and organizer event page conflict materially. Treat Sessionize as operational route but verify before relying on time."
"dl-pa-platform-notify","ed-pa-platformcon-sf27","notification","October 20, 2026","2026-10-20","","","","confirmed","ev-pa-platform-current","2026-09-05T00:05:00-06:00",""
"dl-pa-ttc-cfp","ed-pa-ttc27","cfp_deadline","Friday, 30 October 2026","2026-10-30","","","","confirmed","ev-pa-ttc-current","2026-09-05T00:08:00-06:00","No time or timezone stated."
"dl-pa-gaic-close","ed-pa-gaic-seattle-2627","rolling_route_end","30 Jun 2027 11:59 PM Pacific Daylight Time UTC-07:00","2027-06-30","23:59","Pacific Daylight Time UTC-07:00","2027-07-01T06:59:00Z","confirmed","ev-pa-gaic-current","2026-09-05T00:12:00-06:00","Route spans multiple meetup dates; this is not a per-edition cutoff."
"dl-pa-cnm-close","ed-pa-cn-mumbai26","rolling_route_end","31 Dec 2026 11:59 PM India Standard Time UTC+05:30","2026-12-31","23:59","India Standard Time UTC+05:30","2026-12-31T18:29:00Z","confirmed","ev-pa-cnm-current","2026-09-05T00:14:00-06:00","Route end is not a guaranteed cutoff for the September session."
"dl-pa-pydata-close","ed-pa-pydata-venice26","rolling_route_end","30 Nov 2026 11:59 PM W. Europe Standard Time UTC+01:00","2026-11-30","23:59","W. Europe Standard Time UTC+01:00","2026-11-30T22:59:00Z","confirmed","ev-pa-pydata-current","2026-09-05T00:16:00-06:00",""
"dl-pa-datasummit-cfp","ed-pa-datasummit27","cfp_deadline","December 11, 2026","2026-12-11","","","","confirmed","ev-pa-datasummit-current","2026-09-05T00:18:00-06:00","No time or timezone stated."
